

Here are the 16 flight plans:

TPA | ANC | AA | 1 (DFW) | 08:00 | 14:30 | 542.50
TPA | CPH | Lufthansa | 1 (FRA) | 13:45 | 22:00 | 900.00
TPA | CPH | United Airlines | 1 (EWR) | 15:00 | 23:30 | 950.00
TPA | CPH | SAS | 0 | 17:15 | 06:00 | 1200.00
TPA | CPH | British Airways | 1 (LHR) | 19:30 | 08:15 | 1100.00
TPA | CPH | KLM | 1 (AMS) | 21:45 | 10:30 | 1000.00
TPA | CPH | Air France | 1 (CDG) | 23:59 | 12:45 | 1150.00

CPH | TPA | SAS | 0 | 08:00 | 14:30 | 1300.00
CPH | TPA | Lufthansa | 1 (FRA) | 10:30 | 17:00 | 1000.00
CPH | TPA | United Airlines | 1 (EWR) | 12:45 | 19:15 | 1050.00
CPH | TPA | Delta Air Lines | 2 (AMS, JFK) | 15:00 | 22:45 | 1200.00
CPH | TPA | American Airlines | 1 (LHR) | 17:15 | 00:30 | 950.00
CPH | TPA | British Airways | 1 (LHR) | 19:30 | 03:15 | 1100.00
CPH | TPA | KLM | 1 (AMS) | 21:45 | 06:00 | 1000.00
CPH | TPA | Air France | 1 (CDG) | 23:59 | 09:45 | 1150.00


Here are the 16 flight plans:

TPA | DXB | Emirates | 1 (LHR) | 14:30 | 12:15 | 850.00
TPA | DXB | Qatar Airways | 1 (DOH) | 16:00 | 13:45 | 920.00
TPA | DXB | Turkish Airlines | 1 (IST) | 18:00 | 15:45 | 780.00
TPA | DXB | Lufthansa | 2 (FRA, AUH) | 10:00 | 11:30 | 1050.00
TPA | DXB | American Airlines | 1 (LHR) | 12:00 | 09:45 | 900.00
TPA | DXB | Delta Air Lines | 1 (CDG) | 15:00 | 12:45 | 950.00
TPA | DXB | United Airlines | 2 (EWR, FRA) | 08:00 | 10:30 | 1100.00
TPA | DXB | KLM Royal Dutch | 1 (AMS) | 13:00 | 10:45 | 980.00

DXB | TPA | Emirates | 1 (LHR) | 02:00 | 08:15 | 850.00
DXB | TPA | Qatar Airways | 1 (DOH) | 04:00 | 10:45 | 920.00
DXB | TPA | Turkish Airlines | 1 (IST) | 06:00 | 12:45 | 780.00
DXB | TPA | Lufthansa | 2 (FRA, AUH) | 00:00 | 07:30 | 1050.00
DXB | TPA | American Airlines | 1 (LHR) | 01:00 | 07:45 | 900.00
DXB | TPA | Delta Air Lines | 1 (CDG) | 03:00 | 09:45 | 950.00
DXB | TPA | United Airlines | 2 (EWR, FRA) | 23:00 | 06:30 | 1100.00
DXB | TPA | KLM Royal Dutch | 1 (AMS) | 02:30 | 08:45 | 980.00


Here are the 16 flight plans:

TPA | DUB | American Airlines | Non-stop | 08:00 | 17:30 | 850.00
TPA | DUB | Delta Air Lines | 1 stop (JFK) | 09:30 | 19:15 | 920.00
TPA | DUB | United Airlines | Non-stop | 11:00 | 20:30 | 980.00
TPA | DUB | Lufthansa | 1 stop (FRA) | 12:30 | 22:15 | 1050.00
TPA | DUB | Aer Lingus | Non-stop | 14:00 | 23:30 | 1100.00
TPA | DUB | British Airways | 1 stop (LHR) | 15:30 | 01:15 | 1150.00
TPA | DUB | Iberia | 1 stop (MAD) | 17:00 | 02:45 | 1200.00
TPA | DUB | KLM | 1 stop (AMS) | 18:30 | 04:15 | 1250.00
DUB | TPA | American Airlines | Non-stop | 08:00 | 11:30 | 850.00
DUB | TPA | Delta Air Lines | 1 stop (JFK) | 09:30 | 13:15 | 920.00
DUB | TPA | United Airlines | Non-stop | 11:00 | 14:30 | 980.00
DUB | TPA | Lufthansa | 1 stop (FRA) | 12:30 | 16:15 | 1050.00
DUB | TPA | Aer Lingus | Non-stop | 14:00 | 17:30 | 1100.00
DUB | TPA | British Airways | 1 stop (LHR) | 15:30 | 19:15 | 1150.00
DUB | TPA | Iberia | 1 stop (MAD) | 17:00 | 20:45 | 1200.00
DUB | TPA | KLM | 1 stop (AMS) | 18:30 | 22:15 | 1250.00


Here are the 16 flight plans:

TPA | EDI | American Airlines | Non-stop | 08:00 | 18:30 | 450.00
TPA | EDI | British Airways | 1 stop (LHR) | 10:30 | 20:45 | 520.00
TPA | EDI | Delta Air Lines | Non-stop | 12:00 | 22:20 | 480.00
TPA | EDI | United Airlines | 1 stop (EWR) | 14:30 | 00:50 | 550.00
TPA | EDI | Lufthansa | 2 stops (FRA, LHR) | 16:00 | 02:10 | 620.00
TPA | EDI | Air France | 1 stop (CDG) | 18:30 | 04:45 | 590.00
TPA | EDI | KLM Royal Dutch | 1 stop (AMS) | 20:00 | 06:20 | 570.00
TPA | EDI | Iberia | 2 stops (MAD, LHR) | 22:00 | 08:30 | 650.00

EDI | TPA | British Airways | Non-stop | 08:30 | 12:50 | 420.00
EDI | TPA | American Airlines | 1 stop (PHL) | 10:00 | 16:20 | 490.00
EDI | TPA | Delta Air Lines | Non-stop | 12:30 | 18:50 | 450.00
EDI | TPA | United Airlines | 1 stop (EWR) | 14:00 | 20:20 | 520.00
EDI | TPA | Lufthansa | 2 stops (FRA, MIA) | 16:30 | 02:50 | 640.00
EDI | TPA | Air France | 1 stop (CDG) | 18:00 | 04:20 | 580.00
EDI | TPA | KLM Royal Dutch | 1 stop (AMS) | 20:30 | 06:50 | 560.00
EDI | TPA | Iberia | 2 stops (MAD, PHL) | 22:30 | 08:50 | 670.00


Here are the 16 flight plans:

TPA | HAN | Vietnam Airlines | 1 (NRT) | 08:00 | 20:30 | 850.00
TPA | HAN | Japan Airlines | 1 (HND) | 09:30 | 22:00 | 920.00
TPA | HAN | American Airlines | 2 (DFW, HKG) | 10:00 | 23:30 | 1050.00
TPA | HAN | Delta Air Lines | 1 (ICN) | 11:00 | 00:30 | 980.00
TPA | HAN | United Airlines | 1 (SIN) | 12:00 | 01:30 | 950.00
TPA | HAN | Korean Air | 1 (ICN) | 13:00 | 02:30 | 1000.00
TPA | HAN | Cathay Pacific | 1 (HKG) | 14:00 | 03:30 | 1020.00
TPA | HAN | Qantas | 2 (LAX, SYD) | 15:00 | 05:30 | 1150.00
HAN | TPA | Vietnam Airlines | 1 (NRT) | 08:00 | 20:30 | 850.00
HAN | TPA | Japan Airlines | 1 (HND) | 09:30 | 22:00 | 920.00
HAN | TPA | American Airlines | 2 (HKG, DFW) | 10:00 | 23:30 | 1050.00
HAN | TPA | Delta Air Lines | 1 (ICN) | 11:00 | 00:30 | 980.00
HAN | TPA | United Airlines | 1 (SIN) | 12:00 | 01:30 | 950.00
HAN | TPA | Korean Air | 1 (ICN) | 13:00 | 02:30 | 1000.00
HAN | TPA | Cathay Pacific | 1 (HKG) | 14:00 | 03:30 | 1020.00
HAN | TPA | Qantas | 2 (SYD, LAX) | 15:00 | 05:30 | 1150.00
HAN | TPA | China Eastern | 1 (PVG) | 16:00 | 04:30 | 1100.00


Here are the 16 flight plans:

TPA | HKG | AA | 1 (NRT) | 08:00 | 20:30 | 850.00
TPA | HKG | UA | 2 (EWR, NRT) | 10:30 | 22:50 | 1100.00
TPA | HKG | CX | 0 | 12:00 | 18:30 | 900.00
TPA | HKG | DL | 1 (ATL) | 14:00 | 20:00 | 950.00
TPA | HKG | SQ | 2 (IAH, SIN) | 16:00 | 22:20 | 1200.00
TPA | HKG | JL | 1 (NRT) | 18:00 | 21:00 | 1000.00
TPA | HKG | BR | 2 (MIA, TPE) | 20:00 | 23:40 | 1300.00
TPA | HKG | KE | 1 (ICN) | 22:00 | 01:30 | 1050.00

HKG | TPA | AA | 1 (NRT) | 08:00 | 20:30 | 900.00
HKG | TPA | UA | 2 (SIN, EWR) | 10:30 | 22:50 | 1150.00
HKG | TPA | CX | 0 | 12:00 | 18:30 | 850.00
HKG | TPA | DL | 1 (ATL) | 14:00 | 20:00 | 950.00
HKG | TPA | SQ | 2 (SIN, IAH) | 16:00 | 22:20 | 1250.00
HKG | TPA | JL | 1 (NRT) | 18:00 | 21:00 | 1000.00
HKG | TPA | BR | 2 (TPE, MIA) | 20:00 | 23:40 | 1350.00
HKG | TPA | KE | 1 (ICN) | 22:00 | 01:30 | 1100.00


Here are the 16 flight plans:

TPA | IST | Turkish Airlines | Non-stop | 14:30 | 07:30 | 850.00
TPA | IST | Lufthansa | 1 (FRA) | 10:00 | 06:00 | 950.00
TPA | IST | American Airlines | 1 (PHL) | 08:00 | 05:00 | 870.00
TPA | IST | Delta Air Lines | 1 (AMS) | 12:00 | 08:00 | 890.00
TPA | IST | United Airlines | 2 (EWR, FRA) | 09:00 | 07:00 | 1020.00
TPA | IST | Emirates | 1 (DXB) | 15:00 | 10:00 | 1080.00
TPA | IST | Qatar Airways | 1 (DOH) | 11:00 | 07:00 | 940.00
TPA | IST | British Airways | 1 (LHR) | 13:00 | 09:00 | 920.00

IST | TPA | Turkish Airlines | Non-stop | 10:00 | 15:00 | 820.00
IST | TPA | Lufthansa | 1 (FRA) | 07:00 | 12:00 | 910.00
IST | TPA | American Airlines | 1 (PHL) | 09:00 | 14:00 | 840.00
IST | TPA | Delta Air Lines | 1 (AMS) | 11:00 | 16:00 | 860.00
IST | TPA | United Airlines | 2 (EWR, FRA) | 08:00 | 14:00 | 980.00
IST | TPA | Emirates | 1 (DXB) | 14:00 | 19:00 | 1040.00
IST | TPA | Qatar Airways | 1 (DOH) | 12:00 | 17:00 | 900.00
IST | TPA | British Airways | 1 (LHR) | 15:00 | 20:00 | 930.00


TPA | TLV | EL AL | 1 (AMS) | 10:00 | 19:35 | 850.00
TPA | TLV | Lufthansa | 2 (FRA, MXP) | 13:45 | 22:10 | 1100.00
TPA | TLV | American Airlines | 1 (PHL) | 08:30 | 18:50 | 900.00
TPA | TLV | Delta Air Lines | 1 (CDG) | 11:15 | 20:40 | 1000.00
TPA | TLV | United Airlines | 2 (EWR, FRA) | 14:50 | 23:20 | 1200.00
TPA | TLV | Turkish Airlines | 1 (IST) | 09:00 | 19:20 | 950.00
TPA | TLV | British Airways | 1 (LHR) | 12:30 | 21:55 | 1050.00
TPA | TLV | Swiss International | 2 (ZRH, GVA) | 15:20 | 23:50 | 1250.00
TLV | TPA | EL AL | 1 (AMS) | 08:00 | 17:35 | 800.00
TLV | TPA | Lufthansa | 2 (MXP, FRA) | 11:45 | 21:10 | 1050.00
TLV | TPA | American Airlines | 1 (PHL) | 10:30 | 20:50 | 850.00
TLV | TPA | Delta Air Lines | 1 (CDG) | 13:15 | 22:40 | 950.00
TLV | TPA | United Airlines | 2 (FRA, EWR) | 14:50 | 23:20 | 1150.00
TLV | TPA | Turkish Airlines | 1 (IST) | 09:30 | 19:50 | 900.00
TLV | TPA | British Airways | 1 (LHR) | 12:00 | 21:25 | 1000.00
TLV | TPA | Swiss International | 2 (GVA, ZRH) | 15:00 | 23:30 | 1200.00


Here are the 16 flight plans:

TPA | LIM | LATAM | 0 | 08:00 | 17:30 | 540.00
TPA | LIM | Avianca | 1 (BOG) | 09:15 | 19:45 | 620.00
TPA | LIM | Copa | 0 | 10:30 | 20:00 | 580.00
TPA | LIM | American | 1 (MIA) | 11:45 | 21:15 | 650.00
TPA | LIM | Delta | 0 | 13:00 | 22:30 | 600.00
TPA | LIM | LATAM | 1 (SCL) | 14:15 | 23:45 | 680.00
TPA | LIM | Spirit | 1 (FLL) | 15:30 | 01:00 | 580.00
TPA | LIM | JetBlue | 0 | 16:45 | 02:15 | 620.00
LIM | TPA | LATAM | 0 | 08:00 | 17:30 | 540.00
LIM | TPA | Avianca | 1 (BOG) | 09:15 | 19:45 | 620.00
LIM | TPA | Copa | 0 | 10:30 | 20:00 | 580.00
LIM | TPA | American | 1 (MIA) | 11:45 | 21:15 | 650.00
LIM | TPA | Delta | 0 | 13:00 | 22:30 | 600.00
LIM | TPA | LATAM | 1 (SCL) | 14:15 | 23:45 | 680.00
LIM | TPA | Spirit | 1 (FLL) | 15:30 | 01:00 | 580.00
LIM | TPA | JetBlue | 0 | 16:45 | 02:15 | 620.00
LIM | TPA | United | 1 (IAH) | 18:00 | 03:30 | 640.00


Here are the 16 flight plans:

TPA | LHR | American Airlines | 1 (JFK) | 08:00 | 18:30 | 850.00
TPA | LHR | British Airways | 0 | 10:30 | 20:00 | 1200.00
TPA | LHR | Delta Air Lines | 1 (ATL) | 12:00 | 22:30 | 950.00
TPA | LHR | United Airlines | 1 (EWR) | 14:00 | 00:30 | 1100.00
TPA | LHR | Lufthansa | 1 (FRA) | 16:00 | 02:30 | 1050.00
TPA | LHR | Air France | 1 (CDG) | 18:00 | 04:30 | 1000.00
TPA | LHR | KLM Royal Dutch | 1 (AMS) | 20:00 | 06:30 | 900.00
TPA | LHR | Iberia | 1 (MAD) | 22:00 | 08:30 | 950.00

LHR | TPA | American Airlines | 1 (PHL) | 09:00 | 14:30 | 800.00
LHR | TPA | British Airways | 0 | 11:30 | 17:00 | 1100.00
LHR | TPA | Delta Air Lines | 1 (ATL) | 13:30 | 20:00 | 900.00
LHR | TPA | United Airlines | 1 (EWR) | 15:30 | 22:00 | 1000.00
LHR | TPA | Lufthansa | 1 (FRA) | 17:30 | 00:00 | 950.00
LHR | TPA | Air France | 1 (CDG) | 19:30 | 02:00 | 900.00
LHR | TPA | KLM Royal Dutch | 1 (AMS) | 21:30 | 04:00 | 850.00
LHR | TPA | Iberia | 1 (MAD) | 23:30 | 06:00 | 900.00


Here are the 16 flight plans:

TPA | MAD | Iberia | Non-stop | 08:00 | 17:30 | 450.00
TPA | MAD | American Airlines | 1 stop (PHL) | 09:30 | 19:15 | 520.00
TPA | MAD | Delta | Non-stop | 11:00 | 20:30 | 480.00
TPA | MAD | Lufthansa | 1 stop (FRA) | 12:30 | 22:15 | 550.00
TPA | MAD | United | 1 stop (EWR) | 14:00 | 23:45 | 500.00
TPA | MAD | British Airways | 1 stop (LHR) | 15:30 | 01:15 | 580.00
TPA | MAD | Air Europa | Non-stop | 17:00 | 02:30 | 510.00
TPA | MAD | Swiss International | 1 stop (ZRH) | 19:00 | 04:45 | 600.00

MAD | TPA | Iberia | Non-stop | 09:30 | 14:00 | 420.00
MAD | TPA | American Airlines | 1 stop (PHL) | 11:00 | 16:45 | 490.00
MAD | TPA | Delta | Non-stop | 12:30 | 18:00 | 460.00
MAD | TPA | Lufthansa | 1 stop (FRA) | 14:00 | 20:45 | 530.00
MAD | TPA | United | 1 stop (EWR) | 15:30 | 22:15 | 500.00
MAD | TPA | British Airways | 1 stop (LHR) | 17:00 | 00:45 | 560.00
MAD | TPA | Air Europa | Non-stop | 18:30 | 02:00 | 480.00
MAD | TPA | Swiss International | 1 stop (ZRH) | 20:00 | 04:45 | 610.00


Here are the 16 flight plans:

TPA | MEX | American Airlines | Non-stop | 08:00 | 10:35 | 450.00
TPA | MEX | Delta Air Lines | 1 stop (ATL) | 09:15 | 12:50 | 520.00
TPA | MEX | United Airlines | Non-stop | 10:30 | 13:05 | 480.00
TPA | MEX | Aeromexico | 1 stop (HOU) | 11:45 | 15:20 | 550.00
TPA | MEX | Frontier Airlines | 1 stop (DEN) | 12:00 | 16:35 | 400.00
TPA | MEX | Spirit Airlines | 1 stop (FLL) | 13:15 | 17:50 | 380.00
TPA | MEX | JetBlue Airways | Non-stop | 14:30 | 17:05 | 500.00
TPA | MEX | Southwest Airlines | 1 stop (BNA) | 15:45 | 19:20 | 420.00
MEX | TPA | American Airlines | Non-stop | 08:30 | 11:05 | 460.00
MEX | TPA | Delta Air Lines | 1 stop (LAX) | 09:45 | 13:20 | 540.00
MEX | TPA | United Airlines | Non-stop | 11:00 | 13:35 | 490.00
MEX | TPA | Aeromexico | 1 stop (SFO) | 12:15 | 15:50 | 570.00
MEX | TPA | Frontier Airlines | 1 stop (PHX) | 13:30 | 17:05 | 410.00
MEX | TPA | Spirit Airlines | 1 stop (ORD) | 14:45 | 18:20 | 390.00
MEX | TPA | JetBlue Airways | Non-stop | 16:00 | 18:35 | 510.00
MEX | TPA | Southwest Airlines | 1 stop (DAL) | 17:15 | 20:50 | 430.00


Here are the 16 flight plans:

TPA | MBJ | AA | 0 | 08:00 | 10:30 | 450.00
TPA | MBJ | DL | 1 (ATL) | 09:15 | 13:45 | 520.00
TPA | MBJ | UA | 0 | 10:45 | 13:15 | 480.00
TPA | MBJ | WN | 1 (FLL) | 11:30 | 15:00 | 550.00
TPA | MBJ | B6 | 0 | 12:00 | 14:30 | 500.00
TPA | MBJ | AS | 1 (MCO) | 13:15 | 16:45 | 580.00
TPA | MBJ | F9 | 0 | 14:30 | 17:00 | 530.00
TPA | MBJ | NK | 1 (PBI) | 15:45 | 19:15 | 610.00
MBJ | TPA | AA | 0 | 08:30 | 11:00 | 420.00
MBJ | TPA | DL | 1 (ATL) | 09:45 | 13:15 | 490.00
MBJ | TPA | UA | 0 | 11:15 | 13:45 | 450.00
MBJ | TPA | WN | 1 (FLL) | 12:00 | 14:30 | 510.00
MBJ | TPA | B6 | 0 | 13:30 | 16:00 | 480.00
MBJ | TPA | AS | 1 (MCO) | 14:45 | 17:15 | 540.00
MBJ | TPA | F9 | 0 | 15:15 | 17:45 | 500.00
MBJ | TPA | NK | 1 (PBI) | 16:30 | 19:00 | 570.00


Here are the 16 flight plans:

TPA | YUL | AC | 1 (YYZ) | 08:00 | 11:35 | 450.00
TPA | YUL | WS | 1 (MCO) | 09:15 | 13:05 | 380.00
TPA | YUL | DL | 2 (ATL, LGA) | 10:30 | 15:20 | 520.00
TPA | YUL | UA | 1 (EWR) | 11:45 | 15:10 | 420.00
TPA | YUL | AA | 2 (CLT, BOS) | 12:50 | 17:30 | 580.00
TPA | YUL | B6 | 1 (JFK) | 14:05 | 17:45 | 480.00
TPA | YUL | WN | 1 (BWI) | 15:20 | 19:00 | 400.00
TPA | YUL | F9 | 2 (DEN, ORD) | 16:35 | 21:15 | 550.00
YUL | TPA | AC | 1 (YYZ) | 08:00 | 11:35 | 420.00
YUL | TPA | WS | 1 (MCO) | 09:15 | 13:05 | 350.00
YUL | TPA | DL | 2 (LGA, ATL) | 10:30 | 15:20 | 500.00
YUL | TPA | UA | 1 (EWR) | 11:45 | 15:10 | 400.00
YUL | TPA | AA | 2 (BOS, CLT) | 12:50 | 17:30 | 560.00
YUL | TPA | B6 | 1 (JFK) | 14:05 | 17:45 | 460.00
YUL | TPA | WN | 1 (BWI) | 15:20 | 19:00 | 380.00
YUL | TPA | F9 | 2 (ORD, DEN) | 16:35 | 21:15 | 530.00


Here are the 16 flight plans:

TPA | BOM | American Airlines | 1 (LHR) | 08:00 | 20:30 | 850.00
TPA | BOM | Emirates | 2 (DXB, DEL) | 09:30 | 22:45 | 1100.00
TPA | BOM | Lufthansa | 1 (FRA) | 10:15 | 21:00 | 1200.00
TPA | BOM | Qatar Airways | 1 (DOH) | 11:00 | 22:15 | 1000.00
TPA | BOM | British Airways | 1 (LHR) | 12:30 | 23:45 | 1300.00
TPA | BOM | Turkish Airlines | 1 (IST) | 13:45 | 01:15 | 900.00
TPA | BOM | KLM | 2 (AMS, DEL) | 15:00 | 02:30 | 1400.00
TPA | BOM | Air France | 1 (CDG) | 16:15 | 03:30 | 1500.00
BOM | TPA | Air India | 1 (DEL) | 02:00 | 12:30 | 800.00
BOM | TPA | Emirates | 2 (DXB, JFK) | 03:30 | 14:45 | 1200.00
BOM | TPA | Lufthansa | 1 (FRA) | 05:00 | 16:15 | 1300.00
BOM | TPA | Qatar Airways | 1 (DOH) | 06:30 | 18:45 | 1100.00
BOM | TPA | British Airways | 1 (LHR) | 08:00 | 20:15 | 1400.00
BOM | TPA | Turkish Airlines | 1 (IST) | 09:45 | 22:00 | 1000.00
BOM | TPA | KLM | 2 (AMS, LHR) | 11:15 | 00:30 | 1500.00
BOM | TPA | Air France | 1 (CDG) | 12:45 | 02:00 | 1600.00
BOM | TPA | United Airlines | 1 (EWR) | 14:00 | 03:15 | 1200.00


Here are the 16 flight plans:

TPA | OSL | Norwegian | 0 | 08:00 | 18:30 | 450.00
TPA | OSL | Lufthansa | 1 (FRA) | 10:30 | 20:50 | 620.00
TPA | OSL | American | 1 (PHL) | 12:00 | 22:20 | 550.00
TPA | OSL | Delta | 1 (AMS) | 14:00 | 00:30 | 580.00
TPA | OSL | KLM | 1 (AMS) | 15:30 | 02:00 | 520.00
TPA | OSL | British Airways | 1 (LHR) | 17:00 | 03:30 | 600.00
TPA | OSL | United | 2 (EWR, FRA) | 18:30 | 06:00 | 720.00
TPA | OSL | Air France | 1 (CDG) | 20:00 | 07:30 | 650.00
OSL | TPA | Norwegian | 0 | 09:00 | 19:30 | 420.00
OSL | TPA | Lufthansa | 1 (FRA) | 11:30 | 22:50 | 590.00
OSL | TPA | American | 1 (PHL) | 13:00 | 00:20 | 520.00
OSL | TPA | Delta | 1 (AMS) | 15:00 | 02:30 | 540.00
OSL | TPA | KLM | 1 (AMS) | 16:30 | 04:00 | 480.00
OSL | TPA | British Airways | 1 (LHR) | 18:00 | 05:30 | 570.00
OSL | TPA | United | 2 (EWR, FRA) | 19:30 | 07:00 | 690.00
OSL | TPA | Air France | 1 (CDG) | 21:00 | 08:30 | 610.00


Here are the 16 flight plans:

TPA | PTY | AA | 1 (MIA) | 08:00 | 11:15 | 450.00
TPA | PTY | UA | 0 | 10:30 | 13:45 | 520.00
TPA | PTY | DL | 1 (ATL) | 12:45 | 16:00 | 480.00
TPA | PTY | WN | 0 | 14:15 | 17:30 | 490.00
TPA | PTY | B6 | 1 (FLL) | 16:00 | 19:15 | 510.00
TPA | PTY | AS | 0 | 18:30 | 21:45 | 530.00
TPA | PTY | F9 | 1 (MCO) | 20:45 | 23:59 | 460.00
TPA | PTY | NK | 0 | 22:00 | 01:15 | 500.00
PTY | TPA | AA | 1 (MIA) | 08:30 | 11:45 | 470.00
PTY | TPA | UA | 0 | 11:00 | 14:15 | 550.00
PTY | TPA | DL | 1 (ATL) | 13:15 | 16:30 | 500.00
PTY | TPA | WN | 0 | 15:00 | 18:15 | 520.00
PTY | TPA | B6 | 1 (FLL) | 17:00 | 20:15 | 540.00
PTY | TPA | AS | 0 | 19:30 | 22:45 | 560.00
PTY | TPA | F9 | 1 (MCO) | 21:45 | 00:59 | 490.00
PTY | TPA | NK | 0 | 23:15 | 02:30 | 510.00


Here are the 16 flight plans:

TPA | CDG | American Airlines | Non-stop | 08:00 | 18:30 | 850.00
TPA | CDG | Delta Air Lines | 1 stop (AMS) | 10:30 | 20:15 | 720.00
TPA | CDG | Lufthansa | 1 stop (FRA) | 12:00 | 21:45 | 890.00
TPA | CDG | Air France | Non-stop | 14:00 | 22:30 | 950.00
TPA | CDG | KLM Royal Dutch | 1 stop (AMS) | 16:00 | 23:55 | 820.00
TPA | CDG | Iberia | 1 stop (MAD) | 18:00 | 01:20 | 780.00
TPA | CDG | British Airways | 1 stop (LHR) | 20:00 | 02:45 | 860.00
TPA | CDG | Swiss International | 1 stop (ZRH) | 22:00 | 04:30 | 840.00

CDG | TPA | Air France | Non-stop | 09:00 | 13:30 | 980.00
CDG | TPA | Delta Air Lines | 1 stop (ATL) | 11:30 | 16:15 | 820.00
CDG | TPA | American Airlines | 1 stop (PHL) | 13:30 | 18:15 | 860.00
CDG | TPA | Lufthansa | 1 stop (FRA) | 15:30 | 20:45 | 930.00
CDG | TPA | KLM Royal Dutch | 1 stop (AMS) | 17:30 | 22:55 | 840.00
CDG | TPA | Iberia | 1 stop (MAD) | 19:30 | 01:20 | 800.00
CDG | TPA | British Airways | 1 stop (LHR) | 21:30 | 03:45 | 900.00
CDG | TPA | Swiss International | 1 stop (ZRH) | 23:30 | 05:30 | 920.00


Here are the 16 flight plans:

TPA | HKT | Thai Airways | 1 (NRT) | 08:30 | 21:45 | 850.00
TPA | HKT | Japan Airlines | 1 (HND) | 10:15 | 23:59 | 920.00
TPA | HKT | Korean Air | 2 (ICN, BKK) | 11:00 | 02:15 | 1050.00
TPA | HKT | China Eastern | 1 (PVG) | 12:45 | 01:10 | 780.00
TPA | HKT | ANA | 1 (NRT) | 14:00 | 03:20 | 950.00
TPA | HKT | Asiana Airlines | 2 (ICN, HKG) | 15:30 | 04:45 | 1120.00
TPA | HKT | Singapore Airlines | 1 (SIN) | 16:15 | 05:30 | 1000.00
TPA | HKT | Cathay Pacific | 1 (HKG) | 17:45 | 06:50 | 1100.00
HKT | TPA | Thai Airways | 1 (NRT) | 09:00 | 20:15 | 850.00
HKT | TPA | Japan Airlines | 1 (HND) | 10:45 | 21:50 | 920.00
HKT | TPA | Korean Air | 2 (BKK, ICN) | 11:30 | 23:40 | 1050.00
HKT | TPA | China Eastern | 1 (PVG) | 13:15 | 01:30 | 780.00
HKT | TPA | ANA | 1 (NRT) | 14:30 | 03:40 | 950.00
HKT | TPA | Asiana Airlines | 2 (HKG, ICN) | 15:45 | 05:00 | 1120.00
HKT | TPA | Singapore Airlines | 1 (SIN) | 16:30 | 06:05 | 1000.00
HKT | TPA | Cathay Pacific | 1 (HKG) | 17:15 | 07:20 | 1100.00


Here are the 16 flight plans:

TPA | PRG | American Airlines | 1 (JFK) | 08:00 | 18:30 | 850.00
TPA | PRG | Delta Air Lines | 2 (ATL, FRA) | 10:30 | 21:45 | 1050.00
TPA | PRG | United Airlines | Non-stop | 12:00 | 18:00 | 950.00
TPA | PRG | Lufthansa | 1 (FRA) | 14:30 | 21:15 | 1100.00
TPA | PRG | Air Canada | 2 (YYZ, FRA) | 16:00 | 23:30 | 1200.00
TPA | PRG | British Airways | 1 (LHR) | 18:30 | 22:45 | 1000.00
TPA | PRG | KLM Royal Dutch | 2 (AMS, FRA) | 20:00 | 01:15 | 1150.00
TPA | PRG | Swiss International | 1 (ZRH) | 21:30 | 01:00 | 1080.00
PRG | TPA | Czech Airlines | Non-stop | 08:00 | 12:00 | 900.00
PRG | TPA | American Airlines | 1 (JFK) | 10:30 | 16:30 | 950.00
PRG | TPA | Delta Air Lines | 2 (FRA, ATL) | 12:30 | 19:45 | 1100.00
PRG | TPA | United Airlines | 1 (EWR) | 14:30 | 18:30 | 980.00
PRG | TPA | Lufthansa | 1 (FRA) | 16:30 | 20:15 | 1050.00
PRG | TPA | Air Canada | 2 (FRA, YYZ) | 18:00 | 22:30 | 1150.00
PRG | TPA | British Airways | 1 (LHR) | 20:00 | 23:45 | 1000.00
PRG | TPA | KLM Royal Dutch | 2 (FRA, AMS) | 21:30 | 02:15 | 1180.00


Here are the 16 flight plans:

TPA | KEF | Icelandair | 1 (BOS) | 08:00 | 18:30 | 540.00
TPA | KEF | Delta | 2 (ATL, JFK) | 10:00 | 21:45 | 620.00
TPA | KEF | American | 1 (PHL) | 12:30 | 23:15 | 580.00
TPA | KEF | Lufthansa | 2 (FRA, OSLO) | 14:00 | 01:20 | 750.00
TPA | KEF | United | 1 (EWR) | 16:00 | 01:50 | 650.00
TPA | KEF | Air Canada | 2 (YYZ, LHR) | 18:00 | 04:30 | 800.00
TPA | KEF | KLM | 1 (AMS) | 20:00 | 06:00 | 700.00
TPA | KEF | British Airways | 2 (LHR, MAN) | 22:00 | 08:30 | 850.00

KEF | TPA | Icelandair | 1 (BOS) | 09:00 | 19:30 | 520.00
KEF | TPA | Delta | 2 (JFK, ATL) | 11:00 | 22:45 | 600.00
KEF | TPA | American | 1 (PHL) | 13:30 | 00:15 | 560.00
KEF | TPA | Lufthansa | 2 (OSLO, FRA) | 15:00 | 02:20 | 730.00
KEF | TPA | United | 1 (EWR) | 17:00 | 03:50 | 630.00
KEF | TPA | Air Canada | 2 (LHR, YYZ) | 19:00 | 06:30 | 780.00
KEF | TPA | KLM | 1 (AMS) | 21:00 | 08:00 | 680.00
KEF | TPA | British Airways | 2 (MAN, LHR) | 23:00 | 10:30 | 820.00


Here are the 16 flight plans:

TPA | GIG | LATAM | 1 (MIA) | 08:00 | 17:30 | 542.00
