

Here are the 16 flight plans:

DEN | BNA | United | Non-stop | 06:00 | 10:30 | 350.00
PEK | DEN | MU | 2 (PVG, ORD) | 11:00 | 09:10 | 1250.00
PEK | DEN | CZ | 1 (CAN) | 09:30 | 07:40 | 950.00
PEK | DEN | JL | 1 (NRT) | 13:00 | 11:10 | 1050.00


Here are the 16 flight plans:

DEN | BER | Lufthansa | 1 (FRA) | 08:00 | 18:30 | 850.00
DEN | BER | United | 1 (EWR) | 09:30 | 20:00 | 920.00
DEN | BER | American | 2 (PHL, AMS) | 11:00 | 22:30 | 1050.00
DEN | BER | Delta | 1 (CDG) | 12:30 | 23:00 | 980.00
DEN | BER | Air Canada | 2 (YYZ, FRA) | 14:00 | 01:30 | 1100.00
DEN | BER | Swiss | 1 (ZRH) | 15:30 | 02:00 | 1000.00
DEN | BER | Austrian | 1 (VIE) | 17:00 | 03:30 | 950.00
DEN | BER | British Airways | 1 (LHR) | 19:00 | 05:00 | 1020.00
BER | DEN | Lufthansa | 1 (FRA) | 08:00 | 16:30 | 870.00
BER | DEN | United | 1 (EWR) | 09:30 | 18:00 | 940.00
BER | DEN | American | 2 (PHL, AMS) | 11:00 | 20:30 | 1080.00
BER | DEN | Delta | 1 (CDG) | 12:30 | 21:00 | 1010.00
BER | DEN | Air Canada | 2 (YYZ, FRA) | 14:00 | 23:30 | 1130.00
BER | DEN | Swiss | 1 (ZRH) | 15:30 | 00:00 | 1040.00
BER | DEN | Austrian | 1 (VIE) | 17:00 | 01:30 | 980.00
BER | DEN | British Airways | 1 (LHR) | 19:00 | 03:00 | 1060.00


Here are the 16 flight plans:

DEN | EZE | UA | 1 (IAH) | 08:30 | 22:35 | 850.00
DEN | EZE | AA | 2 (DFW, GRU) | 09:15 | 23:50 | 950.00
DEN | EZE | LATAM | 0 | 10:00 | 20:30 | 700.00
DEN | EZE | DL | 1 (ATL) | 11:45 | 23:10 | 900.00
DEN | EZE | Avianca | 2 (BOG, LIM) | 12:20 | 00:40 | 1050.00
DEN | EZE | COPA | 1 (PTY) | 13:30 | 22:50 | 800.00
DEN | EZE | Aerolineas Argentinas | 0 | 14:15 | 21:45 | 650.00
DEN | EZE | American Airlines | 1 (MIA) | 15:00 | 23:25 | 925.00

EZE | DEN | UA | 1 (IAH) | 09:45 | 18:10 | 875.00
EZE | DEN | LATAM | 0 | 11:00 | 19:30 | 725.00
EZE | DEN | DL | 1 (ATL) | 12:30 | 20:55 | 925.00
EZE | DEN | Avianca | 2 (LIM, BOG) | 13:50 | 22:20 | 1075.00
EZE | DEN | COPA | 1 (PTY) | 14:45 | 21:15 | 825.00
EZE | DEN | Aerolineas Argentinas | 0 | 15:30 | 22:00 | 675.00
EZE | DEN | American Airlines | 1 (MIA) | 16:15 | 22:40 | 950.00
EZE | DEN | AA | 2 (GRU, DFW) | 17:00 | 23:35 | 1025.00


Here are the 16 flight plans:

DEN | SJD | UA | 1 (IAH) | 08:00 | 12:45 | 542.00
DEN | SJD | AA | 1 (DFW) | 09:30 | 14:15 | 612.00
DEN | SJD | WN | 1 (PHX) | 10:45 | 15:30 | 582.00
DEN | SJD | DL | 1 (ATL) | 12:00 | 16:45 | 642.00
DEN | SJD | F9 | 1 (LAS) | 13:15 | 17:50 | 552.00
DEN | SJD | NK | 1 (ORD) | 14:30 | 19:05 | 622.00
DEN | SJD | SY | 1 (MSP) | 15:45 | 20:20 | 602.00
DEN | SJD | B6 | 1 (LAX) | 17:00 | 21:35 | 672.00
SJD | DEN | UA | 1 (IAH) | 08:30 | 12:15 | 522.00
SJD | DEN | AA | 1 (DFW) | 09:45 | 13:30 | 592.00
SJD | DEN | WN | 1 (PHX) | 11:00 | 14:45 | 562.00
SJD | DEN | DL | 1 (ATL) | 12:15 | 16:00 | 622.00
SJD | DEN | F9 | 1 (LAS) | 13:30 | 17:15 | 532.00
SJD | DEN | NK | 1 (ORD) | 14:45 | 18:30 | 602.00
SJD | DEN | SY | 1 (MSP) | 16:00 | 19:45 | 582.00
SJD | DEN | B6 | 1 (LAX) | 17:15 | 20:50 | 652.00


Here are the 16 flight plans:

DEN | CAI | UA | 1 (LHR) | 08:00 | 19:30 | 850.00
DEN | CAI | AA | 2 (JFK, CDG) | 09:30 | 22:15 | 1050.00
DEN | CAI | LH | 1 (FRA) | 11:00 | 21:45 | 900.00
DEN | CAI | QR | 0 | 12:30 | 06:15 | 1200.00
DEN | CAI | BA | 1 (LHR) | 13:30 | 23:00 | 950.00
DEN | CAI | EK | 1 (DXB) | 14:30 | 08:15 | 1100.00
DEN | CAI | TK | 1 (IST) | 15:30 | 09:15 | 1000.00
DEN | CAI | SU | 2 (SVO, BEY) | 16:30 | 11:15 | 1300.00
CAI | DEN | MS | 1 (CDG) | 01:00 | 06:30 | 900.00
CAI | DEN | UA | 1 (LHR) | 02:30 | 08:00 | 850.00
CAI | DEN | QR | 0 | 04:00 | 12:15 | 1200.00
CAI | DEN | AA | 2 (JFK, PHL) | 05:30 | 14:15 | 1050.00
CAI | DEN | LH | 1 (FRA) | 06:30 | 15:45 | 900.00
CAI | DEN | BA | 1 (LHR) | 07:30 | 16:00 | 950.00
CAI | DEN | EK | 1 (DXB) | 08:30 | 17:15 | 1100.00
CAI | DEN | TK | 1 (IST) | 09:30 | 18:15 | 1000.00


Here are the 16 flight plans:

DEN | CUN | UA | 0 | 08:00 | 13:45 | 450.00
DEN | CUN | AA | 1 (DFW) | 09:30 | 16:15 | 520.00
DEN | CUN | WN | 0 | 10:15 | 15:50 | 480.00
DEN | CUN | DL | 1 (ATL) | 11:45 | 18:20 | 550.00
DEN | CUN | F9 | 0 | 12:50 | 18:25 | 420.00
DEN | CUN | NK | 1 (IAH) | 14:00 | 20:35 | 500.00
DEN | CUN | AS | 0 | 15:20 | 21:05 | 490.00
DEN | CUN | B6 | 1 (LAX) | 16:30 | 22:55 | 580.00
CUN | DEN | UA | 0 | 08:30 | 11:15 | 430.00
CUN | DEN | AA | 1 (ORD) | 09:45 | 14:30 | 540.00
CUN | DEN | WN | 0 | 11:00 | 14:40 | 460.00
CUN | DEN | DL | 1 (MSP) | 12:15 | 16:50 | 570.00
CUN | DEN | F9 | 0 | 13:30 | 17:10 | 440.00
CUN | DEN | NK | 1 (FLL) | 14:45 | 19:20 | 510.00
CUN | DEN | AS | 0 | 15:55 | 20:35 | 470.00
CUN | DEN | B6 | 1 (JFK) | 17:10 | 22:45 | 590.00


Here are the 16 flight plans:

DEN | CPT | United | 1 (LHR) | 08:00 | 20:30 | 1200.00
DEN | CPT | Lufthansa | 2 (FRA, JNB) | 10:30 | 22:50 | 1500.00
DEN | CPT | Delta | 1 (ATL) | 12:00 | 23:20 | 1300.00
DEN | CPT | American | 2 (DFW, LHR) | 14:00 | 01:10 | 1400.00
DEN | CPT | Emirates | 1 (DXB) | 16:00 | 02:30 | 1600.00
DEN | CPT | Qatar | 1 (DOH) | 18:00 | 03:50 | 1700.00
DEN | CPT | South African | 0 | 20:00 | 06:00 | 1800.00
DEN | CPT | British Airways | 1 (LHR) | 22:00 | 08:30 | 1900.00

CPT | DEN | United | 1 (LHR) | 08:00 | 18:30 | 1100.00
CPT | DEN | Lufthansa | 2 (JNB, FRA) | 10:30 | 20:50 | 1300.00
CPT | DEN | Delta | 1 (ATL) | 12:00 | 21:20 | 1200.00
CPT | DEN | American | 2 (LHR, DFW) | 14:00 | 22:10 | 1400.00
CPT | DEN | Emirates | 1 (DXB) | 16:00 | 23:30 | 1500.00
CPT | DEN | Qatar | 1 (DOH) | 18:00 | 00:50 | 1600.00
CPT | DEN | South African | 0 | 20:00 | 04:00 | 1700.00
CPT | DEN | British Airways | 1 (LHR) | 22:00 | 06:30 | 1800.00


DEN | CPH | UA | 1 (LHR) | 08:00 | 18:30 | 850.00
DEN | CPH | AA | 2 (ORD, AMS) | 10:30 | 21:45 | 1050.00
DEN | CPH | DL | 1 (ATL) | 13:15 | 23:50 | 950.00
DEN | CPH | LH | 1 (FRA) | 15:00 | 02:20 | 1200.00
DEN | CPH | BA | 1 (LHR) | 16:45 | 04:10 | 1100.00
DEN | CPH | SK | 0 | 18:30 | 10:00 | 900.00
DEN | CPH | KL | 1 (AMS) | 20:00 | 12:30 | 1000.00
DEN | CPH | AF | 1 (CDG) | 22:15 | 14:45 | 1300.00
CPH | DEN | UA | 1 (EWR) | 08:30 | 18:00 | 900.00
CPH | DEN | AA | 2 (PHL, ORD) | 10:00 | 21:15 | 1150.00
CPH | DEN | DL | 1 (AMS) | 12:45 | 23:10 | 1050.00
CPH | DEN | LH | 1 (FRA) | 14:30 | 01:50 | 1250.00
CPH | DEN | BA | 1 (LHR) | 16:15 | 04:40 | 1200.00
CPH | DEN | SK | 0 | 18:00 | 09:30 | 850.00
CPH | DEN | KL | 1 (AMS) | 20:30 | 13:00 | 1100.00
CPH | DEN | AF | 1 (CDG) | 22:45 | 15:15 | 1350.00


Here are the 16 flight plans:

DEN | DXB | UA | 1 (LHR) | 14:30 | 18:45 | 850.00
DEN | DXB | QR | 0 | 16:00 | 20:15 | 1200.00
DEN | DXB | EK | 1 (IST) | 18:00 | 22:20 | 950.00
DEN | DXB | AA | 2 (ORD, LHR) | 08:00 | 14:30 | 1000.00
DEN | DXB | LH | 1 (FRA) | 10:30 | 16:50 | 1100.00
DEN | DXB | BA | 1 (LHR) | 12:00 | 18:20 | 1050.00
DEN | DXB | TK | 1 (IST) | 14:00 | 20:25 | 900.00
DEN | DXB | CX | 1 (HKG) | 16:30 | 22:55 | 1250.00

DXB | DEN | UA | 1 (LHR) | 02:00 | 06:15 | 800.00
DXB | DEN | QR | 0 | 04:00 | 08:15 | 1100.00
DXB | DEN | EK | 1 (IST) | 06:00 | 10:20 | 900.00
DXB | DEN | AA | 2 (LHR, ORD) | 08:00 | 12:30 | 1000.00
DXB | DEN | LH | 1 (FRA) | 10:00 | 14:20 | 1050.00
DXB | DEN | BA | 1 (LHR) | 12:00 | 16:25 | 950.00
DXB | DEN | TK | 1 (IST) | 14:00 | 18:30 | 850.00
DXB | DEN | CX | 1 (HKG) | 16:00 | 20:35 | 1200.00


DEN | DUB | UA | 1 (LHR) | 08:00 | 18:30 | 850.00
DEN | DUB | AA | 2 (ORD, PHL) | 10:30 | 22:15 | 1200.00
DEN | DUB | DL | 0 | 12:00 | 20:30 | 950.00
DEN | DUB | WN | 1 (STL) | 14:00 | 23:45 | 1100.00
DEN | DUB | LH | 2 (FRA, MAN) | 16:00 | 02:15 | 1300.00
DEN | DUB | BA | 1 (LHR) | 18:00 | 04:30 | 1400.00
DEN | DUB | AF | 2 (CDG, BHX) | 20:00 | 06:45 | 1500.00
DEN | DUB | KL | 1 (AMS) | 22:00 | 08:30 | 1200.00
DUB | DEN | UA | 1 (EWR) | 08:30 | 18:00 | 900.00
DUB | DEN | AA | 2 (PHL, CLT) | 10:00 | 21:45 | 1300.00
DUB | DEN | DL | 0 | 11:30 | 20:00 | 1000.00
DUB | DEN | WN | 1 (BNA) | 13:30 | 22:15 | 1100.00
DUB | DEN | LH | 2 (FRA, IAD) | 15:00 | 01:30 | 1400.00
DUB | DEN | BA | 1 (LHR) | 16:30 | 03:00 | 1200.00
DUB | DEN | AF | 2 (CDG, MIA) | 18:00 | 05:45 | 1500.00
DUB | DEN | KL | 1 (AMS) | 19:30 | 06:00 | 1100.00


Here are the 16 flight plans:

DEN | EDI | United | 1 (LHR) | 08:00 | 18:30 | 850.00
DEN | EDI | American | 2 (DFW, MAN) | 10:30 | 21:45 | 1050.00
DEN | EDI | Lufthansa | 1 (FRA) | 12:15 | 22:50 | 950.00
DEN | EDI | Delta | 1 (AMS) | 14:00 | 23:20 | 900.00
DEN | EDI | British Airways | 1 (LHR) | 15:45 | 00:15 | 1000.00
DEN | EDI | KLM | 1 (AMS) | 17:00 | 01:25 | 920.00
DEN | EDI | Air France | 1 (CDG) | 18:30 | 02:55 | 980.00
DEN | EDI | Swiss | 1 (ZRH) | 20:15 | 04:40 | 960.00
EDI | DEN | United | 1 (LHR) | 08:00 | 10:30 | 820.00
EDI | DEN | American | 2 (MAN, DFW) | 09:30 | 14:45 | 1020.00
EDI | DEN | Lufthansa | 1 (FRA) | 11:15 | 15:50 | 920.00
EDI | DEN | Delta | 1 (AMS) | 12:45 | 17:20 | 880.00
EDI | DEN | British Airways | 1 (LHR) | 14:30 | 19:05 | 980.00
EDI | DEN | KLM | 1 (AMS) | 16:00 | 20:35 | 900.00
EDI | DEN | Air France | 1 (CDG) | 17:30 | 22:05 | 950.00
EDI | DEN | Swiss | 1 (ZRH) | 19:15 | 23:40 | 930.00


Here are the 16 flight plans:

DEN | HAN | UA | 1 (LAX) | 08:00 | 19:30 | 850.00
DEN | HAN | AA | 2 (DFW, NRT) | 10:30 | 22:15 | 1200.00
DEN | HAN | DL | 0 | 12:45 | 04:50 | 950.00
DEN | HAN | WN | 1 (PHX) | 14:15 | 06:30 | 800.00
DEN | HAN | AS | 2 (SEA, HKG) | 16:00 | 08:45 | 1400.00
DEN | HAN | F9 | 1 (LAS) | 18:30 | 10:15 | 700.00
DEN | HAN | NK | 2 (ORD, TPE) | 20:45 | 12:30 | 1100.00
DEN | HAN | B6 | 1 (JFK) | 22:15 | 14:00 | 900.00

HAN | DEN | VN | 1 (SIN) | 08:30 | 20:00 | 1000.00
HAN | DEN | QR | 2 (DOH, LHR) | 10:45 | 22:45 | 1600.00
HAN | DEN | CX | 0 | 12:15 | 04:30 | 1300.00
HAN | DEN | JL | 1 (NRT) | 14:00 | 06:15 | 1100.00
HAN | DEN | KE | 2 (ICN, SFO) | 16:15 | 08:45 | 1500.00
HAN | DEN | OZ | 1 (ICN) | 18:30 | 10:30 | 1200.00
HAN | DEN | TG | 2 (BKK, HKG) | 20:45 | 12:45 | 1400.00
HAN | DEN | MH | 1 (KUL) | 22:15 | 14:15 | 1300.00


DEN | HKG | United Airlines | Non-stop | 09:00 | 11:30 | 850.00
DEN | HKG | American Airlines | 1 stop (NRT) | 10:30 | 14:15 | 720.00
DEN | HKG | Delta Air Lines | Non-stop | 11:45 | 14:15 | 950.00
DEN | HKG | Lufthansa | 1 stop (FRA) | 12:00 | 16:00 | 800.00
DEN | HKG | Japan Airlines | 1 stop (NRT) | 13:00 | 16:45 | 780.00
DEN | HKG | Cathay Pacific | Non-stop | 14:30 | 17:00 | 1,020.00
DEN | HKG | Korean Air | 1 stop (ICN) | 15:15 | 18:30 | 750.00
DEN | HKG | Asiana Airlines | 1 stop (ICN) | 16:00 | 19:15 | 820.00
HKG | DEN | Cathay Pacific | Non-stop | 09:00 | 07:30 | 1,100.00
HKG | DEN | Japan Airlines | 1 stop (NRT) | 10:30 | 09:15 | 900.00
HKG | DEN | Korean Air | 1 stop (ICN) | 11:45 | 10:30 | 850.00
HKG | DEN | Asiana Airlines | 1 stop (ICN) | 12:30 | 11:15 | 920.00
HKG | DEN | United Airlines | Non-stop | 14:00 | 12:30 | 1,050.00
HKG | DEN | American Airlines | 1 stop (LAX) | 15:00 | 13:45 | 780.00
HKG | DEN | Delta Air Lines | 1 stop (SEA) | 16:15 | 14:45 | 820.00
HKG | DEN | Lufthansa | 1 stop (FRA) | 17:30 | 16:00 | 960.00


DEN | IST | Turkish Airlines | 1 (AMS) | 14:30 | 10:35 | 850.00
DEN | IST | Lufthansa | 2 (FRA, MUC) | 08:15 | 18:50 | 1200.00
DEN | IST | United Airlines | 1 (EWR) | 10:00 | 06:10 | 900.00
DEN | IST | American Airlines | 2 (PHL, CDG) | 12:45 | 09:25 | 1100.00
DEN | IST | Delta Air Lines | 1 (AMS) | 16:00 | 11:50 | 1000.00
DEN | IST | Austrian Airlines | 2 (VIE, ZRH) | 09:30 | 19:40 | 1300.00
DEN | IST | Swiss International | 1 (ZRH) | 11:15 | 07:55 | 1050.00
DEN | IST | British Airways | 2 (LHR, FRA) | 13:50 | 10:10 | 1250.00
IST | DEN | Turkish Airlines | 1 (AMS) | 11:45 | 14:20 | 950.00
IST | DEN | Lufthansa | 2 (MUC, FRA) | 08:50 | 17:35 | 1350.00
IST | DEN | United Airlines | 1 (EWR) | 09:30 | 13:40 | 1020.00
IST | DEN | American Airlines | 2 (CDG, PHL) | 12:20 | 20:00 | 1280.00
IST | DEN | Delta Air Lines | 1 (AMS) | 14:50 | 18:25 | 1150.00
IST | DEN | Austrian Airlines | 2 (ZRH, VIE) | 10:15 | 19:10 | 1400.00
IST | DEN | Swiss International | 1 (ZRH) | 12:00 | 16:35 | 1200.00
IST | DEN | British Airways | 2 (FRA, LHR) | 13:25 | 21:05 | 1320.00


DEN | TLV | United | 0 | 14:30 | 11:15 | 850.00
DEN | TLV | Lufthansa | 1 (FRA) | 10:00 | 10:50 | 950.00
DEN | TLV | El Al | 0 | 16:45 | 13:30 | 720.00
DEN | TLV | American | 1 (PHL) | 08:15 | 09:05 | 820.00
DEN | TLV | Delta | 1 (AMS) | 12:00 | 13:45 | 890.00
DEN | TLV | Iberia | 1 (MAD) | 09:30 | 11:20 | 860.00
DEN | TLV | Swiss | 1 (ZRH) | 11:45 | 13:35 | 910.00
DEN | TLV | Austrian | 1 (VIE) | 13:15 | 15:00 | 930.00
TLV | DEN | United | 0 | 08:00 | 12:45 | 780.00
TLV | DEN | Lufthansa | 1 (FRA) | 10:30 | 15:20 | 980.00
TLV | DEN | El Al | 0 | 14:15 | 19:00 | 690.00
TLV | DEN | American | 1 (PHL) | 12:45 | 18:35 | 840.00
TLV | DEN | Delta | 1 (AMS) | 09:00 | 14:45 | 900.00
TLV | DEN | Iberia | 1 (MAD) | 11:15 | 16:05 | 870.00
TLV | DEN | Swiss | 1 (ZRH) | 13:30 | 18:20 | 920.00
TLV | DEN | Austrian | 1 (VIE) | 15:45 | 20:35 | 960.00


Here are the 16 flight plans:

DEN | LIM | American Airlines | 1 (DFW) | 08:00 | 18:35 | 850.00
DEN | LIM | Delta Air Lines | 0 | 10:30 | 20:05 | 950.00
DEN | LIM | United Airlines | 1 (IAH) | 12:15 | 22:40 | 780.00
DEN | LIM | LATAM | 0 | 14:00 | 23:30 | 720.00
DEN | LIM | Avianca | 1 (BOG) | 08:45 | 19:20 | 820.00
DEN | LIM | Copa Airlines | 1 (PTY) | 11:00 | 21:25 | 900.00
DEN | LIM | Aeromexico | 1 (MEX) | 13:30 | 23:55 | 840.00
DEN | LIM | Spirit Airlines | 1 (FLL) | 09:15 | 20:40 | 680.00

LIM | DEN | American Airlines | 1 (PHX) | 08:30 | 18:05 | 870.00
LIM | DEN | Delta Air Lines | 0 | 10:00 | 19:30 | 990.00
LIM | DEN | United Airlines | 1 (SFO) | 12:45 | 22:10 | 810.00
LIM | DEN | LATAM | 0 | 14:30 | 23:55 | 750.00
LIM | DEN | Avianca | 1 (BOG) | 09:00 | 20:35 | 890.00
LIM | DEN | Copa Airlines | 1 (PTY) | 11:15 | 21:45 | 940.00
LIM | DEN | Aeromexico | 1 (MEX) | 13:45 | 23:15 | 860.00
LIM | DEN | Spirit Airlines | 1 (FLL) | 10:00 | 20:25 | 710.00


DEN | LHR | United | 0 | 08:00 | 18:30 | 850.00
DEN | LHR | British Airways | 1 (ORD) | 10:00 | 21:15 | 950.00
DEN | LHR | Lufthansa | 1 (FRA) | 12:00 | 23:50 | 1050.00
DEN | LHR | American Airlines | 0 | 14:00 | 22:30 | 900.00
DEN | LHR | Delta | 1 (AMS) | 16:00 | 01:15 | 1000.00
DEN | LHR | Swiss | 1 (ZRH) | 18:00 | 03:20 | 1100.00
DEN | LHR | KLM | 1 (AMS) | 20:00 | 04:45 | 1150.00
DEN | LHR | Air France | 1 (CDG) | 22:00 | 06:10 | 1200.00
LHR | DEN | United | 0 | 08:00 | 10:30 | 800.00
LHR | DEN | British Airways | 1 (JFK) | 10:00 | 13:15 | 900.00
LHR | DEN | Lufthansa | 1 (FRA) | 12:00 | 15:50 | 950.00
LHR | DEN | American Airlines | 0 | 14:00 | 16:30 | 850.00
LHR | DEN | Delta | 1 (ATL) | 16:00 | 19:15 | 900.00
LHR | DEN | Swiss | 1 (ZRH) | 18:00 | 21:20 | 1000.00
LHR | DEN | KLM | 1 (AMS) | 20:00 | 22:45 | 1050.00
LHR | DEN | Air France | 1 (CDG) | 22:00 | 00:10 | 1100.00


DEN | MAD | Iberia | 1 (LHR) | 08:00 | 18:30 | 850.00
DEN | MAD | American Airlines | 2 (PHL, JFK) | 10:30 | 20:15 | 1100.00
DEN | MAD | Lufthansa | 1 (FRA) | 12:45 | 22:50 | 1200.00
DEN | MAD | United Airlines | 0 | 14:00 | 20:00 | 900.00
DEN | MAD | Delta Air Lines | 1 (CDG) | 16:15 | 00:30 | 1000.00
DEN | MAD | British Airways | 1 (LHR) | 18:30 | 02:15 | 950.00
DEN | MAD | Swiss International | 1 (ZRH) | 20:45 | 04:00 | 1050.00
DEN | MAD | Air Europa | 0 | 22:00 | 05:00 | 800.00

MAD | DEN | Iberia | 1 (LHR) | 09:00 | 19:30 | 850.00
MAD | DEN | American Airlines | 2 (JFK, PHL) | 11:30 | 21:15 | 1100.00
MAD | DEN | Lufthansa | 1 (FRA) | 13:45 | 23:50 | 1200.00
MAD | DEN | United Airlines | 0 | 15:00 | 21:00 | 900.00
MAD | DEN | Delta Air Lines | 1 (CDG) | 17:15 | 01:30 | 1000.00
MAD | DEN | British Airways | 1 (LHR) | 19:30 | 03:15 | 950.00
MAD | DEN | Swiss International | 1 (ZRH) | 21:45 | 05:00 | 1050.00
MAD | DEN | Air Europa | 0 | 23:00 | 06:00 | 800.00


DEN | MEX | United | Non-stop | 08:00 | 11:30 | 420.00
DEN | MEX | American | 1 (DFW) | 09:15 | 13:45 | 450.00
DEN | MEX | Delta | Non-stop | 10:30 | 14:00 | 480.00
DEN | MEX | Frontier | 1 (IAH) | 11:45 | 16:15 | 380.00
DEN | MEX | Southwest | Non-stop | 13:00 | 16:30 | 400.00
DEN | MEX | Alaska | 1 (SFO) | 14:15 | 18:45 | 520.00
DEN | MEX | Spirit | 1 (LAS) | 15:30 | 20:00 | 350.00
DEN | MEX | JetBlue | Non-stop | 17:00 | 20:30 | 460.00
MEX | DEN | Aeromexico | Non-stop | 08:00 | 10:30 | 390.00
MEX | DEN | United | 1 (IAH) | 09:15 | 13:45 | 420.00
MEX | DEN | VivaAerobus | 1 (GDL) | 10:30 | 15:00 | 320.00
MEX | DEN | American | Non-stop | 11:45 | 14:15 | 450.00
MEX | DEN | Delta | 1 (ATL) | 13:00 | 17:30 | 500.00
MEX | DEN | Frontier | Non-stop | 14:15 | 16:45 | 380.00
MEX | DEN | Southwest | 1 (HOU) | 15:30 | 19:00 | 410.00
MEX | DEN | Alaska | Non-stop | 17:00 | 19:30 | 480.00


Here are the 16 flight plans:

DEN | MBJ | AA | 1 (MIA) | 08:00 | 14:30 | 542.00
DEN | MBJ | UA | 1 (IAH) | 09:30 | 16:05 | 512.00
DEN | MBJ | WN | 1 (TPA) | 10:15 | 17:40 | 482.00
DEN | MBJ | DL | 1 (ATL) | 11:00 | 18:25 | 522.00
DEN | MBJ | F9 | 1 (MCO) | 12:30 | 20:00 | 452.00
DEN | MBJ | B6 | 1 (JFK) | 13:45 | 21:15 | 492.00
DEN | MBJ | SY | 1 (DFW) | 15:00 | 22:35 | 472.00
DEN | MBJ | NK | 1 (FLL) | 16:15 | 23:50 | 442.00
MBJ | DEN | AA | 1 (CLT) | 08:00 | 14:30 | 552.00
MBJ | DEN | UA | 1 (EWR) | 09:30 | 16:05 | 532.00
MBJ | DEN | WN | 1 (BNA) | 10:15 | 17:40 | 502.00
MBJ | DEN | DL | 1 (LAX) | 11:00 | 18:25 | 562.00
MBJ | DEN | F9 | 1 (ORD) | 12:30 | 20:00 | 482.00
MBJ | DEN | B6 | 1 (SFO) | 13:45 | 21:15 | 512.00
MBJ | DEN | SY | 1 (PHX) | 15:00 | 22:35 | 492.00
MBJ | DEN | NK | 1 (LAS) | 16:15 | 23:50 | 472.00


DEN | YUL | United | 1 (ORD) | 08:00 | 14:45 | 542.50
DEN | YUL | American | 2 (DFW, BOS) | 09:30 | 19:15 | 621.00
DEN | YUL | Delta | 0 | 11:00 | 17:30 | 512.00
DEN | YUL | WestJet | 1 (YYC) | 12:45 | 20:10 | 598.50
DEN | YUL | Air Canada | 0 | 14:00 | 20:45 | 549.00
DEN | YUL | Frontier | 1 (MKE) | 15:30 | 22:05 | 479.00
DEN | YUL | Sun Country | 2 (MSP, ORD) | 16:45 | 23:30 | 639.50
DEN | YUL | Spirit | 1 (LAS) | 18:00 | 00:35 | 519.00
YUL | DEN | Air Canada | 0 | 08:30 | 10:15 | 529.00
YUL | DEN | WestJet | 1 (YYC) | 09:45 | 12:20 | 609.50
YUL | DEN | United | 2 (ORD, IAH) | 11:15 | 15:00 | 649.00
YUL | DEN | American | 1 (PHL) | 12:30 | 15:05 | 579.00
YUL | DEN | Delta | 0 | 14:15 | 16:45 | 499.00
YUL | DEN | Frontier | 1 (MKE) | 15:45 | 18:20 | 509.50
YUL | DEN | Sun Country | 2 (MSP, ORD) | 17:00 | 20:45 | 669.50
YUL | DEN | Spirit | 1 (LAS) | 18:30 | 21:05 | 549.00


DEN | BOM | UA | 1 (LHR) | 14:30 | 18:45 | 850.00
DEN | BOM | AA | 2 (ORD, DXB) | 08:15 | 22:50 | 1100.00
DEN | BOM | DL | 1 (AMS) | 10:45 | 16:10 | 900.00
DEN | BOM | LH | 2 (FRA, IST) | 09:00 | 23:30 | 1200.00
DEN | BOM | QR | 1 (DOH) | 11:50 | 17:20 | 950.00
DEN | BOM | EK | 1 (DXB) | 13:20 | 19:40 | 1000.00
DEN | BOM | SQ | 2 (SIN, KUL) | 07:30 | 21:55 | 1300.00
DEN | BOM | TG | 1 (BKK) | 12:10 | 18:35 | 1050.00
BOM | DEN | UA | 1 (EWR) | 02:15 | 13:40 | 920.00
BOM | DEN | AA | 2 (DXB, LHR) | 05:00 | 19:25 | 1250.00
BOM | DEN | DL | 1 (CDG) | 03:45 | 15:10 | 980.00
BOM | DEN | LH | 2 (FRA, MUC) | 04:30 | 18:50 | 1350.00
BOM | DEN | QR | 1 (DOH) | 06:20 | 16:50 | 1050.00
BOM | DEN | EK | 1 (DXB) | 07:50 | 18:20 | 1100.00
BOM | DEN | SQ | 2 (SIN, HKG) | 01:45 | 14:15 | 1400.00
BOM | DEN | TG | 1 (BKK) | 08:40 | 19:05 | 1150.00


DEN | OSL | Norwegian | 1 (LHR) | 08:00 | 18:30 | 450.00
DEN | OSL | Lufthansa | 2 (FRA, CPH) | 10:30 | 21:15 | 620.00
DEN | OSL | United | 1 (EWR) | 12:00 | 22:40 | 580.00
DEN | OSL | SAS | 0 | 14:00 | 20:30 | 500.00
DEN | OSL | American | 2 (PHL, MAN) | 16:00 | 00:20 | 680.00
DEN | OSL | Delta | 1 (AMS) | 18:00 | 02:40 | 550.00
DEN | OSL | British Airways | 1 (LHR) | 20:00 | 04:30 | 520.00
DEN | OSL | Icelandair | 1 (KEF) | 22:00 | 06:20 | 480.00
OSL | DEN | Norwegian | 1 (LHR) | 08:30 | 18:00 | 420.00
OSL | DEN | Lufthansa | 2 (FRA, CPH) | 10:00 | 21:45 | 640.00
OSL | DEN | United | 1 (EWR) | 11:30 | 22:10 | 600.00
OSL | DEN | SAS | 0 | 13:00 | 19:30 | 480.00
OSL | DEN | American | 2 (PHL, MAN) | 15:00 | 23:20 | 700.00
OSL | DEN | Delta | 1 (AMS) | 17:00 | 01:40 | 570.00
OSL | DEN | British Airways | 1 (LHR) | 19:00 | 03:30 | 510.00
OSL | DEN | Icelandair | 1 (KEF) | 21:00 | 05:20 | 460.00


