

Here are the 16 flight plans:

IAH | PHL | United | Non-stop | 06:00 | 10:05 | 258.00
IAH | JAX | Spirit | 0 | 13:50 | 17:05 | 238.00
IAH | JAX | Frontier | 1 (ATL) | 15:20 | 19:35 | 268.00
IAH | JAX | JetBlue | 0 | 16:40 | 20:00 | 248.00
IAH | JAX | Alaska | 1 (DEN) | 18:00 | 22:15 | 308.00
JAX | IAH | United | 0 | 08:30 | 09:50 | 288.00
JAX | IAH | American | 1 (CLT) | 10:00 | 12:20 | 318.00
JAX | IAH | Delta | 0 | 11:20 | 12:40 | 258.00
JAX | IAH | Southwest | 1 (BNA) | 12:40 | 15:00 | 298.00
JAX | IAH | Spirit | 0 | 14:10 | 15:30 | 228.00
JAX | IAH | Frontier | 1 (MCO) | 15:40 | 18:00 | 268.00
JAX | IAH | JetBlue | 0 | 17:00 | 18:20 | 248.00
JAX | IAH | Alaska | 1 (SFO) | 18:30 | 21:50 | 328.00


Here are the 16 flight plans:

IAH | SFB | United | Non-stop | 06:00 | 09:35 | 250.00
IAH | SFB | American | 1 stop (MIA) | 08:15 | 12:10 | 320.00
IAH | SFB | Delta | Non-stop | 10:30 | 14:05 | 280.00
IAH | SFB | Southwest | 1 stop (HOU) | 12:00 | 16:25 | 290.00
IAH | SFB | JetBlue | Non-stop | 14:45 | 18:20 | 260.00
IAH | SFB | Spirit | 1 stop (FLL) | 16:30 | 20:55 | 240.00
IAH | SFB | Frontier | Non-stop | 18:15 | 21:50 | 270.00
IAH | SFB | Alaska | 1 stop (SEA) | 20:00 | 00:35 | 330.00

SFB | IAH | United | Non-stop | 06:30 | 08:10 | 230.00
SFB | IAH | American | 1 stop (CLT) | 08:45 | 12:20 | 300.00
SFB | IAH | Delta | Non-stop | 11:00 | 13:40 | 250.00
SFB | IAH | Southwest | 1 stop (BHM) | 12:30 | 16:05 | 280.00
SFB | IAH | JetBlue | Non-stop | 14:15 | 16:55 | 240.00
SFB | IAH | Spirit | 1 stop (ATL) | 16:00 | 20:30 | 260.00
SFB | IAH | Frontier | Non-stop | 17:45 | 20:25 | 270.00
SFB | IAH | Alaska | 1 stop (DEN) | 20:30 | 00:05 | 310.00


Here are the 16 flight plans:

IAH | MTJ | United | Non-stop | 08:00 | 10:35 | 275.00
IAH | MTJ | American | 1 stop (DEN) | 09:15 | 12:50 | 325.00
IAH | MTJ | Delta | Non-stop | 10:45 | 13:20 | 295.00
IAH | MTJ | Southwest | 1 stop (PHX) | 11:30 | 15:05 | 345.00
IAH | MTJ | Frontier | Non-stop | 12:15 | 14:50 | 265.00
IAH | MTJ | Spirit | 1 stop (LAS) | 13:00 | 16:35 | 315.00
IAH | MTJ | JetBlue | Non-stop | 14:45 | 17:20 | 285.00
IAH | MTJ | Alaska | 1 stop (SFO) | 15:30 | 19:05 | 355.00
MTJ | IAH | United | Non-stop | 08:30 | 11:05 | 245.00
MTJ | IAH | American | 1 stop (ORD) | 09:45 | 13:20 | 295.00
MTJ | IAH | Delta | Non-stop | 11:15 | 13:50 | 275.00
MTJ | IAH | Southwest | 1 stop (DAL) | 12:00 | 15:35 | 325.00
MTJ | IAH | Frontier | Non-stop | 13:30 | 16:05 | 235.00
MTJ | IAH | Spirit | 1 stop (IAA) | 14:15 | 17:50 | 285.00
MTJ | IAH | JetBlue | Non-stop | 15:45 | 18:20 | 255.00
MTJ | IAH | Alaska | 1 stop (PDX) | 16:30 | 20:05 | 335.00


Here are the 16 flight plans:

IAH | DRO | United | 0 | 08:00 | 10:35 | 250.00
IAH | DRO | American | 1 (DEN) | 09:15 | 12:50 | 320.00
IAH | DRO | Delta | 0 | 10:45 | 13:20 | 280.00
IAH | DRO | Southwest | 1 (ABQ) | 11:30 | 15:05 | 350.00
IAH | DRO | United | 0 | 12:15 | 14:50 | 220.00
IAH | DRO | Frontier | 1 (PHX) | 13:00 | 16:35 | 300.00
IAH | DRO | American | 0 | 14:45 | 17:20 | 240.00
IAH | DRO | Delta | 1 (SLC) | 15:30 | 19:05 | 330.00
DRO | IAH | United | 0 | 06:00 | 08:35 | 230.00
DRO | IAH | American | 1 (DEN) | 07:15 | 10:50 | 290.00
DRO | IAH | Delta | 0 | 08:45 | 11:20 | 260.00
DRO | IAH | Southwest | 1 (ABQ) | 09:30 | 13:05 | 310.00
DRO | IAH | United | 0 | 10:15 | 12:50 | 210.00
DRO | IAH | Frontier | 1 (PHX) | 11:00 | 14:35 | 280.00
DRO | IAH | American | 0 | 12:45 | 15:20 | 250.00
DRO | IAH | Delta | 1 (SLC) | 13:30 | 17:05 | 300.00


Here are the 16 flight plans:

IAH | BOZ | United | 0 | 08:00 | 12:30 | 850.00
IAH | BOZ | American | 1 (DFW) | 09:15 | 14:50 | 720.00
IAH | BOZ | Delta | 0 | 10:30 | 15:00 | 900.00
IAH | BOZ | Lufthansa | 2 (FRA, CDG) | 11:45 | 19:15 | 1200.00
IAH | BOZ | Turkish | 1 (IST) | 12:00 | 17:30 | 950.00
IAH | BOZ | Emirates | 1 (DXB) | 13:15 | 20:45 | 1100.00
IAH | BOZ | Qatar | 1 (DOH) | 14:30 | 22:00 | 1000.00
IAH | BOZ | Air France | 2 (CDG, AMS) | 15:45 | 23:30 | 1300.00
BOZ | IAH | United | 0 | 06:00 | 10:30 | 800.00
BOZ | IAH | American | 1 (ORD) | 07:15 | 12:50 | 690.00
BOZ | IAH | Delta | 0 | 08:30 | 13:00 | 850.00
BOZ | IAH | Lufthansa | 2 (FRA, MUC) | 09:45 | 16:15 | 1150.00
BOZ | IAH | Turkish | 1 (IST) | 10:00 | 15:30 | 920.00
BOZ | IAH | Emirates | 1 (DXB) | 11:15 | 18:45 | 1050.00
BOZ | IAH | Qatar | 1 (DOH) | 12:30 | 20:00 | 970.00
BOZ | IAH | Air France | 2 (CDG, LHR) | 13:45 | 22:30 | 1250.00
BOZ | IAH | KLM | 2 (AMS, FRA) | 14:00 | 23:30 | 1350.00


Here are the 16 flight plans:

IAH | JAC | United | Non-stop | 08:00 | 11:15 | 450.00
IAH | JAC | American | 1 stop (DEN) | 09:30 | 13:45 | 520.00
IAH | JAC | Delta | Non-stop | 10:45 | 14:00 | 480.00
IAH | JAC | Southwest | 1 stop (PHX) | 12:00 | 16:15 | 550.00
IAH | JAC | Alaska | Non-stop | 13:15 | 16:30 | 500.00
IAH | JAC | JetBlue | 1 stop (LAX) | 14:30 | 18:45 | 580.00
IAH | JAC | Spirit | 1 stop (LAS) | 15:45 | 20:00 | 420.00
IAH | JAC | Frontier | Non-stop | 17:00 | 20:15 | 460.00
JAC | IAH | United | Non-stop | 08:30 | 12:45 | 430.00
JAC | IAH | American | 1 stop (ORD) | 10:00 | 14:15 | 490.00
JAC | IAH | Delta | Non-stop | 11:30 | 15:45 | 510.00
JAC | IAH | Southwest | 1 stop (DAL) | 12:45 | 16:55 | 530.00
JAC | IAH | Alaska | Non-stop | 14:00 | 17:15 | 470.00
JAC | IAH | JetBlue | 1 stop (SFO) | 15:15 | 19:30 | 560.00
JAC | IAH | Spirit | 1 stop (DFW) | 16:30 | 20:45 | 440.00
JAC | IAH | Frontier | Non-stop | 17:45 | 21:00 | 480.00


Here are the 16 flight plans:

IAH | FAT | United | 0 | 08:00 | 10:30 | 420.00
IAH | FAT | American | 1 (DEN) | 09:15 | 12:45 | 450.00
IAH | FAT | Delta | 0 | 10:30 | 13:00 | 480.00
IAH | FAT | Southwest | 1 (PHX) | 11:45 | 15:15 | 510.00
IAH | FAT | Alaska | 0 | 13:00 | 15:30 | 530.00
IAH | FAT | JetBlue | 1 (LAX) | 14:15 | 17:45 | 550.00
IAH | FAT | Spirit | 1 (LAS) | 15:30 | 18:00 | 570.00
IAH | FAT | Frontier | 0 | 16:45 | 19:15 | 590.00

FAT | IAH | United | 0 | 07:00 | 09:30 | 400.00
FAT | IAH | American | 1 (SFO) | 08:15 | 11:45 | 430.00
FAT | IAH | Delta | 0 | 09:30 | 12:00 | 460.00
FAT | IAH | Southwest | 1 (SAN) | 10:45 | 13:15 | 490.00
FAT | IAH | Alaska | 0 | 12:00 | 14:30 | 510.00
FAT | IAH | JetBlue | 1 (ORD) | 13:15 | 16:45 | 530.00
FAT | IAH | Spirit | 1 (DFW) | 14:30 | 17:00 | 550.00
FAT | IAH | Frontier | 0 | 15:45 | 18:15 | 570.00


Here are the 16 flight plans:

IAH | SJC | United | Non-stop | 06:00 | 08:35 | 250.00
IAH | SJC | American | 1 stop (DFW) | 07:30 | 11:05 | 280.00
IAH | SJC | Delta | Non-stop | 08:15 | 10:50 | 220.00
IAH | SJC | Southwest | 1 stop (DEN) | 09:00 | 12:30 | 240.00
IAH | SJC | Alaska | Non-stop | 10:45 | 13:20 | 260.00
IAH | SJC | JetBlue | 1 stop (LAX) | 11:15 | 14:40 | 300.00
IAH | SJC | Spirit | 1 stop (LAS) | 12:00 | 15:25 | 200.00
IAH | SJC | Frontier | 1 stop (PHX) | 13:30 | 16:55 | 230.00
SJC | IAH | United | Non-stop | 06:00 | 11:35 | 270.00
SJC | IAH | American | 1 stop (PHX) | 07:30 | 12:05 | 290.00
SJC | IAH | Delta | Non-stop | 08:15 | 13:50 | 240.00
SJC | IAH | Southwest | 1 stop (DEN) | 09:00 | 14:30 | 260.00
SJC | IAH | Alaska | Non-stop | 10:45 | 16:20 | 280.00
SJC | IAH | JetBlue | 1 stop (LAX) | 11:15 | 17:40 | 320.00
SJC | IAH | Spirit | 1 stop (LAS) | 12:00 | 18:25 | 220.00
SJC | IAH | Frontier | 1 stop (DFW) | 13:30 | 19:55 | 250.00


Here are the 16 flight plans:

IAH | SGU | United | 1 (DEN) | 08:00 | 11:30 | 350.00
IAH | SGU | American | 0 | 09:30 | 12:50 | 280.00
IAH | SGU | Delta | 1 (ATL) | 10:45 | 14:10 | 320.00
IAH | SGU | Southwest | 0 | 12:15 | 15:35 | 240.00
IAH | SGU | United | 1 (ORD) | 14:00 | 17:25 | 300.00
IAH | SGU | Alaska | 1 (SEA) | 15:30 | 18:55 | 330.00
IAH | SGU | JetBlue | 0 | 16:45 | 20:10 | 260.00
IAH | SGU | Spirit | 1 (LAS) | 18:00 | 21:25 | 290.00
SGU | IAH | American | 0 | 06:00 | 09:20 | 270.00
SGU | IAH | Delta | 1 (SFO) | 07:15 | 10:40 | 310.00
SGU | IAH | United | 1 (DEN) | 08:30 | 11:55 | 290.00
SGU | IAH | Southwest | 0 | 10:00 | 13:25 | 230.00
SGU | IAH | Alaska | 1 (PDX) | 11:45 | 15:10 | 300.00
SGU | IAH | JetBlue | 0 | 13:15 | 16:40 | 250.00
SGU | IAH | Spirit | 1 (PHX) | 14:30 | 17:55 | 280.00
SGU | IAH | Frontier | 1 (MCO) | 16:00 | 19:25 | 260.00


Here are the 16 flight plans:

IAH | LAS | United | 0 | 08:00 | 09:35 | 198.00
IAH | LAS | American | 1 (DFW) | 09:15 | 12:05 | 220.00
IAH | LAS | Delta | 0 | 10:45 | 12:20 | 180.00
IAH | LAS | Southwest | 0 | 12:00 | 13:35 | 190.00
IAH | LAS | United | 1 (DEN) | 13:30 | 16:20 | 240.00
IAH | LAS | Frontier | 0 | 14:15 | 15:50 | 160.00
IAH | LAS | Spirit | 1 (HOU) | 15:00 | 18:00 | 210.00
IAH | LAS | Alaska | 0 | 16:30 | 18:05 | 200.00
LAS | IAH | United | 0 | 08:30 | 12:05 | 210.00
LAS | IAH | American | 1 (PHX) | 09:45 | 13:35 | 230.00
LAS | IAH | Delta | 0 | 11:15 | 14:50 | 190.00
LAS | IAH | Southwest | 0 | 12:45 | 16:20 | 200.00
LAS | IAH | United | 1 (SFO) | 14:00 | 17:45 | 250.00
LAS | IAH | Frontier | 0 | 15:30 | 18:05 | 180.00
LAS | IAH | Spirit | 1 (LAX) | 16:15 | 19:55 | 220.00
LAS | IAH | Alaska | 0 | 17:45 | 21:20 | 210.00


Here are the 16 flight plans:

IAH | AMS | UA | 1 (LHR) | 14:30 | 07:35 | 850.00
IAH | AMS | KL | 0 | 16:45 | 09:50 | 950.00
IAH | AMS | LH | 1 (FRA) | 18:00 | 11:20 | 1050.00
IAH | AMS | AA | 1 (PHL) | 20:15 | 13:40 | 900.00
IAH | AMS | BA | 1 (LHR) | 21:50 | 15:05 | 1000.00
IAH | AMS | DL | 1 (ATL) | 08:00 | 19:25 | 1100.00
IAH | AMS | AF | 1 (CDG) | 10:30 | 22:00 | 1200.00
IAH | AMS | TK | 1 (IST) | 12:45 | 23:55 | 1300.00

AMS | IAH | UA | 1 (EWR) | 09:00 | 13:40 | 800.00
AMS | IAH | KL | 0 | 11:15 | 15:50 | 900.00
AMS | IAH | LH | 1 (FRA) | 13:30 | 18:20 | 1000.00
AMS | IAH | AA | 1 (PHL) | 15:45 | 20:40 | 950.00
AMS | IAH | BA | 1 (LHR) | 17:10 | 22:35 | 1050.00
AMS | IAH | DL | 1 (ATL) | 19:20 | 00:55 | 1100.00
AMS | IAH | AF | 1 (CDG) | 21:40 | 03:15 | 1200.00
AMS | IAH | TK | 1 (IST) | 23:55 | 05:30 | 1300.00


Here are the 16 flight plans:

IAH | AUA | United | 0 | 08:00 | 12:30 | 450.00
IAH | AUA | American | 1 (MIA) | 09:30 | 15:45 | 520.00
IAH | AUA | Delta | 0 | 11:15 | 15:40 | 480.00
IAH | AUA | Spirit | 1 (FLL) | 12:45 | 18:00 | 400.00
IAH | AUA | JetBlue | 0 | 14:00 | 18:20 | 510.00
IAH | AUA | Frontier | 1 (ATL) | 15:30 | 20:45 | 440.00
IAH | AUA | Southwest | 0 | 17:00 | 21:25 | 500.00
IAH | AUA | Alaska | 1 (SFO) | 18:45 | 23:59 | 530.00

AUA | IAH | United | 0 | 08:30 | 11:00 | 420.00
AUA | IAH | American | 1 (CLT) | 09:45 | 14:10 | 490.00
AUA | IAH | Delta | 0 | 11:20 | 14:40 | 450.00
AUA | IAH | Spirit | 1 (BWI) | 12:50 | 17:15 | 380.00
AUA | IAH | JetBlue | 0 | 14:10 | 17:30 | 460.00
AUA | IAH | Frontier | 1 (DEN) | 15:35 | 20:00 | 410.00
AUA | IAH | Southwest | 0 | 17:05 | 20:30 | 480.00
AUA | IAH | Alaska | 1 (LAX) | 18:50 | 23:15 | 500.00


Here are the 16 flight plans:

IAH | ATH | United | 1 (LHR) | 08:00 | 18:30 | 850.00
IAH | ATH | Lufthansa | 2 (FRA, MUC) | 10:00 | 21:00 | 1050.00
IAH | ATH | Emirates | 1 (DXB) | 12:00 | 23:30 | 1200.00
IAH | ATH | American | 0 | 14:00 | 08:00 (+1) | 900.00
IAH | ATH | British Airways | 1 (LHR) | 16:00 | 10:30 (+1) | 1000.00
IAH | ATH | Turkish | 1 (IST) | 18:00 | 12:30 (+1) | 1100.00
IAH | ATH | Qatar | 1 (DOH) | 20:00 | 14:30 (+1) | 1300.00
IAH | ATH | Delta | 2 (ATL, CDG) | 22:00 | 18:00 (+1) | 1250.00
ATH | IAH | United | 1 (EWR) | 08:00 | 14:00 | 800.00
ATH | IAH | Lufthansa | 2 (MUC, FRA) | 10:00 | 18:00 | 950.00
ATH | IAH | Emirates | 1 (DXB) | 12:00 | 20:00 | 1100.00
ATH | IAH | American | 0 | 14:00 | 08:00 | 850.00
ATH | IAH | British Airways | 1 (LHR) | 16:00 | 10:00 | 900.00
ATH | IAH | Turkish | 1 (IST) | 18:00 | 12:00 | 1000.00
ATH | IAH | Qatar | 1 (DOH) | 20:00 | 14:00 | 1200.00
ATH | IAH | Delta | 2 (CDG, ATL) | 22:00 | 18:00 | 1150.00
ATH | IAH | KLM | 2 (AMS, SFO) | 00:00 (+1) | 10:00 | 1050.00


Here are the 16 flight plans:

IAH | AKL | NZ | 1 (LAX) | 09:00 | 06:30 | 1450.00
IAH | AKL | UA | 2 (SFO, HNL) | 11:30 | 09:15 | 1700.00
IAH | AKL | AA | 1 (DFW) | 13:45 | 11:20 | 1600.00
IAH | AKL | QF | 2 (LAX, SYD) | 15:15 | 13:00 | 1800.00
IAH | AKL | DL | 1 (ATL) | 17:00 | 14:40 | 1550.00
IAH | AKL | NZ | 0 | 19:30 | 17:05 | 1900.00
IAH | AKL | UA | 1 (SFO) | 21:15 | 19:00 | 1650.00
IAH | AKL | AA | 2 (DFW, HNL) | 23:45 | 21:30 | 1750.00
AKL | IAH | NZ | 1 (LAX) | 09:00 | 06:30 | 1450.00
AKL | IAH | UA | 2 (HNL, SFO) | 11:30 | 09:15 | 1700.00
AKL | IAH | AA | 1 (HNL) | 13:45 | 11:20 | 1600.00
AKL | IAH | QF | 2 (SYD, LAX) | 15:15 | 13:00 | 1800.00
AKL | IAH | DL | 1 (ATL) | 17:00 | 14:40 | 1550.00
AKL | IAH | NZ | 0 | 19:30 | 17:05 | 1900.00
AKL | IAH | UA | 1 (SFO) | 21:15 | 19:00 | 1650.00
AKL | IAH | AA | 2 (HNL, DFW) | 23:45 | 21:30 | 1750.00


Here are the 16 flight plans:

IAH | DPS | United | 1 (NRT) | 09:00 | 20:30 | 850.00
IAH | DPS | Singapore | 1 (SIN) | 11:00 | 22:30 | 900.00
IAH | DPS | ANA | 2 (NRT, HKG) | 13:00 | 01:30 | 1100.00
IAH | DPS | Qatar | 1 (DOH) | 15:00 | 04:30 | 1000.00
IAH | DPS | Turkish | 2 (IST, DXB) | 17:00 | 07:30 | 1200.00
IAH | DPS | Lufthansa | 1 (FRA) | 19:00 | 10:30 | 1050.00
IAH | DPS | Emirates | 1 (DXB) | 21:00 | 12:30 | 950.00
IAH | DPS | Cathay | 2 (HKG, SIN) | 23:00 | 15:30 | 1250.00

DPS | IAH | United | 1 (NRT) | 08:00 | 19:30 | 800.00
DPS | IAH | Singapore | 1 (SIN) | 10:00 | 21:30 | 850.00
DPS | IAH | ANA | 2 (HKG, NRT) | 12:00 | 23:30 | 1050.00
DPS | IAH | Qatar | 1 (DOH) | 14:00 | 02:30 | 950.00
DPS | IAH | Turkish | 2 (DXB, IST) | 16:00 | 05:30 | 1150.00
DPS | IAH | Lufthansa | 1 (FRA) | 18:00 | 08:30 | 1000.00
DPS | IAH | Emirates | 1 (DXB) | 20:00 | 10:30 | 900.00
DPS | IAH | Cathay | 2 (SIN, HKG) | 22:00 | 13:30 | 1200.00


Here are the 16 flight plans:

IAH | BCN | United | Non-stop | 08:00 | 18:30 | 849.00
IAH | BCN | American | 1 stop (PHL) | 09:30 | 20:15 | 939.00
IAH | BCN | Lufthansa | 1 stop (FRA) | 11:00 | 21:45 | 1049.00
IAH | BCN | Delta | Non-stop | 12:30 | 22:15 | 899.00
IAH | BCN | British Airways | 1 stop (LHR) | 13:45 | 23:20 | 1099.00
IAH | BCN | Iberia | Non-stop | 15:00 | 23:45 | 949.00
IAH | BCN | Turkish Airlines | 1 stop (IST) | 16:15 | 01:00 | 1149.00
IAH | BCN | KLM | 1 stop (AMS) | 17:30 | 02:15 | 1199.00
BCN | IAH | United | Non-stop | 09:00 | 13:30 | 879.00
BCN | IAH | American | 1 stop (MIA) | 10:30 | 15:15 | 989.00
BCN | IAH | Lufthansa | 1 stop (FRA) | 12:00 | 16:45 | 1099.00
BCN | IAH | Delta | Non-stop | 13:30 | 18:15 | 929.00
BCN | IAH | British Airways | 1 stop (LHR) | 14:45 | 19:20 | 1149.00
BCN | IAH | Iberia | Non-stop | 16:00 | 20:45 | 999.00
BCN | IAH | Turkish Airlines | 1 stop (IST) | 17:15 | 22:00 | 1249.00
BCN | IAH | KLM | 1 stop (AMS) | 18:30 | 23:15 | 1299.00
BCN | IAH | Air Europa | 1 stop (MAD) | 19:45 | 00:20 | 1199.00


Here are the 16 flight plans:

IAH | PEK | UA | 1 (NRT) | 10:30 | 14:45 | 850.00
IAH | PEK | AA | 2 (DFW, HKG) | 09:15 | 16:10 | 1050.00
IAH | PEK | CA | 0 | 11:45 | 15:50 | 700.00
IAH | PEK | DL | 1 (LAX) | 08:00 | 14:20 | 900.00
IAH | PEK | HU | 2 (ORD, ICN) | 12:30 | 18:40 | 1200.00
IAH | PEK | MU | 1 (PVG) | 13:15 | 17:30 | 1000.00
IAH | PEK | CZ | 2 (CAN, KMG) | 14:00 | 20:10 | 1100.00
IAH | PEK | OZ | 1 (ICN) | 15:45 | 21:00 | 950.00
PEK | IAH | UA | 1 (NRT) | 09:00 | 07:15 | 800.00
PEK | IAH | AA | 2 (HKG, DFW) | 10:30 | 09:40 | 1000.00
PEK | IAH | CA | 0 | 11:15 | 09:20 | 650.00
PEK | IAH | DL | 1 (LAX) | 12:45 | 11:00 | 850.00
PEK | IAH | HU | 2 (ICN, ORD) | 14:00 | 12:30 | 1150.00
PEK | IAH | MU | 1 (PVG) | 15:30 | 13:50 | 950.00
PEK | IAH | CZ | 2 (KMG, CAN) | 16:15 | 15:20 | 1050.00
PEK | IAH | OZ | 1 (ICN) | 17:45 | 16:10 | 900.00


Here are the 16 flight plans:

IAH | BER | Lufthansa | 1 (FRA) | 08:00 | 18:30 | 850.00
IAH | BER | United | 2 (EWR, FRA) | 10:00 | 20:30 | 1100.00
IAH | BER | American | 1 (PHL) | 12:00 | 22:30 | 950.00
IAH | BER | Delta | 1 (ATL) | 14:00 | 00:30 | 1050.00
IAH | BER | Turkish | 2 (IST, MUC) | 16:00 | 02:30 | 1200.00
IAH | BER | British Airways | 1 (LHR) | 18:00 | 04:30 | 1000.00
IAH | BER | Iberia | 2 (MAD, FRA) | 20:00 | 06:30 | 1150.00
IAH | BER | KLM | 1 (AMS) | 22:00 | 08:30 | 900.00

BER | IAH | Lufthansa | 1 (FRA) | 08:00 | 18:30 | 850.00
BER | IAH | United | 2 (FRA, EWR) | 10:00 | 20:30 | 1100.00
BER | IAH | American | 1 (PHL) | 12:00 | 22:30 | 950.00
BER | IAH | Delta | 1 (ATL) | 14:00 | 00:30 | 1050.00
BER | IAH | Turkish | 2 (MUC, IST) | 16:00 | 02:30 | 1200.00
BER | IAH | British Airways | 1 (LHR) | 18:00 | 04:30 | 1000.00
BER | IAH | Iberia | 2 (FRA, MAD) | 20:00 | 06:30 | 1150.00
BER | IAH | KLM | 1 (AMS) | 22:00 | 08:30 | 900.00


Here are the 16 flight plans:

IAH | EZE | American Airlines | 1 (GRU) | 08:00 | 22:30 | 850.00
IAH | EZE | LATAM | 0 | 10:30 | 20:45 | 950.00
IAH | EZE | Delta Air Lines | 1 (ATL) | 12:00 | 23:50 | 1,020.00
IAH | EZE | United Airlines | 0 | 14:00 | 22:10 | 1,050.00
IAH | EZE | Avianca | 1 (BOG) | 16:00 | 01:20 | 900.00
IAH | EZE | Copa Airlines | 1 (PTY) | 18:00 | 02:30 | 980.00
IAH | EZE | Aeromexico | 1 (MEX) | 20:00 | 04:00 | 1,100.00
IAH | EZE | Turkish Airlines | 1 (IST) | 22:00 | 06:30 | 1,200.00
EZE | IAH | American Airlines | 1 (GRU) | 08:30 | 18:00 | 900.00
EZE | IAH | LATAM | 0 | 11:00 | 19:15 | 1,000.00
EZE | IAH | Delta Air Lines | 1 (ATL) | 13:30 | 21:50 | 1,080.00
EZE | IAH | United Airlines | 0 | 15:30 | 21:40 | 1,120.00
EZE | IAH | Avianca | 1 (BOG) | 17:30 | 00:50 | 950.00
EZE | IAH | Copa Airlines | 1 (PTY) | 19:30 | 02:00 | 1,030.00
EZE | IAH | Aeromexico | 1 (MEX) | 21:30 | 04:30 | 1,150.00
EZE | IAH | Turkish Airlines | 1 (IST) | 23:30 | 07:00 | 1,250.00


Here are the 16 flight plans:

IAH | SJD | United | 0 | 08:00 | 10:35 | 425.00
IAH | SJD | American | 1 (DFW) | 09:15 | 12:50 | 550.00
IAH | SJD | Delta | 0 | 10:45 | 13:20 | 475.00
IAH | SJD | Frontier | 1 (DEN) | 11:30 | 15:05 | 400.00
IAH | SJD | Spirit | 0 | 12:15 | 14:50 | 350.00
IAH | SJD | Southwest | 1 (HOU) | 13:00 | 16:35 | 450.00
IAH | SJD | Alaska | 0 | 14:45 | 17:20 | 500.00
IAH | SJD | JetBlue | 1 (LAX) | 15:30 | 18:05 | 525.00
SJD | IAH | United | 0 | 08:00 | 11:35 | 425.00
SJD | IAH | American | 1 (PHX) | 09:15 | 12:50 | 575.00
SJD | IAH | Delta | 0 | 10:45 | 13:20 | 475.00
SJD | IAH | Frontier | 1 (DEN) | 11:30 | 14:05 | 425.00
SJD | IAH | Spirit | 0 | 12:15 | 14:50 | 375.00
SJD | IAH | Southwest | 1 (HOU) | 13:00 | 15:35 | 475.00
SJD | IAH | Alaska | 0 | 14:45 | 17:20 | 525.00
SJD | IAH | JetBlue | 1 (LAX) | 15:30 | 18:05 | 550.00


Here are the 16 flight plans:

IAH | CAI | EgyptAir | 1 (LHR) | 10:30 | 06:45 | 850.00
IAH | CAI | Lufthansa | 2 (FRA, MXP) | 14:15 | 10:50 | 1100.00
IAH | CAI | Turkish Airlines | 1 (IST) | 18:00 | 14:30 | 950.00
IAH | CAI | Emirates | 1 (DXB) | 20:45 | 17:15 | 1000.00
IAH | CAI | Qatar Airways | 1 (DOH) | 22:15 | 19:00 | 1050.00
IAH | CAI | British Airways | 2 (LHR, FRA) | 08:00 | 05:30 | 1200.00
IAH | CAI | KLM | 2 (AMS, CAI) | 12:30 | 09:15 | 1150.00
IAH | CAI | Air France | 2 (CDG, FCO) | 16:45 | 13:20 | 1250.00

CAI | IAH | EgyptAir | 1 (LHR) | 09:00 | 14:15 | 900.00
CAI | IAH | Lufthansa | 2 (FRA, MXP) | 11:30 | 18:45 | 1150.00
CAI | IAH | Turkish Airlines | 1 (IST) | 14:00 | 20:30 | 1000.00
CAI | IAH | Emirates | 1 (DXB) | 16:15 | 22:45 | 1050.00
CAI | IAH | Qatar Airways | 1 (DOH) | 18:30 | 01:15 | 1100.00
CAI | IAH | British Airways | 2 (LHR, FRA) | 20:45 | 04:15 | 1250.00
CAI | IAH | KLM | 2 (AMS, CAI) | 22:15 | 06:45 | 1200.00
CAI | IAH | Air France | 2 (CDG, FCO) | 00:30 | 08:15 | 1300.00


Here are the 16 flight plans:

IAH | CUN | United | 0 | 08:00 | 11:15 | 450.00
IAH | CUN | American | 1 (MIA) | 09:30 | 14:50 | 520.00
IAH | CUN | Delta | 0 | 11:45 | 15:00 | 480.00
IAH | CUN | Frontier | 1 (DEN) | 13:15 | 18:30 | 400.00
IAH | CUN | Spirit | 0 | 15:00 | 18:15 | 380.00
IAH | CUN | Southwest | 1 (HOU) | 16:30 | 21:45 | 440.00
IAH | CUN | JetBlue | 0 | 18:00 | 21:15 | 420.00
IAH | CUN | Alaska | 1 (SFO) | 20:00 | 01:20 | 500.00

CUN | IAH | United | 0 | 08:30 | 11:45 | 460.00
CUN | IAH | American | 1 (DFW) | 10:00 | 15:20 | 540.00
CUN | IAH | Delta | 0 | 12:15 | 15:30 | 490.00
CUN | IAH | Frontier | 1 (ATL) | 14:00 | 19:15 | 410.00
CUN | IAH | Spirit | 0 | 15:45 | 19:00 | 390.00
CUN | IAH | Southwest | 1 (BNA) | 17:15 | 22:30 | 450.00
CUN | IAH | JetBlue | 0 | 19:00 | 22:15 | 430.00
CUN | IAH | Alaska | 1 (LAX) | 21:00 | 02:20 | 510.00


Here are the 16 flight plans:

IAH | CPT | United | 1 (LHR) | 08:00 | 18:30 | 1200.00
IAH | CPT | Lufthansa | 2 (FRA, JNB) | 10:30 | 22:15 | 1500.00
IAH | CPT | Emirates | 1 (DXB) | 12:45 | 02:10 | 1800.00
IAH | CPT | Qatar | 1 (DOH) | 15:00 | 04:30 | 1600.00
IAH | CPT | South African | 0 | 18:00 | 14:00 | 1000.00
IAH | CPT | Turkish | 1 (IST) | 20:15 | 16:45 | 1400.00
