

Here are the 16 flight plans:

BOS | SEA | AA | 1 (ORD) | 06:00 | 11:30 | 450.00
BOS | JAC | F9 | 1 (DEN) | 14:30 | 18:15 | 580.00
BOS | JAC | B6 | 0 | 16:00 | 19:30 | 530.00
BOS | JAC | NK | 1 (ORD) | 17:30 | 21:45 | 610.00
JAC | BOS | AA | 0 | 06:30 | 10:00 | 470.00
JAC | BOS | UA | 1 (SFO) | 08:00 | 12:45 | 540.00
JAC | BOS | DL | 0 | 10:30 | 14:00 | 510.00
JAC | BOS | WN | 1 (LAS) | 12:00 | 16:15 | 570.00
JAC | BOS | AS | 0 | 13:30 | 17:00 | 520.00
JAC | BOS | F9 | 1 (DEN) | 15:00 | 19:15 | 590.00
JAC | BOS | B6 | 0 | 16:30 | 20:00 | 550.00
JAC | BOS | NK | 1 (ORD) | 18:00 | 22:15 | 620.00


Here are the 16 flight plans:

BOS | FAT | AA | 1 (ORD) | 08:00 | 11:45 | 450.00
BOS | FAT | UA | 0 | 10:30 | 14:15 | 520.00
BOS | FAT | DL | 1 (ATL) | 12:45 | 16:30 | 480.00
BOS | FAT | WN | 1 (MDW) | 14:00 | 18:00 | 420.00
BOS | FAT | AS | 1 (SEA) | 16:30 | 20:15 | 500.00
BOS | FAT | B6 | 1 (JFK) | 18:00 | 21:45 | 460.00
BOS | FAT | F9 | 1 (DEN) | 20:00 | 23:45 | 440.00
BOS | FAT | NK | 1 (LAS) | 21:30 | 01:15 | 400.00

FAT | BOS | AA | 1 (PHX) | 07:00 | 14:30 | 420.00
FAT | BOS | UA | 1 (SFO) | 09:00 | 16:45 | 480.00
FAT | BOS | DL | 1 (LAX) | 11:30 | 19:15 | 500.00
FAT | BOS | WN | 1 (DAL) | 13:00 | 20:45 | 440.00
FAT | BOS | AS | 1 (PDX) | 15:00 | 22:30 | 460.00
FAT | BOS | B6 | 1 (MCO) | 17:00 | 00:45 | 480.00
FAT | BOS | F9 | 1 (IAH) | 19:00 | 02:30 | 420.00
FAT | BOS | NK | 1 (EWR) | 21:00 | 04:30 | 400.00


Here are the 16 flight plans:

BOS | SJC | AA | 0 | 08:00 | 11:30 | 450.00
BOS | SJC | UA | 1 (DEN) | 09:15 | 13:45 | 520.00
BOS | SJC | DL | 0 | 10:30 | 14:00 | 480.00
BOS | SJC | WN | 1 (MDW) | 11:45 | 16:15 | 550.00
BOS | SJC | AS | 0 | 13:00 | 16:30 | 500.00
BOS | SJC | F9 | 1 (LAS) | 14:15 | 18:45 | 580.00
BOS | SJC | B6 | 0 | 15:30 | 19:00 | 530.00
BOS | SJC | NK | 1 (ORD) | 16:45 | 21:15 | 610.00
SJC | BOS | AA | 0 | 08:00 | 16:30 | 470.00
SJC | BOS | UA | 1 (IAH) | 09:15 | 18:45 | 540.00
SJC | BOS | DL | 0 | 10:30 | 19:00 | 510.00
SJC | BOS | WN | 1 (PHX) | 11:45 | 21:15 | 570.00
SJC | BOS | AS | 0 | 13:00 | 21:30 | 520.00
SJC | BOS | F9 | 1 (MCO) | 14:15 | 23:45 | 600.00
SJC | BOS | B6 | 0 | 15:30 | 00:00 | 550.00
SJC | BOS | NK | 1 (DFW) | 16:45 | 02:15 | 630.00


Here are the 16 flight plans:

BOS | SGU | American Airlines | Non-stop | 06:00 | 09:35 | 425.00
BOS | SGU | Delta Air Lines | 1 stop (ATL) | 08:15 | 12:50 | 475.00
BOS | SGU | United Airlines | Non-stop | 10:30 | 14:05 | 450.00
BOS | SGU | JetBlue Airways | 1 stop (JFK) | 12:45 | 17:20 | 495.00
BOS | SGU | Alaska Airlines | Non-stop | 15:00 | 18:35 | 480.00
BOS | SGU | Spirit Airlines | 1 stop (ORD) | 17:15 | 22:50 | 520.00
BOS | SGU | Frontier Airlines | Non-stop | 19:30 | 23:05 | 500.00
BOS | SGU | Southwest Airlines | 1 stop (MDW) | 21:45 | 03:20 | 540.00
SGU | BOS | American Airlines | Non-stop | 06:00 | 09:35 | 425.00
SGU | BOS | Delta Air Lines | 1 stop (ATL) | 08:15 | 12:50 | 475.00
SGU | BOS | United Airlines | Non-stop | 10:30 | 14:05 | 450.00
SGU | BOS | JetBlue Airways | 1 stop (JFK) | 12:45 | 17:20 | 495.00
SGU | BOS | Alaska Airlines | Non-stop | 15:00 | 18:35 | 480.00
SGU | BOS | Spirit Airlines | 1 stop (ORD) | 17:15 | 22:50 | 520.00
SGU | BOS | Frontier Airlines | Non-stop | 19:30 | 23:05 | 500.00
SGU | BOS | Southwest Airlines | 1 stop (MDW) | 21:45 | 03:20 | 540.00


Here are the 16 flight plans:

BOS | LAS | AA | Non-stop | 08:00 | 11:30 | 420.00
BOS | LAS | UA | 1 stop (DEN) | 09:15 | 13:45 | 450.00
BOS | LAS | WN | Non-stop | 10:30 | 14:00 | 380.00
BOS | LAS | DL | 1 stop (ATL) | 11:45 | 16:15 | 500.00
BOS | LAS | AS | Non-stop | 13:00 | 16:30 | 410.00
BOS | LAS | F9 | 1 stop (MDW) | 14:15 | 18:45 | 320.00
BOS | LAS | B6 | Non-stop | 15:30 | 19:00 | 390.00
BOS | LAS | NK | 1 stop (ORD) | 16:45 | 21:15 | 350.00
LAS | BOS | AA | Non-stop | 08:00 | 15:30 | 440.00
LAS | BOS | UA | 1 stop (SFO) | 09:15 | 17:45 | 480.00
LAS | BOS | WN | Non-stop | 10:30 | 18:00 | 400.00
LAS | BOS | DL | 1 stop (MSP) | 11:45 | 19:15 | 520.00
LAS | BOS | AS | Non-stop | 13:00 | 20:30 | 430.00
LAS | BOS | F9 | 1 stop (IAH) | 14:15 | 21:45 | 360.00
LAS | BOS | B6 | Non-stop | 15:30 | 22:00 | 410.00
LAS | BOS | NK | 1 stop (PHL) | 16:45 | 23:15 | 380.00


Here are the 16 flight plans:

BOS | AMS | KL | 0 | 08:00 | 18:30 | 450.00
BOS | AMS | DL | 1 (CDG) | 10:00 | 21:15 | 520.00
BOS | AMS | UA | 0 | 12:00 | 22:45 | 480.00
BOS | AMS | LH | 1 (FRA) | 14:00 | 01:00 | 550.00
BOS | AMS | AA | 0 | 16:00 | 02:30 | 500.00
BOS | AMS | BA | 1 (LHR) | 18:00 | 05:15 | 580.00
BOS | AMS | AF | 0 | 20:00 | 06:45 | 530.00
BOS | AMS | TK | 1 (IST) | 22:00 | 09:30 | 610.00

AMS | BOS | KL | 0 | 09:00 | 11:30 | 420.00
AMS | BOS | DL | 1 (CDG) | 11:00 | 14:45 | 490.00
AMS | BOS | UA | 0 | 13:00 | 16:15 | 450.00
AMS | BOS | LH | 1 (FRA) | 15:00 | 19:30 | 510.00
AMS | BOS | AA | 0 | 17:00 | 20:45 | 470.00
AMS | BOS | BA | 1 (LHR) | 19:00 | 23:15 | 540.00
AMS | BOS | AF | 0 | 21:00 | 00:30 | 500.00
AMS | BOS | TK | 1 (IST) | 23:00 | 03:45 | 570.00


Here are the 16 flight plans:

BOS | AUA | AA | 0 | 08:00 | 12:30 | 450.00
BOS | AUA | DL | 1 (MIA) | 09:30 | 15:45 | 520.00
BOS | AUA | UA | 0 | 11:15 | 15:45 | 480.00
BOS | AUA | WN | 1 (FLL) | 12:45 | 18:00 | 550.00
BOS | AUA | B6 | 0 | 14:30 | 18:45 | 500.00
BOS | AUA | AS | 1 (SJU) | 16:00 | 20:15 | 580.00
BOS | AUA | F9 | 1 (PBI) | 17:30 | 21:45 | 600.00
BOS | AUA | NK | 1 (TPA) | 19:00 | 23:15 | 620.00
AUA | BOS | AA | 0 | 08:00 | 12:30 | 450.00
AUA | BOS | DL | 1 (ATL) | 09:30 | 15:45 | 520.00
AUA | BOS | UA | 0 | 11:15 | 15:45 | 480.00
AUA | BOS | WN | 1 (MDW) | 12:45 | 18:00 | 550.00
AUA | BOS | B6 | 0 | 14:30 | 18:45 | 500.00
AUA | BOS | AS | 1 (MCO) | 16:00 | 20:15 | 580.00
AUA | BOS | F9 | 1 (RDU) | 17:30 | 21:45 | 600.00
AUA | BOS | NK | 1 (CLT) | 19:00 | 23:15 | 620.00


Here are the 16 flight plans:

BOS | ATH | AA | 1 (LHR) | 08:00 | 18:30 | 850.00
BOS | ATH | DL | 0 | 10:00 | 20:00 | 950.00
BOS | ATH | UA | 1 (EWR) | 12:00 | 22:30 | 800.00
BOS | ATH | LH | 1 (FRA) | 14:00 | 00:30 | 900.00
BOS | ATH | TK | 1 (IST) | 16:00 | 02:30 | 750.00
BOS | ATH | AZ | 1 (FCO) | 18:00 | 04:30 | 850.00
BOS | ATH | BA | 1 (LHR) | 20:00 | 06:30 | 1000.00
BOS | ATH | AF | 1 (CDG) | 22:00 | 08:30 | 900.00
ATH | BOS | AA | 1 (LHR) | 08:00 | 18:30 | 850.00
ATH | BOS | DL | 0 | 10:00 | 20:00 | 950.00
ATH | BOS | UA | 1 (EWR) | 12:00 | 22:30 | 800.00
ATH | BOS | LH | 1 (FRA) | 14:00 | 00:30 | 900.00
ATH | BOS | TK | 1 (IST) | 16:00 | 02:30 | 750.00
ATH | BOS | AZ | 1 (FCO) | 18:00 | 04:30 | 850.00
ATH | BOS | BA | 1 (LHR) | 20:00 | 06:30 | 1000.00
ATH | BOS | AF | 1 (CDG) | 22:00 | 08:30 | 900.00


Here are the 16 flight plans:

BOS | AKL | NZ | 1 (LAX) | 08:00 | 06:00 | 850.00
BOS | AKL | QF | 2 (LAX, SYD) | 10:00 | 09:00 | 1100.00
BOS | AKL | UA | 1 (SFO) | 12:00 | 10:00 | 900.00
BOS | AKL | AA | 2 (JFK, LAX) | 14:00 | 13:00 | 1300.00
BOS | AKL | DL | 1 (ATL) | 16:00 | 14:00 | 1000.00
BOS | AKL | NZ | 0 | 18:00 | 16:00 | 1200.00
BOS | AKL | QF | 1 (DFW) | 20:00 | 18:00 | 1050.00
BOS | AKL | UA | 2 (ORD, SFO) | 22:00 | 21:00 | 1400.00
AKL | BOS | NZ | 1 (LAX) | 08:00 | 06:00 | 850.00
AKL | BOS | QF | 2 (SYD, LAX) | 10:00 | 09:00 | 1100.00
AKL | BOS | UA | 1 (SFO) | 12:00 | 10:00 | 900.00
AKL | BOS | AA | 2 (LAX, JFK) | 14:00 | 13:00 | 1300.00
AKL | BOS | DL | 1 (ATL) | 16:00 | 14:00 | 1000.00
AKL | BOS | NZ | 0 | 18:00 | 16:00 | 1200.00
AKL | BOS | QF | 1 (DFW) | 20:00 | 18:00 | 1050.00
AKL | BOS | UA | 2 (SFO, ORD) | 22:00 | 21:00 | 1400.00


Here are the 16 flight plans:

BOS | DPS | AA | 1 (NRT) | 08:00 | 06:00 | 850.00
BOS | DPS | UA | 2 (SFO, HKG) | 10:00 | 10:00 | 1200.00
BOS | DPS | SQ | 1 (SIN) | 12:00 | 10:00 | 1000.00
BOS | DPS | JL | 2 (NRT, KUL) | 14:00 | 12:00 | 1100.00
BOS | DPS | CX | 1 (HKG) | 16:00 | 14:00 | 900.00
BOS | DPS | QF | 2 (LAX, SYD) | 18:00 | 16:00 | 1300.00
BOS | DPS | NH | 1 (NRT) | 20:00 | 18:00 | 950.00
BOS | DPS | BR | 2 (TPE, KUL) | 22:00 | 20:00 | 1050.00
DPS | BOS | AA | 1 (NRT) | 08:00 | 06:00 | 850.00
DPS | BOS | UA | 2 (HKG, SFO) | 10:00 | 10:00 | 1200.00
DPS | BOS | SQ | 1 (SIN) | 12:00 | 10:00 | 1000.00
DPS | BOS | JL | 2 (KUL, NRT) | 14:00 | 12:00 | 1100.00
DPS | BOS | CX | 1 (HKG) | 16:00 | 14:00 | 900.00
DPS | BOS | QF | 2 (SYD, LAX) | 18:00 | 16:00 | 1300.00
DPS | BOS | NH | 1 (NRT) | 20:00 | 18:00 | 950.00
DPS | BOS | BR | 2 (KUL, TPE) | 22:00 | 20:00 | 1050.00


Here are the 16 flight plans:

BOS | BCN | American Airlines | Non-stop | 08:00 | 18:30 | 450.00
BOS | BCN | Iberia | 1 stop (MAD) | 09:30 | 20:15 | 520.00
BOS | BCN | Delta Air Lines | Non-stop | 11:00 | 21:30 | 480.00
BOS | BCN | Lufthansa | 1 stop (FRA) | 12:30 | 23:45 | 550.00
BOS | BCN | United Airlines | 1 stop (EWR) | 13:45 | 01:00 | 500.00
BOS | BCN | TAP Air Portugal | 1 stop (LIS) | 15:00 | 02:30 | 530.00
BOS | BCN | Air Europa | 1 stop (MAD) | 16:15 | 03:45 | 510.00
BOS | BCN | Swiss International | 1 stop (ZRH) | 17:30 | 05:00 | 540.00
BCN | BOS | American Airlines | Non-stop | 08:30 | 11:00 | 420.00
BCN | BOS | Iberia | 1 stop (MAD) | 09:45 | 12:15 | 490.00
BCN | BOS | Delta Air Lines | Non-stop | 11:15 | 14:30 | 450.00
BCN | BOS | Lufthansa | 1 stop (FRA) | 12:45 | 16:00 | 510.00
BCN | BOS | United Airlines | 1 stop (EWR) | 14:00 | 17:30 | 480.00
BCN | BOS | TAP Air Portugal | 1 stop (LIS) | 15:15 | 19:45 | 500.00
BCN | BOS | Air Europa | 1 stop (MAD) | 16:30 | 21:00 | 490.00
BCN | BOS | Swiss International | 1 stop (ZRH) | 17:45 | 22:15 | 520.00


Here are the 16 flight plans:

BOS | PEK | AA | 1 (NRT) | 08:00 | 22:30 | 850.00
BOS | PEK | UA | 2 (SFO, HKG) | 10:00 | 01:00 | 1200.00
BOS | PEK | DL | 0 | 12:00 | 14:30 | 950.00
BOS | PEK | HU | 1 (LAX) | 14:00 | 03:00 | 1000.00
BOS | PEK | MU | 2 (ORD, ICN) | 16:00 | 05:00 | 1300.00
BOS | PEK | CA | 1 (SIN) | 18:00 | 08:00 | 1100.00
BOS | PEK | JL | 2 (JFK, NRT) | 20:00 | 10:00 | 1400.00
BOS | PEK | CX | 1 (HKG) | 22:00 | 12:00 | 1250.00
PEK | BOS | AA | 1 (NRT) | 08:00 | 19:30 | 900.00
PEK | BOS | UA | 2 (HKG, SFO) | 10:00 | 22:00 | 1350.00
PEK | BOS | DL | 0 | 12:00 | 14:30 | 1050.00
PEK | BOS | HU | 1 (LAX) | 14:00 | 01:00 | 1150.00
PEK | BOS | MU | 2 (ICN, ORD) | 16:00 | 04:00 | 1450.00
PEK | BOS | CA | 1 (SIN) | 18:00 | 09:00 | 1250.00
PEK | BOS | JL | 2 (NRT, JFK) | 20:00 | 11:00 | 1550.00
PEK | BOS | CX | 1 (HKG) | 22:00 | 13:00 | 1400.00


Here are the 16 flight plans:

BOS | BER | Lufthansa | Non-stop | 08:00 | 18:30 | 450.00
BOS | BER | American Airlines | 1 stop (CDG) | 10:30 | 20:15 | 520.00
BOS | BER | Delta | Non-stop | 12:00 | 22:30 | 480.00
BOS | BER | United | 1 stop (EWR) | 14:00 | 23:59 | 500.00
BOS | BER | Swiss | 2 stops (ZRH, FRA) | 08:30 | 21:00 | 580.00
BOS | BER | KLM | 1 stop (AMS) | 09:00 | 20:30 | 550.00
BOS | BER | Air Canada | 1 stop (YYZ) | 11:00 | 21:45 | 530.00
BOS | BER | British Airways | Non-stop | 13:30 | 23:15 | 510.00

BER | BOS | Lufthansa | Non-stop | 08:00 | 10:30 | 420.00
BER | BOS | American Airlines | 1 stop (PHL) | 09:30 | 14:15 | 490.00
BER | BOS | Delta | Non-stop | 11:00 | 13:30 | 450.00
BER | BOS | United | 1 stop (ORD) | 12:30 | 16:45 | 470.00
BER | BOS | Swiss | 2 stops (FRA, ZRH) | 08:30 | 16:00 | 560.00
BER | BOS | KLM | 1 stop (AMS) | 09:30 | 15:30 | 520.00
BER | BOS | Air Canada | 1 stop (YYZ) | 11:30 | 17:45 | 500.00
BER | BOS | British Airways | Non-stop | 13:00 | 15:30 | 480.00


Here are the 16 flight plans:

BOS | EZE | American Airlines | 1 (MIA) | 08:00 | 22:30 | 850.00
BOS | EZE | LATAM | 0 | 10:00 | 21:00 | 950.00
BOS | EZE | Delta Air Lines | 1 (ATL) | 12:00 | 23:30 | 900.00
BOS | EZE | United Airlines | 2 (IAH, SCL) | 14:00 | 02:00 | 1100.00
BOS | EZE | Avianca | 1 (BOG) | 16:00 | 01:30 | 1050.00
BOS | EZE | Aerolineas Argentinas | 0 | 18:00 | 03:00 | 1000.00
BOS | EZE | Copa Airlines | 1 (PTY) | 20:00 | 04:30 | 1020.00
BOS | EZE | Turkish Airlines | 2 (IST, GRU) | 22:00 | 06:00 | 1250.00

EZE | BOS | American Airlines | 1 (MIA) | 09:00 | 19:30 | 850.00
EZE | BOS | LATAM | 0 | 11:00 | 20:00 | 950.00
EZE | BOS | Delta Air Lines | 1 (ATL) | 13:00 | 22:30 | 900.00
EZE | BOS | United Airlines | 2 (SCL, IAH) | 15:00 | 01:00 | 1100.00
EZE | BOS | Avianca | 1 (BOG) | 17:00 | 02:30 | 1050.00
EZE | BOS | Aerolineas Argentinas | 0 | 19:00 | 04:00 | 1000.00
EZE | BOS | Copa Airlines | 1 (PTY) | 21:00 | 06:30 | 1020.00
EZE | BOS | Turkish Airlines | 2 (GRU, IST) | 23:00 | 08:00 | 1250.00


Here are the 16 flight plans:

BOS | SJD | American Airlines | Non-stop | 08:00 | 12:30 | 450.00
BOS | SJD | Delta Air Lines | 1 stop (MIA) | 09:30 | 14:45 | 520.00
BOS | SJD | JetBlue Airways | Non-stop | 10:15 | 14:45 | 480.00
BOS | SJD | United Airlines | 1 stop (IAH) | 11:00 | 16:15 | 550.00
BOS | SJD | Spirit Airlines | 1 stop (FLL) | 12:30 | 17:45 | 420.00
BOS | SJD | Alaska Airlines | Non-stop | 13:45 | 18:00 | 500.00
BOS | SJD | Southwest Airlines | 1 stop (DEN) | 14:15 | 19:30 | 480.00
BOS | SJD | Frontier Airlines | 1 stop (PHX) | 15:00 | 20:15 | 400.00
SJD | BOS | American Airlines | Non-stop | 08:30 | 15:45 | 420.00
SJD | BOS | Delta Air Lines | 1 stop (ATL) | 09:45 | 17:00 | 500.00
SJD | BOS | JetBlue Airways | Non-stop | 11:00 | 18:15 | 450.00
SJD | BOS | United Airlines | 1 stop (SFO) | 12:15 | 19:30 | 520.00
SJD | BOS | Spirit Airlines | 1 stop (LAX) | 13:30 | 20:45 | 400.00
SJD | BOS | Alaska Airlines | Non-stop | 14:45 | 21:00 | 480.00
SJD | BOS | Southwest Airlines | 1 stop (ORD) | 15:15 | 22:30 | 450.00
SJD | BOS | Frontier Airlines | 1 stop (MCO) | 16:00 | 23:15 | 380.00


Here are the 16 flight plans:

BOS | CAI | EgyptAir | 1 (LHR) | 08:00 | 22:30 | 850.00
BOS | CAI | Lufthansa | 2 (FRA, IST) | 10:30 | 01:15 | 1200.00
BOS | CAI | Turkish Airlines | 1 (IST) | 13:45 | 04:10 | 900.00
BOS | CAI | Emirates | 1 (DXB) | 16:00 | 06:30 | 1000.00
BOS | CAI | Qatar Airways | 1 (DOH) | 18:30 | 08:00 | 950.00
BOS | CAI | British Airways | 1 (LHR) | 20:15 | 09:45 | 1100.00
BOS | CAI | KLM | 2 (AMS, IST) | 22:00 | 11:30 | 1300.00
BOS | CAI | Swiss International | 2 (ZRH, IST) | 23:45 | 12:15 | 1400.00

CAI | BOS | EgyptAir | 1 (LHR) | 01:00 | 06:30 | 900.00
CAI | BOS | Lufthansa | 2 (FRA, MUC) | 03:30 | 12:15 | 1250.00
CAI | BOS | Turkish Airlines | 1 (IST) | 06:00 | 15:10 | 950.00
CAI | BOS | Emirates | 1 (DXB) | 09:00 | 18:30 | 1050.00
CAI | BOS | Qatar Airways | 1 (DOH) | 12:30 | 22:00 | 1000.00
CAI | BOS | British Airways | 1 (LHR) | 15:15 | 01:45 | 1150.00
CAI | BOS | KLM | 2 (AMS, CDG) | 18:00 | 04:30 | 1350.00
CAI | BOS | Swiss International | 2 (ZRH, FRA) | 21:45 | 07:15 | 1450.00


Here are the 16 flight plans:

BOS | CUN | American Airlines | Non-stop | 08:00 | 11:30 | 450.00
BOS | CUN | Delta Air Lines | 1 stop (ATL) | 09:30 | 13:45 | 520.00
BOS | CUN | JetBlue Airways | Non-stop | 10:00 | 13:15 | 480.00
BOS | CUN | United Airlines | 1 stop (EWR) | 11:00 | 15:20 | 550.00
BOS | CUN | Spirit Airlines | 1 stop (FLL) | 12:30 | 16:50 | 420.00
BOS | CUN | Frontier Airlines | 1 stop (MCO) | 13:00 | 17:15 | 400.00
BOS | CUN | Southwest Airlines | Non-stop | 14:00 | 17:20 | 500.00
BOS | CUN | Alaska Airlines | 1 stop (SAN) | 15:30 | 19:45 | 580.00
CUN | BOS | American Airlines | Non-stop | 08:00 | 11:30 | 450.00
CUN | BOS | Delta Air Lines | 1 stop (ATL) | 09:30 | 13:45 | 520.00
CUN | BOS | JetBlue Airways | Non-stop | 10:00 | 13:15 | 480.00
CUN | BOS | United Airlines | 1 stop (EWR) | 11:00 | 15:20 | 550.00
CUN | BOS | Spirit Airlines | 1 stop (FLL) | 12:30 | 16:50 | 420.00
CUN | BOS | Frontier Airlines | 1 stop (MCO) | 13:00 | 17:15 | 400.00
CUN | BOS | Southwest Airlines | Non-stop | 14:00 | 17:20 | 500.00
CUN | BOS | Alaska Airlines | 1 stop (SAN) | 15:30 | 19:45 | 580.00


Here are the 16 flight plans:

BOS | CPT | AA | 1 (LHR) | 08:00 | 20:30 | 850.00
BOS | CPT | UA | 2 (EWR, FRA) | 10:30 | 22:45 | 1100.00
BOS | CPT | DL | 1 (AMS) | 12:00 | 23:15 | 900.00
BOS | CPT | BA | 1 (LHR) | 14:00 | 00:30 | 1000.00
BOS | CPT | LH | 2 (FRA, JNB) | 16:00 | 02:45 | 1300.00
BOS | CPT | KL | 1 (AMS) | 18:00 | 03:15 | 950.00
BOS | CPT | SQ | 2 (SIN, JNB) | 20:00 | 05:45 | 1400.00
BOS | CPT | EK | 1 (DXB) | 22:00 | 06:15 | 1200.00
CPT | BOS | AA | 1 (LHR) | 08:00 | 18:30 | 800.00
CPT | BOS | UA | 2 (FRA, EWR) | 10:30 | 21:45 | 1050.00
CPT | BOS | DL | 1 (AMS) | 12:00 | 22:15 | 850.00
CPT | BOS | BA | 1 (LHR) | 14:00 | 23:30 | 950.00
CPT | BOS | LH | 2 (JNB, FRA) | 16:00 | 01:45 | 1250.00
CPT | BOS | KL | 1 (AMS) | 18:00 | 02:15 | 900.00
CPT | BOS | SQ | 2 (JNB, SIN) | 20:00 | 04:45 | 1350.00
CPT | BOS | EK | 1 (DXB) | 22:00 | 05:15 | 1150.00


Here are the 16 flight plans:

BOS | CPH | Norwegian | 0 | 08:00 | 18:05 | 450.00
BOS | CPH | SAS | 1 (OSL) | 10:30 | 20:15 | 520.00
BOS | CPH | Lufthansa | 1 (FRA) | 12:00 | 21:40 | 580.00
BOS | CPH | Icelandair | 1 (KEF) | 14:00 | 22:30 | 550.00
BOS | CPH | American | 1 (PHL) | 16:00 | 23:55 | 600.00
BOS | CPH | Delta | 0 | 18:00 | 02:05 | 480.00
BOS | CPH | TAP Air Portugal | 1 (LIS) | 20:00 | 04:20 | 510.00
BOS | CPH | Swiss | 1 (ZRH) | 22:00 | 05:40 | 590.00

CPH | BOS | Norwegian | 0 | 09:00 | 11:05 | 420.00
CPH | BOS | SAS | 1 (OSL) | 11:30 | 14:15 | 490.00
CPH | BOS | Lufthansa | 1 (FRA) | 13:00 | 16:40 | 560.00
CPH | BOS | Icelandair | 1 (KEF) | 15:00 | 18:30 | 530.00
CPH | BOS | American | 1 (PHL) | 17:00 | 20:55 | 580.00
CPH | BOS | Delta | 0 | 19:00 | 21:05 | 500.00
CPH | BOS | TAP Air Portugal | 1 (LIS) | 21:00 | 23:20 | 520.00
CPH | BOS | Swiss | 1 (ZRH) | 23:00 | 01:40 | 610.00


BOS | DXB | Emirates | 1 (LHR) | 08:00 | 19:30 | 850.00
BOS | DXB | Qatar | 1 (DOH) | 10:30 | 22:00 | 900.00
BOS | DXB | Turkish | 1 (IST) | 12:00 | 23:30 | 950.00
BOS | DXB | Lufthansa | 2 (FRA, MUC) | 14:00 | 01:30 | 1100.00
BOS | DXB | American | 1 (PHL) | 16:00 | 02:30 | 1000.00
BOS | DXB | British | 1 (LHR) | 18:00 | 04:30 | 1050.00
BOS | DXB | Delta | 1 (AMS) | 20:00 | 06:30 | 1200.00
BOS | DXB | United | 2 (EWR, FRA) | 22:00 | 09:30 | 1300.00
DXB | BOS | Emirates | 1 (LHR) | 02:00 | 13:30 | 800.00
DXB | BOS | Qatar | 1 (DOH) | 04:30 | 16:00 | 850.00
DXB | BOS | Turkish | 1 (IST) | 07:00 | 18:30 | 900.00
DXB | BOS | Lufthansa | 2 (MUC, FRA) | 09:30 | 21:30 | 1050.00
DXB | BOS | American | 1 (PHL) | 12:00 | 00:30 | 950.00
DXB | BOS | British | 1 (LHR) | 14:30 | 03:00 | 1000.00
DXB | BOS | Delta | 1 (AMS) | 17:00 | 05:30 | 1150.00
DXB | BOS | United | 2 (FRA, EWR) | 20:00 | 08:30 | 1250.00


Here are the 16 flight plans:

BOS | DUB | American Airlines | Non-stop | 08:00 | 17:30 | 450.00
BOS | DUB | Aer Lingus | Non-stop | 10:00 | 19:30 | 520.00
BOS | DUB | Delta Air Lines | 1 stop (LHR) | 12:00 | 22:00 | 580.00
BOS | DUB | United Airlines | 1 stop (EWR) | 14:00 | 23:30 | 620.00
BOS | DUB | Lufthansa | 2 stops (FRA, MUC) | 16:00 | 02:00 | 720.00
BOS | DUB | KLM Royal Dutch | 1 stop (AMS) | 18:00 | 02:30 | 680.00
BOS | DUB | Swiss International | 1 stop (ZRH) | 20:00 | 04:00 | 750.00
BOS | DUB | British Airways | 1 stop (LHR) | 22:00 | 06:00 | 800.00
DUB | BOS | Aer Lingus | Non-stop | 08:00 | 10:30 | 500.00
DUB | BOS | American Airlines | Non-stop | 10:00 | 12:30 | 480.00
DUB | BOS | Delta Air Lines | 1 stop (JFK) | 12:00 | 16:00 | 600.00
DUB | BOS | United Airlines | 1 stop (EWR) | 14:00 | 18:30 | 650.00
DUB | BOS | Lufthansa | 2 stops (FRA, MUC) | 16:00 | 22:30 | 780.00
DUB | BOS | KLM Royal Dutch | 1 stop (AMS) | 18:00 | 22:00 | 710.00
DUB | BOS | Swiss International | 1 stop (ZRH) | 20:00 | 00:30 | 820.00
DUB | BOS | British Airways | 1 stop (LHR) | 22:00 | 02:30 | 850.00


Here are the 16 flight plans:

BOS | EDI | American Airlines | Non-stop | 08:00 | 18:30 | 450.00
BOS | EDI | British Airways | 1 stop (LHR) | 09:30 | 20:00 | 520.00
BOS | EDI | Delta Air Lines | Non-stop | 11:00 | 21:30 | 480.00
BOS | EDI | Lufthansa | 1 stop (FRA) | 12:30 | 23:00 | 550.00
BOS | EDI | United Airlines | Non-stop | 14:00 | 00:30 | 500.00
BOS | EDI | Air Canada | 1 stop (YYZ) | 15:30 | 02:00 | 580.00
BOS | EDI | KLM Royal Dutch | 1 stop (AMS) | 17:00 | 03:30 | 610.00
BOS | EDI | Iberia | 1 stop (MAD) | 19:00 | 05:00 | 640.00
EDI | BOS | American Airlines | Non-stop | 08:00 | 10:30 | 420.00
EDI | BOS | British Airways | 1 stop (LHR) | 09:30 | 12:00 | 490.00
EDI | BOS | Delta Air Lines | Non-stop | 11:00 | 13:30 | 450.00
EDI | BOS | Lufthansa | 1 stop (FRA) | 12:30 | 15:00 | 510.00
EDI | BOS | United Airlines | Non-stop | 14:00 | 16:30 | 480.00
EDI | BOS | Air Canada | 1 stop (YYZ) | 15:30 | 18:00 | 530.00
EDI | BOS | KLM Royal Dutch | 1 stop (AMS) | 17:00 | 19:30 | 560.00
EDI | BOS | Iberia | 1 stop (MAD) | 19:00 | 21:30 | 590.00


Here are the 16 flight plans:

BOS | HAN | VN | 1 (NRT) | 08:00 | 21:35 | 850.00
