

Here are the 16 flight plans:

LAX | ORD | American Airlines | Non-stop | 08:00 | 14:35 | 425.00
LAX | MYR | United Airlines | Non-stop | 11:00 | 19:30 | 480.00
LAX | MYR | Spirit Airlines | 1 stop (DFW) | 12:30 | 20:45 | 420.00
LAX | MYR | Alaska Airlines | Non-stop | 14:00 | 22:30 | 500.00
LAX | MYR | Frontier Airlines | 1 stop (DEN) | 15:30 | 23:45 | 440.00
LAX | MYR | JetBlue Airways | Non-stop | 17:00 | 01:30 | 460.00
LAX | MYR | Southwest Airlines | 1 stop (BNA) | 18:30 | 02:45 | 400.00
MYR | LAX | American Airlines | Non-stop | 08:00 | 10:30 | 430.00
MYR | LAX | Delta Air Lines | 1 stop (JFK) | 09:30 | 12:15 | 550.00
MYR | LAX | United Airlines | Non-stop | 11:00 | 13:30 | 490.00
MYR | LAX | Spirit Airlines | 1 stop (ORD) | 12:30 | 15:45 | 410.00
MYR | LAX | Alaska Airlines | Non-stop | 14:00 | 16:30 | 470.00
MYR | LAX | Frontier Airlines | 1 stop (PHX) | 15:30 | 18:45 | 450.00
MYR | LAX | JetBlue Airways | Non-stop | 17:00 | 19:30 | 480.00
MYR | LAX | Southwest Airlines | 1 stop (STL) | 18:30 | 21:45 | 390.00


Here are the 16 flight plans:

LAX | SFO | American Airlines | Non-stop | 06:00 | 07:30 | 120.00
LAX | SFO | Delta Air Lines | Non-stop | 08:15 | 09:45 | 150.00
LAX | SFO | United Airlines | Non-stop | 10:00 | 11:30 | 180.00
LAX | SFO | Southwest Airlines | 1 stop (LAS) | 11:45 | 14:15 | 220.00
LAX | SFO | Alaska Airlines | Non-stop | 13:00 | 14:30 | 200.00
LAX | SFO | JetBlue Airways | 1 stop (SAN) | 14:30 | 17:00 | 250.00
LAX | SFO | Spirit Airlines | 1 stop (PHX) | 15:45 | 18:15 | 280.00
LAX | SFO | Frontier Airlines | Non-stop | 17:00 | 18:30 | 230.00
SFO | LAX | American Airlines | Non-stop | 06:30 | 08:00 | 130.00
SFO | LAX | Delta Air Lines | Non-stop | 09:00 | 10:30 | 160.00
SFO | LAX | United Airlines | Non-stop | 11:30 | 13:00 | 190.00
SFO | LAX | Southwest Airlines | 1 stop (RNO) | 12:45 | 15:15 | 240.00
SFO | LAX | Alaska Airlines | Non-stop | 14:00 | 15:30 | 210.00
SFO | LAX | JetBlue Airways | 1 stop (PDX) | 15:00 | 17:30 | 270.00
SFO | LAX | Spirit Airlines | 1 stop (DEN) | 16:15 | 18:45 | 300.00
SFO | LAX | Frontier Airlines | Non-stop | 17:30 | 19:00 | 260.00


LAX | OAK | American Airlines | Non-stop | 06:00 | 07:15 | 120.00
LAX | OAK | Delta Air Lines | 1 stop (SFO) | 08:30 | 11:45 | 180.00
LAX | OAK | United Airlines | Non-stop | 10:00 | 11:15 | 150.00
LAX | OAK | Alaska Airlines | 1 stop (SAN) | 12:30 | 15:45 | 220.00
LAX | OAK | Spirit Airlines | Non-stop | 14:00 | 15:15 | 100.00
LAX | OAK | Southwest Airlines | 1 stop (PHX) | 16:30 | 19:45 | 200.00
LAX | OAK | JetBlue Airways | Non-stop | 18:00 | 19:15 | 130.00
LAX | OAK | Frontier Airlines | 1 stop (DEN) | 20:30 | 23:45 | 250.00
OAK | LAX | American Airlines | Non-stop | 06:00 | 07:15 | 120.00
OAK | LAX | Delta Air Lines | 1 stop (SFO) | 08:30 | 11:45 | 180.00
OAK | LAX | United Airlines | Non-stop | 10:00 | 11:15 | 150.00
OAK | LAX | Alaska Airlines | 1 stop (PDX) | 12:30 | 15:45 | 230.00
OAK | LAX | Spirit Airlines | Non-stop | 14:00 | 15:15 | 110.00
OAK | LAX | Southwest Airlines | 1 stop (LAS) | 16:30 | 19:45 | 210.00
OAK | LAX | JetBlue Airways | Non-stop | 18:00 | 19:15 | 140.00
OAK | LAX | Frontier Airlines | 1 stop (SEA) | 20:30 | 23:45 | 260.00


Here are the 16 flight plans:

LAX | SMF | American Airlines | Non-stop | 06:00 | 07:30 | 120.00
LAX | SMF | Delta Air Lines | Non-stop | 08:15 | 09:45 | 150.00
LAX | SMF | United Airlines | 1 stop (SFO) | 10:00 | 12:30 | 180.00
LAX | SMF | Southwest Airlines | Non-stop | 11:45 | 13:15 | 100.00
LAX | SMF | Alaska Airlines | 1 stop (SAN) | 13:00 | 15:30 | 220.00
LAX | SMF | Spirit Airlines | 1 stop (LAS) | 14:30 | 17:00 | 200.00
LAX | SMF | Frontier Airlines | Non-stop | 16:00 | 17:30 | 130.00
LAX | SMF | JetBlue Airways | 1 stop (OAK) | 18:15 | 20:45 | 210.00
SMF | LAX | American Airlines | Non-stop | 06:30 | 07:45 | 110.00
SMF | LAX | Delta Air Lines | 1 stop (SFO) | 08:00 | 10:30 | 190.00
SMF | LAX | United Airlines | Non-stop | 09:15 | 10:30 | 140.00
SMF | LAX | Southwest Airlines | 1 stop (RNO) | 11:00 | 13:30 | 230.00
SMF | LAX | Alaska Airlines | Non-stop | 12:45 | 14:00 | 160.00
SMF | LAX | Spirit Airlines | 1 stop (PHX) | 14:15 | 16:45 | 240.00
SMF | LAX | Frontier Airlines | 1 stop (DEN) | 15:30 | 18:00 | 260.00
SMF | LAX | JetBlue Airways | Non-stop | 17:00 | 18:15 | 180.00


Here are the 16 flight plans:

LAX | SAF | American Airlines | 1 (PHX) | 08:00 | 11:15 | 345.00
LAX | SAF | Delta Air Lines | 0 | 09:30 | 12:45 | 420.00
LAX | SAF | United Airlines | 1 (DEN) | 11:00 | 14:20 | 380.00
LAX | SAF | Southwest Airlines | 0 | 12:15 | 15:30 | 290.00
LAX | SAF | Alaska Airlines | 1 (SJC) | 13:45 | 17:00 | 400.00
LAX | SAF | JetBlue Airways | 0 | 15:00 | 18:15 | 320.00
LAX | SAF | Spirit Airlines | 1 (LAS) | 16:30 | 19:45 | 260.00
LAX | SAF | Frontier Airlines | 0 | 18:00 | 21:15 | 300.00

SAF | LAX | American Airlines | 0 | 06:00 | 07:15 | 280.00
SAF | LAX | Delta Air Lines | 1 (ABQ) | 07:30 | 10:45 | 350.00
SAF | LAX | United Airlines | 0 | 09:00 | 10:15 | 380.00
SAF | LAX | Southwest Airlines | 1 (TUS) | 10:30 | 13:45 | 320.00
SAF | LAX | Alaska Airlines | 0 | 12:00 | 13:15 | 400.00
SAF | LAX | JetBlue Airways | 1 (PHX) | 13:30 | 16:45 | 360.00
SAF | LAX | Spirit Airlines | 0 | 15:00 | 16:15 | 240.00
SAF | LAX | Frontier Airlines | 1 (ELP) | 16:30 | 19:45 | 300.00


Here are the 16 flight plans:

LAX | ABQ | American Airlines | Non-stop | 08:00 | 10:30 | 240.00
LAX | ABQ | Delta Air Lines | 1 stop (DEN) | 09:15 | 12:45 | 270.00
LAX | ABQ | United Airlines | Non-stop | 10:45 | 13:15 | 210.00
LAX | ABQ | Southwest Airlines | 1 stop (PHX) | 11:30 | 14:50 | 230.00
LAX | ABQ | Alaska Airlines | Non-stop | 12:15 | 14:45 | 250.00
LAX | ABQ | Frontier Airlines | 1 stop (LAS) | 13:00 | 16:20 | 200.00
LAX | ABQ | Spirit Airlines | 1 stop (DAL) | 14:15 | 17:35 | 220.00
LAX | ABQ | JetBlue Airways | Non-stop | 15:30 | 18:00 | 260.00
ABQ | LAX | American Airlines | Non-stop | 06:00 | 07:30 | 220.00
ABQ | LAX | Delta Air Lines | 1 stop (SFO) | 07:15 | 10:40 | 290.00
ABQ | LAX | United Airlines | Non-stop | 08:45 | 10:15 | 240.00
ABQ | LAX | Southwest Airlines | 1 stop (TUS) | 09:30 | 12:50 | 250.00
ABQ | LAX | Alaska Airlines | Non-stop | 10:15 | 11:45 | 270.00
ABQ | LAX | Frontier Airlines | 1 stop (DEN) | 11:00 | 14:20 | 230.00
ABQ | LAX | Spirit Airlines | 1 stop (LAS) | 12:15 | 15:35 | 210.00
ABQ | LAX | JetBlue Airways | Non-stop | 13:30 | 15:00 | 280.00


Here are the 16 flight plans:

LAX | SAV | American Airlines | Non-stop | 08:00 | 16:30 | 450.00
LAX | SAV | Delta Air Lines | 1 stop (ATL) | 09:15 | 18:05 | 520.00
LAX | SAV | United Airlines | Non-stop | 10:45 | 19:15 | 480.00
LAX | SAV | Alaska Airlines | 1 stop (SEA) | 11:30 | 20:10 | 550.00
LAX | SAV | Spirit Airlines | 1 stop (LAS) | 12:50 | 21:30 | 400.00
LAX | SAV | JetBlue Airways | Non-stop | 14:15 | 22:45 | 510.00
LAX | SAV | Frontier Airlines | 1 stop (DEN) | 15:00 | 23:40 | 430.00
LAX | SAV | Southwest Airlines | 1 stop (PHX) | 16:30 | 01:05 | 460.00

SAV | LAX | American Airlines | Non-stop | 07:00 | 09:30 | 420.00
SAV | LAX | Delta Air Lines | 1 stop (ATL) | 08:15 | 11:05 | 500.00
SAV | LAX | United Airlines | Non-stop | 09:45 | 12:15 | 440.00
SAV | LAX | Alaska Airlines | 1 stop (SEA) | 11:30 | 14:10 | 530.00
SAV | LAX | Spirit Airlines | 1 stop (LAS) | 12:50 | 15:30 | 380.00
SAV | LAX | JetBlue Airways | Non-stop | 14:15 | 16:45 | 490.00
SAV | LAX | Frontier Airlines | 1 stop (DEN) | 15:00 | 17:40 | 410.00
SAV | LAX | Southwest Airlines | 1 stop (PHX) | 16:30 | 19:05 | 450.00


Here are the 16 flight plans:

LAX | JAX | American Airlines | Non-stop | 08:00 | 16:35 | 350.00
LAX | JAX | Delta Air Lines | 1 stop (ATL) | 09:30 | 18:15 | 420.00
LAX | JAX | United Airlines | Non-stop | 11:00 | 19:20 | 380.00
LAX | JAX | Spirit Airlines | 1 stop (DFW) | 12:45 | 21:10 | 320.00
LAX | JAX | Alaska Airlines | Non-stop | 14:00 | 22:25 | 400.00
LAX | JAX | JetBlue Airways | 1 stop (SFO) | 15:30 | 23:50 | 450.00
LAX | JAX | Southwest Airlines | Non-stop | 17:00 | 00:35 | 370.00
LAX | JAX | Frontier Airlines | 1 stop (DEN) | 19:15 | 02:40 | 290.00

JAX | LAX | American Airlines | Non-stop | 06:00 | 08:35 | 330.00
JAX | LAX | Delta Air Lines | 1 stop (ATL) | 07:30 | 10:15 | 410.00
JAX | LAX | United Airlines | Non-stop | 09:00 | 11:20 | 360.00
JAX | LAX | Spirit Airlines | 1 stop (DFW) | 10:45 | 13:10 | 300.00
JAX | LAX | Alaska Airlines | Non-stop | 12:00 | 14:25 | 390.00
JAX | LAX | JetBlue Airways | 1 stop (SFO) | 13:30 | 16:50 | 440.00
JAX | LAX | Southwest Airlines | Non-stop | 15:00 | 17:35 | 380.00
JAX | LAX | Frontier Airlines | 1 stop (DEN) | 16:15 | 19:40 | 280.00


Here are the 16 flight plans:

LAX | SFB | American Airlines | Non-stop | 06:00 | 13:15 | 278.50
LAX | SFB | Delta Air Lines | 1 stop (ATL) | 08:30 | 15:45 | 325.00
LAX | SFB | United Airlines | Non-stop | 10:00 | 17:20 | 299.00
LAX | SFB | Spirit Airlines | 1 stop (DFW) | 11:15 | 18:35 | 259.00
LAX | SFB | Alaska Airlines | Non-stop | 12:30 | 19:45 | 289.00
LAX | SFB | Frontier Airlines | 1 stop (DEN) | 13:45 | 21:00 | 239.00
LAX | SFB | JetBlue Airways | Non-stop | 15:00 | 22:15 | 269.00
LAX | SFB | Southwest Airlines | 1 stop (PHX) | 16:15 | 23:30 | 299.00
SFB | LAX | American Airlines | Non-stop | 06:00 | 08:15 | 278.50
SFB | LAX | Delta Air Lines | 1 stop (MIA) | 08:30 | 11:45 | 325.00
SFB | LAX | United Airlines | Non-stop | 10:00 | 12:20 | 299.00
SFB | LAX | Spirit Airlines | 1 stop (FLL) | 11:15 | 14:35 | 259.00
SFB | LAX | Alaska Airlines | Non-stop | 12:30 | 15:45 | 289.00
SFB | LAX | Frontier Airlines | 1 stop (LAS) | 13:45 | 17:00 | 239.00
SFB | LAX | JetBlue Airways | Non-stop | 15:00 | 17:20 | 269.00
SFB | LAX | Southwest Airlines | 1 stop (TPA) | 16:15 | 19:35 | 299.00


Here are the 16 flight plans:

LAX | MTJ | American Airlines | Non-stop | 08:00 | 11:15 | 450.00
LAX | MTJ | United Airlines | 1 stop (DEN) | 09:30 | 13:45 | 520.00
LAX | MTJ | Delta Air Lines | Non-stop | 10:45 | 14:00 | 480.00
LAX | MTJ | Southwest Airlines | 1 stop (PHX) | 12:00 | 16:15 | 500.00
LAX | MTJ | Alaska Airlines | Non-stop | 13:15 | 16:30 | 460.00
LAX | MTJ | Frontier Airlines | 1 stop (LAS) | 14:30 | 18:45 | 540.00
LAX | MTJ | Spirit Airlines | 1 stop (DAL) | 15:45 | 20:00 | 510.00
LAX | MTJ | JetBlue Airways | Non-stop | 17:00 | 20:15 | 490.00

MTJ | LAX | American Airlines | Non-stop | 06:00 | 08:15 | 420.00
MTJ | LAX | United Airlines | 1 stop (IAH) | 07:30 | 11:45 | 550.00
MTJ | LAX | Delta Air Lines | Non-stop | 09:00 | 11:15 | 440.00
MTJ | LAX | Southwest Airlines | 1 stop (ABQ) | 10:30 | 14:45 | 530.00
MTJ | LAX | Alaska Airlines | Non-stop | 12:00 | 14:15 | 410.00
MTJ | LAX | Frontier Airlines | 1 stop (SFO) | 13:30 | 17:45 | 560.00
MTJ | LAX | Spirit Airlines | 1 stop (ORD) | 15:00 | 19:15 | 520.00
MTJ | LAX | JetBlue Airways | Non-stop | 16:30 | 18:45 | 450.00


Here are the 16 flight plans:

LAX | DRO | AA | 0 | 08:00 | 11:30 | 450.00
LAX | DRO | UA | 1 (DEN) | 09:15 | 14:45 | 520.00
LAX | DRO | WN | 0 | 10:30 | 14:00 | 480.00
LAX | DRO | DL | 1 (SLC) | 11:45 | 16:15 | 550.00
LAX | DRO | AS | 0 | 13:00 | 16:30 | 500.00
LAX | DRO | F9 | 1 (PHX) | 14:15 | 18:45 | 480.00
LAX | DRO | B6 | 0 | 15:30 | 19:00 | 520.00
LAX | DRO | NK | 1 (LAS) | 16:45 | 20:15 | 500.00
DRO | LAX | AA | 0 | 08:00 | 09:30 | 420.00
DRO | LAX | UA | 1 (DEN) | 09:15 | 12:45 | 500.00
DRO | LAX | WN | 0 | 10:30 | 12:00 | 450.00
DRO | LAX | DL | 1 (SLC) | 11:45 | 14:15 | 530.00
DRO | LAX | AS | 0 | 13:00 | 14:30 | 480.00
DRO | LAX | F9 | 1 (PHX) | 14:15 | 16:45 | 490.00
DRO | LAX | B6 | 0 | 15:30 | 17:00 | 510.00
DRO | LAX | NK | 1 (LAS) | 16:45 | 18:15 | 490.00


Here are the 16 flight plans:

LAX | BOZ | American Airlines | Non-stop | 08:00 | 11:30 | 425.00
LAX | BOZ | Delta Air Lines | 1 stop (SFO) | 09:15 | 13:45 | 450.00
LAX | BOZ | United Airlines | Non-stop | 10:30 | 14:00 | 395.00
LAX | BOZ | Alaska Airlines | 1 stop (PDX) | 11:45 | 16:15 | 480.00
LAX | BOZ | Spirit Airlines | 1 stop (LAS) | 12:50 | 17:20 | 320.00
LAX | BOZ | Frontier Airlines | 1 stop (DEN) | 13:55 | 18:25 | 350.00
LAX | BOZ | Southwest Airlines | Non-stop | 15:00 | 18:30 | 410.00
LAX | BOZ | JetBlue Airways | 1 stop (OAK) | 16:10 | 20:40 | 380.00
BOZ | LAX | American Airlines | Non-stop | 06:00 | 08:30 | 420.00
BOZ | LAX | Delta Air Lines | 1 stop (SFO) | 07:15 | 11:45 | 460.00
BOZ | LAX | United Airlines | Non-stop | 08:30 | 11:00 | 400.00
BOZ | LAX | Alaska Airlines | 1 stop (PDX) | 09:45 | 14:15 | 490.00
BOZ | LAX | Spirit Airlines | 1 stop (LAS) | 11:00 | 15:30 | 330.00
BOZ | LAX | Frontier Airlines | 1 stop (DEN) | 12:05 | 16:35 | 360.00
BOZ | LAX | Southwest Airlines | Non-stop | 13:10 | 15:40 | 430.00
BOZ | LAX | JetBlue Airways | 1 stop (OAK) | 14:20 | 18:50 | 390.00


Here are the 16 flight plans:

LAX | JAC | American Airlines | Non-stop | 08:00 | 11:30 | 425.00
LAX | JAC | Delta Air Lines | 1 stop (DEN) | 09:15 | 13:45 | 395.00
LAX | JAC | United Airlines | Non-stop | 10:30 | 14:00 | 450.00
LAX | JAC | Southwest Airlines | 1 stop (PHX) | 11:45 | 16:15 | 375.00
LAX | JAC | Alaska Airlines | Non-stop | 13:00 | 16:30 | 480.00
LAX | JAC | Spirit Airlines | 1 stop (LAS) | 14:15 | 18:45 | 325.00
LAX | JAC | Frontier Airlines | 1 stop (SFO) | 15:30 | 20:00 | 350.00
LAX | JAC | JetBlue Airways | Non-stop | 16:45 | 20:15 | 505.00
JAC | LAX | American Airlines | Non-stop | 08:00 | 10:30 | 420.00
JAC | LAX | Delta Air Lines | 1 stop (SLC) | 09:15 | 13:45 | 410.00
JAC | LAX | United Airlines | Non-stop | 10:30 | 13:00 | 445.00
JAC | LAX | Southwest Airlines | 1 stop (ABQ) | 11:45 | 16:15 | 380.00
JAC | LAX | Alaska Airlines | Non-stop | 13:00 | 15:30 | 470.00
JAC | LAX | Spirit Airlines | 1 stop (TUS) | 14:15 | 18:45 | 320.00
JAC | LAX | Frontier Airlines | 1 stop (DEN) | 15:30 | 20:00 | 340.00
JAC | LAX | JetBlue Airways | Non-stop | 16:45 | 19:15 | 490.00


Here are the 16 flight plans:

LAX | FAT | American Airlines | Non-stop | 06:00 | 07:30 | 198.00
LAX | FAT | Delta Air Lines | 1 stop (SFO) | 08:15 | 11:00 | 235.00
LAX | FAT | United Airlines | Non-stop | 10:45 | 12:15 | 220.00
LAX | FAT | Alaska Airlines | 1 stop (SAN) | 12:30 | 15:15 | 258.00
LAX | FAT | Spirit Airlines | 1 stop (LAS) | 14:00 | 16:45 | 189.00
LAX | FAT | Southwest Airlines | Non-stop | 16:15 | 17:45 | 205.00
LAX | FAT | JetBlue Airways | 1 stop (OAK) | 18:30 | 21:15 | 242.00
LAX | FAT | Frontier Airlines | 1 stop (DEN) | 20:45 | 23:30 | 219.00
FAT | LAX | American Airlines | Non-stop | 06:30 | 07:55 | 192.00
FAT | LAX | Delta Air Lines | 1 stop (SFO) | 08:45 | 11:30 | 239.00
FAT | LAX | United Airlines | Non-stop | 11:15 | 12:40 | 225.00
FAT | LAX | Alaska Airlines | 1 stop (SAN) | 13:00 | 15:45 | 263.00
FAT | LAX | Spirit Airlines | 1 stop (LAS) | 15:30 | 18:15 | 195.00
FAT | LAX | Southwest Airlines | Non-stop | 17:45 | 19:15 | 210.00
FAT | LAX | JetBlue Airways | 1 stop (OAK) | 20:00 | 22:45 | 248.00
FAT | LAX | Frontier Airlines | 1 stop (DEN) | 22:15 | 00:50 | 229.00


Here are the 16 flight plans:

LAX | SJC | American Airlines | Non-stop | 06:00 | 07:15 | 125.00
LAX | SJC | Delta Air Lines | 1 stop (SFO) | 07:30 | 09:45 | 150.00
LAX | SJC | United Airlines | Non-stop | 09:00 | 10:15 | 135.00
LAX | SJC | Southwest Airlines | 1 stop (OAK) | 10:30 | 12:45 | 120.00
LAX | SJC | Alaska Airlines | Non-stop | 12:00 | 13:15 | 140.00
LAX | SJC | JetBlue Airways | 1 stop (LAS) | 13:30 | 15:45 | 130.00
LAX | SJC | Spirit Airlines | Non-stop | 15:00 | 16:15 | 110.00
LAX | SJC | Frontier Airlines | 1 stop (DEN) | 16:30 | 18:45 | 145.00
SJC | LAX | American Airlines | Non-stop | 06:00 | 07:15 | 125.00
SJC | LAX | Delta Air Lines | 1 stop (SFO) | 07:30 | 09:45 | 150.00
SJC | LAX | United Airlines | Non-stop | 09:00 | 10:15 | 135.00
SJC | LAX | Southwest Airlines | 1 stop (OAK) | 10:30 | 12:45 | 120.00
SJC | LAX | Alaska Airlines | Non-stop | 12:00 | 13:15 | 140.00
SJC | LAX | JetBlue Airways | 1 stop (LAS) | 13:30 | 15:45 | 130.00
SJC | LAX | Spirit Airlines | Non-stop | 15:00 | 16:15 | 110.00
SJC | LAX | Frontier Airlines | 1 stop (DEN) | 16:30 | 18:45 | 145.00


Here are the 16 flight plans:

LAX | SGU | American Airlines | Non-stop | 08:00 | 11:15 | 198.00
LAX | SGU | Delta Air Lines | 1 stop (PHX) | 09:30 | 13:45 | 225.00
LAX | SGU | United Airlines | Non-stop | 10:45 | 14:00 | 212.00
LAX | SGU | Southwest Airlines | 1 stop (LAS) | 12:00 | 16:20 | 242.00
LAX | SGU | Alaska Airlines | Non-stop | 13:15 | 16:30 | 230.00
LAX | SGU | JetBlue Airways | 1 stop (SFO) | 14:30 | 18:50 | 265.00
LAX | SGU | Spirit Airlines | 1 stop (DEN) | 15:45 | 20:10 | 202.00
LAX | SGU | Frontier Airlines | 1 stop (PHX) | 17:00 | 21:25 | 220.00
SGU | LAX | American Airlines | Non-stop | 06:00 | 07:15 | 185.00
SGU | LAX | Delta Air Lines | 1 stop (SLC) | 07:30 | 11:45 | 210.00
SGU | LAX | United Airlines | Non-stop | 09:00 | 10:15 | 200.00
SGU | LAX | Southwest Airlines | 1 stop (ABQ) | 10:30 | 14:50 | 235.00
SGU | LAX | Alaska Airlines | Non-stop | 12:00 | 13:15 | 225.00
SGU | LAX | JetBlue Airways | 1 stop (OAK) | 13:30 | 17:50 | 250.00
SGU | LAX | Spirit Airlines | 1 stop (DAL) | 15:00 | 19:25 | 195.00
SGU | LAX | Frontier Airlines | 1 stop (PHX) | 16:30 | 21:55 | 215.00


Here are the 16 flight plans:

LAX | LAS | American Airlines | Non-stop | 06:00 | 07:15 | 120.00
LAX | LAS | Delta Air Lines | 1 stop (PHX) | 08:30 | 11:45 | 180.00
LAX | LAS | United Airlines | Non-stop | 10:00 | 11:15 | 150.00
LAX | LAS | Spirit Airlines | 1 stop (SAN) | 12:45 | 15:50 | 220.00
LAX | LAS | Alaska Airlines | Non-stop | 14:30 | 15:45 | 130.00
LAX | LAS | JetBlue Airways | 1 stop (OAK) | 16:15 | 19:20 | 200.00
LAX | LAS | Southwest Airlines | Non-stop | 18:00 | 19:15 | 140.00
LAX | LAS | Frontier Airlines | 1 stop (DEN) | 20:45 | 23:50 | 240.00

LAS | LAX | American Airlines | Non-stop | 06:30 | 07:45 | 110.00
LAS | LAX | Delta Air Lines | 1 stop (SFO) | 09:00 | 12:05 | 190.00
LAS | LAX | United Airlines | Non-stop | 11:15 | 12:30 | 160.00
LAS | LAX | Spirit Airlines | 1 stop (TUS) | 13:45 | 16:50 | 230.00
LAS | LAX | Alaska Airlines | Non-stop | 15:30 | 16:45 | 120.00
LAS | LAX | JetBlue Airways | 1 stop (PHX) | 17:15 | 20:20 | 210.00
LAS | LAX | Southwest Airlines | Non-stop | 19:00 | 20:15 | 150.00
LAS | LAX | Frontier Airlines | 1 stop (ABQ) | 21:45 | 00:50 | 260.00


Here are the 16 flight plans:

LAX | AMS | Delta | Non-stop | 08:00 | 17:30 | 850.00
LAX | AMS | KLM | 1 stop (CDG) | 09:30 | 19:15 | 720.00
LAX | AMS | American | 1 stop (PHL) | 10:15 | 20:00 | 780.00
LAX | AMS | Lufthansa | 2 stops (FRA, MUC) | 11:00 | 21:45 | 920.00
LAX | AMS | United | Non-stop | 12:30 | 22:00 | 900.00
LAX | AMS | Air France | 1 stop (CDG) | 13:45 | 23:30 | 840.00
LAX | AMS | British Airways | 1 stop (LHR) | 15:00 | 00:45 | 960.00
LAX | AMS | Iberia | 2 stops (MAD, BCN) | 16:15 | 02:00 | 1000.00
AMS | LAX | KLM | Non-stop | 09:00 | 11:30 | 800.00
AMS | LAX | Delta | 1 stop (CDG) | 10:30 | 13:15 | 750.00
AMS | LAX | Lufthansa | 1 stop (FRA) | 11:45 | 14:30 | 820.00
AMS | LAX | United | Non-stop | 13:00 | 15:30 | 880.00
AMS | LAX | American | 1 stop (PHL) | 14:15 | 16:45 | 860.00
AMS | LAX | Air France | 1 stop (CDG) | 15:30 | 18:00 | 900.00
AMS | LAX | British Airways | 1 stop (LHR) | 16:45 | 19:15 | 940.00
AMS | LAX | Iberia | 2 stops (MAD, BCN) | 18:00 | 20:30 | 1020.00


Here are the 16 flight plans:

LAX | AUA | American Airlines | Non-stop | 08:00 | 16:30 | 450.00
LAX | AUA | Delta Air Lines | 1 stop (MIA) | 10:30 | 19:15 | 520.00
LAX | AUA | United Airlines | Non-stop | 12:00 | 20:30 | 480.00
LAX | AUA | Spirit Airlines | 1 stop (FLL) | 14:00 | 22:45 | 380.00
LAX | AUA | JetBlue Airways | Non-stop | 16:00 | 00:30 | 500.00
LAX | AUA | Alaska Airlines | 1 stop (SFO) | 18:00 | 02:15 | 550.00
LAX | AUA | Southwest Airlines | 1 stop (HOU) | 20:00 | 04:30 | 420.00
LAX | AUA | Frontier Airlines | 1 stop (DEN) | 22:00 | 06:15 | 400.00
AUA | LAX | American Airlines | Non-stop | 08:30 | 12:00 | 420.00
AUA | LAX | Delta Air Lines | 1 stop (ATL) | 10:00 | 15:45 | 480.00
AUA | LAX | United Airlines | Non-stop | 12:30 | 16:00 | 450.00
AUA | LAX | Spirit Airlines | 1 stop (EWR) | 14:30 | 19:15 | 380.00
AUA | LAX | JetBlue Airways | Non-stop | 16:30 | 20:00 | 500.00
AUA | LAX | Alaska Airlines | 1 stop (SEA) | 18:30 | 22:45 | 520.00
AUA | LAX | Southwest Airlines | 1 stop (BNA) | 20:30 | 02:15 | 400.00
AUA | LAX | Frontier Airlines | 1 stop (PHX) | 22:30 | 04:30 | 380.00


Here are the 16 flight plans:

LAX | ATH | American Airlines | Non-stop | 10:00 | 06:00 | 850.00
LAX | ATH | Lufthansa | 1 stop (FRA) | 12:30 | 09:30 | 900.00
LAX | ATH | Emirates | 1 stop (DXB) | 14:00 | 11:00 | 1100.00
LAX | ATH | Turkish Airlines | 1 stop (IST) | 15:30 | 12:30 | 1000.00
LAX | ATH | Delta Air Lines | Non-stop | 17:00 | 13:00 | 950.00
LAX | ATH | KLM | 1 stop (AMS) | 18:30 | 15:30 | 1050.00
LAX | ATH | Air France | 1 stop (CDG) | 20:00 | 17:00 | 1200.00
LAX | ATH | British Airways | 1 stop (LHR) | 21:30 | 18:30 | 1150.00

ATH | LAX | American Airlines | Non-stop | 08:00 | 11:00 | 900.00
ATH | LAX | Lufthansa | 1 stop (FRA) | 10:30 | 14:30 | 1050.00
ATH | LAX | Emirates | 1 stop (DXB) | 12:00 | 16:00 | 1250.00
ATH | LAX | Turkish Airlines | 1 stop (IST) | 13:30 | 17:30 | 1100.00
ATH | LAX | Delta Air Lines | Non-stop | 15:00 | 18:00 | 1000.00
ATH | LAX | KLM | 1 stop (AMS) | 16:30 | 20:30 | 1150.00
ATH | LAX | Air France | 1 stop (CDG) | 18:00 | 22:00 | 1300.00
ATH | LAX | British Airways | 1 stop (LHR) | 19:30 | 23:30 | 1200.00


Here are the 16 flight plans:

LAX | AKL | Qantas | 1 (HNL) | 08:00 | 06:30 | 850.00
LAX | AKL | American Airlines | 2 (HNL, SYD) | 10:30 | 09:15 | 1050.00
LAX | AKL | Air New Zealand | Non-stop | 12:00 | 08:00 | 1200.00
LAX | AKL | United Airlines | 1 (SFO) | 14:00 | 11:30 | 900.00
LAX | AKL | Delta Air Lines | 2 (SFO, MEL) | 16:00 | 13:45 | 1100.00
LAX | AKL | Virgin Australia | 1 (BNE) | 18:00 | 15:30 | 1000.00
LAX | AKL | Fiji Airways | 1 (NAN) | 20:00 | 17:30 | 950.00
LAX | AKL | Hawaiian Airlines | 1 (HNL) | 22:00 | 19:30 | 1050.00

AKL | LAX | Air New Zealand | Non-stop | 08:00 | 12:00 | 1250.00
AKL | LAX | Qantas | 1 (SYD) | 10:30 | 14:30 | 1100.00
