

ORD | IAH | United | 0 | 08:00 | 11:15 | 250.00
MDW | SFO | B6 | 0 | 16:00 | 18:30 | 290.00
MDW | SFO | NK | 1 (PHX) | 17:15 | 20:45 | 240.00
SFO | MDW | UA | 0 | 08:00 | 14:30 | 260.00
SFO | MDW | AA | 1 (DFW) | 09:15 | 15:45 | 330.00
SFO | MDW | WN | 0 | 10:45 | 16:15 | 290.00
SFO | MDW | DL | 1 (SLC) | 12:00 | 17:30 | 360.00
SFO | MDW | AS | 0 | 13:30 | 18:00 | 310.00
SFO | MDW | F9 | 1 (DEN) | 14:45 | 19:15 | 280.00
SFO | MDW | B6 | 0 | 16:00 | 20:30 | 300.00
SFO | MDW | NK | 1 (LAX) | 17:15 | 21:45 | 250.00


Here are the 16 flight plans:

MDW | CLT | AA | Non-stop | 06:00 | 09:35 | 198.00
MDW | CLT | DL | 1 stop (ATL) | 07:30 | 11:45 | 228.00
MDW | CLT | UA | Non-stop | 08:15 | 11:50 | 220.00
MDW | CLT | WN | 1 stop (BNA) | 09:00 | 13:20 | 240.00
MDW | CLT | F9 | Non-stop | 10:45 | 14:10 | 190.00
MDW | CLT | NK | 1 stop (DTW) | 11:30 | 15:05 | 210.00
MDW | CLT | SY | Non-stop | 12:15 | 15:40 | 200.00
MDW | CLT | B6 | 1 stop (JFK) | 13:00 | 16:35 | 230.00
CLT | MDW | AA | Non-stop | 06:30 | 08:05 | 210.00
CLT | MDW | DL | 1 stop (CVG) | 07:15 | 10:40 | 240.00
CLT | MDW | UA | Non-stop | 08:00 | 10:35 | 230.00
CLT | MDW | WN | 1 stop (STL) | 09:30 | 12:55 | 250.00
CLT | MDW | F9 | Non-stop | 10:15 | 12:40 | 190.00
CLT | MDW | NK | 1 stop (PIT) | 11:00 | 14:25 | 220.00
CLT | MDW | SY | Non-stop | 11:45 | 14:10 | 200.00
CLT | MDW | B6 | 1 stop (BOS) | 12:30 | 15:55 | 240.00


Here are the 16 flight plans:

MDW | BOS | American Airlines | Non-stop | 06:00 | 09:15 | 220.00
MDW | BOS | Delta Air Lines | 1 stop (JFK) | 08:30 | 12:45 | 280.00
MDW | BOS | United Airlines | Non-stop | 10:45 | 14:00 | 250.00
MDW | BOS | Spirit Airlines | 1 stop (EWR) | 12:15 | 16:30 | 200.00
MDW | BOS | JetBlue Airways | Non-stop | 14:00 | 17:15 | 230.00
MDW | BOS | Alaska Airlines | 1 stop (ORD) | 15:30 | 19:45 | 240.00
MDW | BOS | Southwest Airlines | Non-stop | 17:00 | 20:15 | 210.00
MDW | BOS | Frontier Airlines | 1 stop (ATL) | 18:45 | 22:59 | 190.00
BOS | MDW | American Airlines | Non-stop | 06:30 | 08:45 | 230.00
BOS | MDW | Delta Air Lines | 1 stop (LGA) | 09:00 | 13:15 | 260.00
BOS | MDW | United Airlines | Non-stop | 11:15 | 13:30 | 240.00
BOS | MDW | Spirit Airlines | 1 stop (BWI) | 12:45 | 16:59 | 200.00
BOS | MDW | JetBlue Airways | Non-stop | 14:30 | 16:45 | 220.00
BOS | MDW | Alaska Airlines | 1 stop (PHL) | 15:45 | 19:59 | 250.00
BOS | MDW | Southwest Airlines | Non-stop | 17:15 | 19:30 | 210.00
BOS | MDW | Frontier Airlines | 1 stop (CLE) | 18:30 | 22:45 | 190.00


Here are the 16 flight plans:

MDW | SEA | AA | 0 | 08:00 | 10:30 | 350.00
MDW | SEA | UA | 1 (DEN) | 09:30 | 12:45 | 420.00
MDW | SEA | WN | 0 | 11:15 | 13:45 | 380.00
MDW | SEA | DL | 1 (MSP) | 12:00 | 15:15 | 450.00
MDW | SEA | AS | 0 | 13:45 | 16:15 | 320.00
MDW | SEA | F9 | 1 (DEN) | 14:30 | 17:45 | 400.00
MDW | SEA | NK | 1 (LAS) | 15:15 | 18:30 | 480.00
MDW | SEA | B6 | 0 | 16:00 | 18:30 | 360.00
SEA | MDW | AA | 0 | 08:30 | 14:00 | 320.00
SEA | MDW | UA | 1 (SFO) | 09:00 | 15:15 | 440.00
SEA | MDW | WN | 0 | 10:45 | 16:15 | 340.00
SEA | MDW | DL | 1 (ATL) | 11:30 | 17:45 | 460.00
SEA | MDW | AS | 0 | 12:15 | 17:45 | 300.00
SEA | MDW | F9 | 1 (DEN) | 13:00 | 18:15 | 420.00
SEA | MDW | NK | 1 (ORD) | 14:45 | 20:00 | 500.00
SEA | MDW | B6 | 0 | 15:30 | 20:00 | 380.00


Here are the 16 flight plans:

MDW | DEN | American Airlines | 1 (ORD) | 06:00 | 08:35 | 278.00
MDW | DEN | United Airlines | 0 | 08:15 | 10:05 | 298.00
MDW | DEN | Delta Air Lines | 1 (MSP) | 09:45 | 12:20 | 320.00
MDW | DEN | Southwest Airlines | 0 | 11:00 | 12:50 | 258.00
MDW | DEN | Frontier Airlines | 0 | 12:30 | 14:20 | 238.00
MDW | DEN | Spirit Airlines | 1 (LAS) | 14:15 | 16:50 | 288.00
MDW | DEN | Alaska Airlines | 1 (SEA) | 15:45 | 18:25 | 328.00
MDW | DEN | JetBlue Airways | 0 | 17:00 | 18:50 | 268.00

DEN | MDW | United Airlines | 0 | 06:30 | 10:10 | 308.00
DEN | MDW | American Airlines | 1 (DFW) | 08:00 | 11:40 | 338.00
DEN | MDW | Delta Air Lines | 0 | 09:15 | 11:55 | 288.00
DEN | MDW | Southwest Airlines | 0 | 10:45 | 13:25 | 248.00
DEN | MDW | Frontier Airlines | 1 (MCI) | 12:00 | 14:40 | 298.00
DEN | MDW | Spirit Airlines | 0 | 13:30 | 15:10 | 228.00
DEN | MDW | Alaska Airlines | 1 (SFO) | 15:00 | 17:40 | 358.00
DEN | MDW | JetBlue Airways | 0 | 16:15 | 18:05 | 278.00


Here are the 16 flight plans:

MDW | BNA | American Airlines | Non-stop | 06:00 | 07:45 | 178.00
MDW | BNA | Delta Air Lines | 1 stop (ATL) | 07:30 | 10:15 | 220.00
MDW | BNA | United Airlines | Non-stop | 09:00 | 10:45 | 198.00
MDW | BNA | Spirit Airlines | 1 stop (ORD) | 11:15 | 14:00 | 240.00
MDW | BNA | Frontier Airlines | Non-stop | 12:30 | 14:15 | 160.00
MDW | BNA | Southwest Airlines | 1 stop (STL) | 14:45 | 17:30 | 280.00
MDW | BNA | Alaska Airlines | Non-stop | 16:00 | 17:45 | 200.00
MDW | BNA | JetBlue Airways | 1 stop (JFK) | 18:15 | 21:00 | 300.00
BNA | MDW | American Airlines | Non-stop | 06:30 | 08:15 | 190.00
BNA | MDW | Delta Air Lines | 1 stop (CVG) | 08:00 | 11:45 | 250.00
BNA | MDW | United Airlines | Non-stop | 10:30 | 12:15 | 210.00
BNA | MDW | Spirit Airlines | 1 stop (DTW) | 12:00 | 15:45 | 270.00
BNA | MDW | Frontier Airlines | Non-stop | 13:45 | 15:30 | 180.00
BNA | MDW | Southwest Airlines | 1 stop (IND) | 15:15 | 18:00 | 290.00
BNA | MDW | Alaska Airlines | Non-stop | 16:45 | 18:30 | 230.00
BNA | MDW | JetBlue Airways | 1 stop (BOS) | 18:30 | 21:15 | 310.00


Here are the 16 flight plans:

MDW | IAD | American Airlines | Non-stop | 06:00 | 09:15 | 250.00
MDW | IAD | United Airlines | 1 stop (EWR) | 07:30 | 11:45 | 280.00
MDW | IAD | Delta Air Lines | Non-stop | 08:15 | 11:30 | 220.00
MDW | IAD | Southwest Airlines | 1 stop (BWI) | 09:00 | 13:15 | 300.00
MDW | IAD | Alaska Airlines | Non-stop | 10:45 | 14:00 | 240.00
MDW | IAD | JetBlue Airways | 1 stop (JFK) | 11:30 | 15:45 | 320.00
MDW | IAD | Spirit Airlines | Non-stop | 12:15 | 15:30 | 200.00
MDW | IAD | Frontier Airlines | 1 stop (CLE) | 13:00 | 16:15 | 260.00
IAD | MDW | American Airlines | Non-stop | 06:00 | 07:15 | 230.00
IAD | MDW | United Airlines | 1 stop (PIT) | 07:30 | 10:45 | 290.00
IAD | MDW | Delta Air Lines | Non-stop | 08:15 | 09:30 | 210.00
IAD | MDW | Southwest Airlines | 1 stop (CMH) | 09:00 | 12:15 | 310.00
IAD | MDW | Alaska Airlines | Non-stop | 10:45 | 12:00 | 250.00
IAD | MDW | JetBlue Airways | 1 stop (BOS) | 11:30 | 14:45 | 330.00
IAD | MDW | Spirit Airlines | Non-stop | 12:15 | 13:30 | 190.00
IAD | MDW | Frontier Airlines | 1 stop (DTW) | 13:00 | 15:15 | 270.00


Here are the 16 flight plans:

MDW | DCA | American Airlines | Non-stop | 06:00 | 08:30 | 198.00
MDW | DCA | United Airlines | 1 stop (EWR) | 07:30 | 11:15 | 220.00
MDW | DCA | Delta Air Lines | Non-stop | 08:45 | 11:15 | 240.00
MDW | DCA | Spirit Airlines | 1 stop (DTW) | 09:15 | 13:00 | 180.00
MDW | DCA | Frontier Airlines | Non-stop | 10:30 | 12:55 | 200.00
MDW | DCA | Southwest Airlines | 1 stop (BWI) | 11:45 | 15:20 | 250.00
MDW | DCA | JetBlue Airways | Non-stop | 13:00 | 15:25 | 230.00
MDW | DCA | Alaska Airlines | 1 stop (ORD) | 14:15 | 17:40 | 210.00

DCA | MDW | American Airlines | Non-stop | 06:30 | 08:05 | 205.00
DCA | MDW | United Airlines | 1 stop (IAD) | 07:45 | 11:10 | 235.00
DCA | MDW | Delta Air Lines | Non-stop | 09:00 | 11:25 | 260.00
DCA | MDW | Spirit Airlines | 1 stop (PIT) | 10:15 | 13:50 | 195.00
DCA | MDW | Frontier Airlines | Non-stop | 11:30 | 13:55 | 225.00
DCA | MDW | Southwest Airlines | 1 stop (CMH) | 12:45 | 16:10 | 270.00
DCA | MDW | JetBlue Airways | Non-stop | 14:00 | 16:25 | 245.00
DCA | MDW | Alaska Airlines | 1 stop (CLE) | 15:15 | 18:40 | 230.00


Here are the 16 flight plans:

MDW | MIA | American Airlines | Non-stop | 06:00 | 09:35 | 178.00
MDW | MIA | Delta Air Lines | 1 stop (ATL) | 07:15 | 11:40 | 220.00
MDW | MIA | United Airlines | Non-stop | 08:30 | 12:05 | 198.00
MDW | MIA | Spirit Airlines | 1 stop (FLL) | 09:45 | 14:10 | 180.00
MDW | MIA | Frontier Airlines | Non-stop | 11:00 | 14:35 | 160.00
MDW | MIA | JetBlue Airways | 1 stop (BOS) | 12:15 | 16:40 | 240.00
MDW | MIA | Southwest Airlines | Non-stop | 13:30 | 17:05 | 200.00
MDW | MIA | Alaska Airlines | 1 stop (ORD) | 14:45 | 18:10 | 230.00
MIA | MDW | American Airlines | Non-stop | 06:00 | 08:35 | 185.00
MIA | MDW | Delta Air Lines | 1 stop (ATL) | 07:15 | 11:40 | 225.00
MIA | MDW | United Airlines | Non-stop | 08:30 | 11:05 | 205.00
MIA | MDW | Spirit Airlines | 1 stop (FLL) | 09:45 | 14:10 | 190.00
MIA | MDW | Frontier Airlines | Non-stop | 11:00 | 13:35 | 170.00
MIA | MDW | JetBlue Airways | 1 stop (BOS) | 12:15 | 16:40 | 250.00
MIA | MDW | Southwest Airlines | Non-stop | 13:30 | 16:05 | 210.00
MIA | MDW | Alaska Airlines | 1 stop (ORD) | 14:45 | 18:10 | 235.00


Here are the 16 flight plans:

MDW | LAS | AA | 0 | 06:00 | 08:30 | 250.00
MDW | LAS | UA | 1 (DEN) | 08:15 | 11:45 | 320.00
MDW | LAS | WN | 0 | 10:30 | 13:00 | 220.00
MDW | LAS | DL | 1 (SFO) | 12:45 | 16:15 | 380.00
MDW | LAS | AS | 1 (SEA) | 14:00 | 17:30 | 350.00
MDW | LAS | F9 | 0 | 15:15 | 17:45 | 200.00
MDW | LAS | NK | 1 (IAH) | 16:30 | 20:00 | 300.00
MDW | LAS | B6 | 1 (LAX) | 18:00 | 21:30 | 330.00
LAS | MDW | AA | 0 | 06:30 | 11:00 | 280.00
LAS | MDW | UA | 1 (ORD) | 08:45 | 13:15 | 340.00
LAS | MDW | WN | 0 | 11:00 | 15:30 | 240.00
LAS | MDW | DL | 1 (ATL) | 12:15 | 16:45 | 360.00
LAS | MDW | AS | 1 (PDX) | 13:30 | 17:00 | 310.00
LAS | MDW | F9 | 0 | 14:45 | 18:15 | 210.00
LAS | MDW | NK | 1 (DFW) | 16:00 | 20:30 | 290.00
LAS | MDW | B6 | 1 (JFK) | 17:15 | 22:45 | 320.00


Here are the 16 flight plans:

MDW | MSY | AA | 0 | 08:00 | 11:05 | 198.00
MDW | MSY | UA | 1 (IAH) | 09:30 | 13:20 | 229.00
MDW | MSY | WN | 0 | 10:15 | 13:10 | 189.00
MDW | MSY | DL | 1 (ATL) | 11:00 | 14:50 | 259.00
MDW | MSY | F9 | 0 | 12:30 | 15:20 | 169.00
MDW | MSY | NK | 1 (DFW) | 13:45 | 17:30 | 239.00
MDW | MSY | B6 | 0 | 15:00 | 17:50 | 209.00
MDW | MSY | SY | 1 (MKE) | 16:15 | 20:00 | 279.00
MSY | MDW | AA | 0 | 08:30 | 11:25 | 199.00
MSY | MDW | UA | 1 (ORD) | 09:45 | 13:35 | 249.00
MSY | MDW | WN | 0 | 11:00 | 13:55 | 179.00
MSY | MDW | DL | 1 (MEM) | 12:15 | 15:55 | 269.00
MSY | MDW | F9 | 0 | 13:30 | 16:20 | 159.00
MSY | MDW | NK | 1 (TPA) | 14:45 | 18:30 | 259.00
MSY | MDW | B6 | 0 | 16:00 | 18:50 | 219.00
MSY | MDW | SY | 1 (CLE) | 17:15 | 21:00 | 299.00


Here are the 16 flight plans:

MDW | MCO | American Airlines | 0 | 08:00 | 11:35 | 198.00
MDW | MCO | Delta Air Lines | 1 (ATL) | 09:30 | 14:20 | 235.00
MDW | MCO | United Airlines | 0 | 10:15 | 13:50 | 220.00
MDW | MCO | Spirit Airlines | 1 (FLL) | 11:45 | 16:10 | 185.00
MDW | MCO | Frontier Airlines | 0 | 13:00 | 16:25 | 205.00
MDW | MCO | Southwest Airlines | 1 (BNA) | 14:30 | 18:00 | 240.00
MDW | MCO | JetBlue Airways | 0 | 15:45 | 19:10 | 230.00
MDW | MCO | Alaska Airlines | 1 (ORD) | 17:00 | 20:35 | 250.00
MCO | MDW | American Airlines | 0 | 08:30 | 10:05 | 200.00
MCO | MDW | Delta Air Lines | 1 (CVG) | 09:50 | 13:20 | 225.00
MCO | MDW | United Airlines | 0 | 11:10 | 13:40 | 215.00
MCO | MDW | Spirit Airlines | 1 (TPA) | 12:30 | 15:55 | 190.00
MCO | MDW | Frontier Airlines | 0 | 14:00 | 16:25 | 210.00
MCO | MDW | Southwest Airlines | 1 (STL) | 15:20 | 18:45 | 235.00
MCO | MDW | JetBlue Airways | 0 | 16:45 | 19:10 | 225.00
MCO | MDW | Alaska Airlines | 1 (DEN) | 18:10 | 21:35 | 245.00


Here are the 16 flight plans:

MDW | TPA | American Airlines | Non-stop | 06:00 | 09:35 | 198.00
MDW | TPA | Delta Air Lines | 1 stop (ATL) | 07:30 | 11:20 | 228.00
MDW | TPA | United Airlines | Non-stop | 08:15 | 11:50 | 210.00
MDW | TPA | Spirit Airlines | 1 stop (FLL) | 09:00 | 13:10 | 180.00
MDW | TPA | Frontier Airlines | Non-stop | 10:45 | 14:20 | 240.00
MDW | TPA | Southwest Airlines | 1 stop (BNA) | 12:00 | 15:30 | 200.00
MDW | TPA | JetBlue Airways | Non-stop | 13:30 | 17:05 | 220.00
MDW | TPA | Alaska Airlines | 1 stop (ORD) | 15:00 | 18:20 | 250.00
TPA | MDW | American Airlines | Non-stop | 06:30 | 08:05 | 190.00
TPA | MDW | Delta Air Lines | 1 stop (CVG) | 07:00 | 10:20 | 230.00
TPA | MDW | United Airlines | Non-stop | 08:45 | 11:20 | 200.00
TPA | MDW | Spirit Airlines | 1 stop (DTW) | 09:30 | 12:50 | 160.00
TPA | MDW | Frontier Airlines | Non-stop | 11:15 | 13:45 | 230.00
TPA | MDW | Southwest Airlines | 1 stop (STL) | 12:30 | 15:50 | 210.00
TPA | MDW | JetBlue Airways | Non-stop | 14:00 | 16:35 | 240.00
TPA | MDW | Alaska Airlines | 1 stop (IAH) | 15:45 | 18:55 | 260.00


Here are the 16 flight plans:

MDW | ANC | American Airlines | 1 (DFW) | 08:00 | 14:35 | 542.50
MDW | ANC | United Airlines | 2 (DEN, SFO) | 09:15 | 18:10 | 623.75
MDW | ANC | Delta Air Lines | 0 | 10:30 | 17:45 | 698.00
MDW | ANC | Alaska Airlines | 1 (SEA) | 11:45 | 19:20 | 658.25
MDW | ANC | Spirit Airlines | 2 (LAS, PDX) | 13:00 | 21:35 | 448.50
MDW | ANC | Frontier Airlines | 1 (DEN) | 14:15 | 22:40 | 518.75
MDW | ANC | Southwest Airlines | 1 (PHX) | 15:30 | 23:55 | 578.00
MDW | ANC | JetBlue Airways | 2 (JFK, SEA) | 16:45 | 01:20 | 638.25
ANC | MDW | American Airlines | 1 (DFW) | 08:00 | 16:35 | 562.50
ANC | MDW | United Airlines | 2 (SFO, DEN) | 09:15 | 18:10 | 653.75
ANC | MDW | Delta Air Lines | 0 | 10:30 | 18:45 | 728.00
ANC | MDW | Alaska Airlines | 1 (SEA) | 11:45 | 20:20 | 688.25
ANC | MDW | Spirit Airlines | 2 (PDX, LAS) | 13:00 | 22:35 | 478.50
ANC | MDW | Frontier Airlines | 1 (DEN) | 14:15 | 23:40 | 548.75
ANC | MDW | Southwest Airlines | 1 (PHX) | 15:30 | 01:55 | 608.00
ANC | MDW | JetBlue Airways | 2 (SEA, JFK) | 16:45 | 02:20 | 668.25


Here are the 16 flight plans:

MDW | SJU | American Airlines | Non-stop | 08:00 | 14:30 | 450.00
MDW | SJU | Delta Air Lines | 1 stop (MIA) | 09:30 | 17:15 | 520.00
MDW | SJU | United Airlines | Non-stop | 10:45 | 17:05 | 480.00
MDW | SJU | JetBlue Airways | Non-stop | 12:15 | 18:45 | 400.00
MDW | SJU | Spirit Airlines | 1 stop (FLL) | 13:00 | 20:30 | 380.00
MDW | SJU | Frontier Airlines | 1 stop (TPA) | 14:30 | 21:45 | 420.00
MDW | SJU | Southwest Airlines | Non-stop | 15:45 | 22:15 | 500.00
MDW | SJU | Alaska Airlines | 1 stop (PBI) | 17:00 | 23:30 | 440.00
SJU | MDW | American Airlines | Non-stop | 08:30 | 12:00 | 430.00
SJU | MDW | Delta Air Lines | 1 stop (ATL) | 09:15 | 14:45 | 550.00
SJU | MDW | United Airlines | Non-stop | 10:00 | 15:30 | 460.00
SJU | MDW | JetBlue Airways | Non-stop | 11:45 | 17:15 | 410.00
SJU | MDW | Spirit Airlines | 1 stop (EWR) | 12:30 | 19:00 | 390.00
SJU | MDW | Frontier Airlines | 1 stop (MCO) | 13:45 | 20:15 | 450.00
SJU | MDW | Southwest Airlines | Non-stop | 15:15 | 21:45 | 530.00
SJU | MDW | Alaska Airlines | 1 stop (BOS) | 16:30 | 22:55 | 470.00


Here are the 16 flight plans:

MDW | BHB | AA | 1 (ORD) | 06:00 | 09:15 | 278.50
MDW | BHB | UA | 0 | 07:30 | 10:45 | 220.00
MDW | BHB | DL | 1 (ATL) | 08:15 | 12:00 | 298.75
MDW | BHB | WN | 0 | 09:00 | 12:15 | 240.00
MDW | BHB | AA | 1 (DFW) | 10:30 | 14:45 | 318.50
MDW | BHB | UA | 1 (EWR) | 11:45 | 15:00 | 280.00
MDW | BHB | DL | 0 | 13:00 | 16:15 | 260.00
MDW | BHB | WN | 1 (STL) | 14:15 | 17:30 | 290.00
BHB | MDW | AA | 1 (ORD) | 06:00 | 09:15 | 278.50
BHB | MDW | UA | 0 | 07:30 | 10:45 | 220.00
BHB | MDW | DL | 1 (ATL) | 08:15 | 12:00 | 298.75
BHB | MDW | WN | 0 | 09:00 | 12:15 | 240.00
BHB | MDW | AA | 1 (DFW) | 10:30 | 14:45 | 318.50
BHB | MDW | UA | 1 (EWR) | 11:45 | 15:00 | 280.00
BHB | MDW | DL | 0 | 13:00 | 16:15 | 260.00
BHB | MDW | WN | 1 (STL) | 14:15 | 17:30 | 290.00


Here are the 16 flight plans:

MDW | BOS | AA | 0 | 06:00 | 09:35 | 198.00
MDW | BOS | UA | 1 (EWR) | 07:30 | 11:45 | 235.00
MDW | BOS | DL | 0 | 08:15 | 11:50 | 212.00
MDW | BOS | WN | 1 (BWI) | 09:00 | 13:25 | 258.00
MDW | BOS | F9 | 0 | 10:45 | 14:10 | 189.00
MDW | BOS | NK | 1 (DTW) | 11:30 | 15:05 | 275.00
MDW | BOS | B6 | 0 | 12:15 | 15:40 | 225.00
MDW | BOS | SY | 1 (MSP) | 13:00 | 16:35 | 242.00
BOS | MDW | AA | 0 | 06:00 | 08:35 | 208.00
BOS | MDW | UA | 1 (IAD) | 07:30 | 10:45 | 251.00
BOS | MDW | DL | 0 | 08:15 | 11:40 | 229.00
BOS | MDW | WN | 1 (PIT) | 09:00 | 12:25 | 265.00
BOS | MDW | F9 | 0 | 10:45 | 13:10 | 199.00
BOS | MDW | NK | 1 (CLE) | 11:30 | 14:05 | 282.00
BOS | MDW | B6 | 0 | 12:15 | 14:40 | 238.00
BOS | MDW | SY | 1 (ORD) | 13:00 | 15:35 | 255.00


Here are the 16 flight plans:

MDW | MRY | AA | 1 (DEN) | 08:00 | 10:35 | 420.00
MDW | MRY | UA | 1 (SFO) | 09:30 | 12:05 | 450.00
MDW | MRY | WN | 0 | 11:00 | 13:30 | 380.00
MDW | MRY | DL | 1 (LAX) | 12:15 | 14:45 | 480.00
MDW | MRY | AS | 1 (SEA) | 13:30 | 15:55 | 400.00
MDW | MRY | F9 | 1 (DEN) | 14:45 | 17:10 | 350.00
MDW | MRY | B6 | 1 (LAX) | 16:00 | 18:25 | 410.00
MDW | MRY | NK | 1 (LAS) | 17:15 | 19:40 | 390.00
MRY | MDW | AA | 1 (PHX) | 08:00 | 14:25 | 430.00
MRY | MDW | UA | 1 (SFO) | 09:30 | 15:55 | 460.00
MRY | MDW | WN | 0 | 11:00 | 16:30 | 410.00
MRY | MDW | DL | 1 (LAX) | 12:15 | 17:45 | 500.00
MRY | MDW | AS | 1 (SEA) | 13:30 | 18:55 | 440.00
MRY | MDW | F9 | 1 (DEN) | 14:45 | 20:10 | 370.00
MRY | MDW | B6 | 1 (LAX) | 16:00 | 21:25 | 420.00
MRY | MDW | NK | 1 (LAS) | 17:15 | 22:40 | 400.00


Here are the 16 flight plans:

MDW | SJC | AA | 0 | 08:00 | 10:35 | 425.00
MDW | SJC | UA | 1 (DEN) | 09:15 | 12:50 | 550.00
MDW | SJC | WN | 0 | 10:45 | 13:20 | 395.00
MDW | SJC | DL | 1 (MSP) | 12:00 | 15:40 | 620.00
MDW | SJC | AS | 0 | 13:30 | 16:05 | 475.00
MDW | SJC | F9 | 1 (LAS) | 14:45 | 18:20 | 520.00
MDW | SJC | NK | 0 | 16:00 | 18:35 | 450.00
MDW | SJC | B6 | 1 (LAX) | 17:15 | 20:50 | 590.00

SJC | MDW | AA | 0 | 06:30 | 12:05 | 410.00
SJC | MDW | UA | 1 (SFO) | 07:45 | 14:20 | 580.00
SJC | MDW | WN | 0 | 09:00 | 14:35 | 380.00
SJC | MDW | DL | 1 (SEA) | 10:30 | 16:05 | 640.00
SJC | MDW | AS | 0 | 11:45 | 16:20 | 490.00
SJC | MDW | F9 | 1 (PHX) | 13:00 | 17:35 | 530.00
SJC | MDW | NK | 0 | 14:15 | 18:50 | 460.00
SJC | MDW | B6 | 1 (JFK) | 15:30 | 21:05 | 610.00


Here are the 16 flight plans:

MDW | SFO | American Airlines | Non-stop | 08:00 | 10:35 | 250.00
MDW | SFO | United Airlines | 1 stop (DEN) | 09:30 | 12:45 | 270.00
MDW | SFO | Delta Air Lines | Non-stop | 11:15 | 13:50 | 290.00
MDW | SFO | Spirit Airlines | 1 stop (LAS) | 12:00 | 15:25 | 220.00
MDW | SFO | Alaska Airlines | Non-stop | 13:45 | 16:20 | 310.00
MDW | SFO | Frontier Airlines | 1 stop (PHX) | 15:00 | 18:30 | 240.00
MDW | SFO | Southwest Airlines | Non-stop | 16:30 | 19:05 | 280.00
MDW | SFO | JetBlue Airways | 1 stop (LAX) | 18:00 | 21:35 | 260.00

SFO | MDW | American Airlines | Non-stop | 08:30 | 14:05 | 280.00
SFO | MDW | United Airlines | 1 stop (IAH) | 09:45 | 16:20 | 300.00
SFO | MDW | Delta Air Lines | Non-stop | 11:50 | 17:25 | 320.00
SFO | MDW | Spirit Airlines | 1 stop (ORD) | 13:15 | 18:50 | 230.00
SFO | MDW | Alaska Airlines | Non-stop | 14:20 | 19:55 | 330.00
SFO | MDW | Frontier Airlines | 1 stop (MSP) | 15:45 | 21:20 | 250.00
SFO | MDW | Southwest Airlines | Non-stop | 17:00 | 22:35 | 290.00
SFO | MDW | JetBlue Airways | 1 stop (ATL) | 18:30 | 00:05 | 270.00


Here are the 16 flight plans:

MDW | EGE | American Airlines | Non-stop | 08:00 | 10:35 | 420.00
MDW | EGE | United Airlines | 1 stop (DEN) | 09:15 | 12:50 | 450.00
MDW | EGE | Delta Air Lines | Non-stop | 10:45 | 13:20 | 480.00
MDW | EGE | Southwest Airlines | 1 stop (LAS) | 11:30 | 15:05 | 520.00
MDW | EGE | Alaska Airlines | Non-stop | 12:00 | 14:35 | 500.00
MDW | EGE | JetBlue Airways | 1 stop (SFO) | 13:15 | 16:40 | 550.00
MDW | EGE | Spirit Airlines | 1 stop (DFW) | 14:30 | 18:05 | 480.00
MDW | EGE | Frontier Airlines | Non-stop | 15:45 | 18:20 | 460.00
EGE | MDW | American Airlines | Non-stop | 06:00 | 10:35 | 400.00
EGE | MDW | United Airlines | 1 stop (IAH) | 07:15 | 11:40 | 430.00
EGE | MDW | Delta Air Lines | Non-stop | 08:45 | 12:20 | 460.00
EGE | MDW | Southwest Airlines | 1 stop (PHX) | 09:30 | 13:05 | 490.00
EGE | MDW | Alaska Airlines | Non-stop | 10:00 | 13:35 | 470.00
EGE | MDW | JetBlue Airways | 1 stop (ORD) | 11:15 | 14:40 | 510.00
EGE | MDW | Spirit Airlines | 1 stop (MSP) | 12:30 | 15:55 | 450.00
EGE | MDW | Frontier Airlines | Non-stop | 13:45 | 16:20 | 440.00


Here are the 16 flight plans:

MDW | DEN | UA | 1 (ORD) | 06:00 | 08:35 | 278.50
MDW | DEN | AA | 0 | 08:15 | 10:40 | 298.00
MDW | DEN | WN | 1 (STL) | 09:30 | 12:05 | 248.75
MDW | DEN | DL | 1 (MSP) | 11:00 | 13:35 | 318.00
MDW | DEN | F9 | 0 | 12:45 | 15:10 | 228.50
MDW | DEN | UA | 1 (IAH) | 14:15 | 16:40 | 288.00
MDW | DEN | AS | 1 (SEA) | 15:30 | 18:05 | 308.50
MDW | DEN | WN | 1 (DAL) | 16:45 | 19:20 | 258.75

DEN | MDW | UA | 1 (IAH) | 06:00 | 11:35 | 288.00
DEN | MDW | AA | 0 | 08:15 | 13:40 | 298.00
DEN | MDW | WN | 1 (STL) | 09:30 | 14:05 | 248.75
DEN | MDW | DL | 1 (MSP) | 11:00 | 15:35 | 318.00
DEN | MDW | F9 | 0 | 12:45 | 16:10 | 228.50
DEN | MDW | UA | 1 (ORD) | 14:15 | 17:40 | 278.50
DEN | MDW | AS | 1 (SEA) | 15:30 | 18:05 | 308.50
DEN | MDW | WN | 1 (DAL) | 16:45 | 19:20 | 258.75


Here are the 16 flight plans:

MDW | CHS | AA | 0 | 06:00 | 09:15 | 215.00
MDW | CHS | UA | 1 (CLT) | 07:30 | 11:45 | 289.00
MDW | CHS | DL | 0 | 08:15 | 11:30 | 249.00
MDW | CHS | WN | 1 (BNA) | 09:00 | 13:15 | 299.00
MDW | CHS | AA | 0 | 10:30 | 13:45 | 235.00
