

Here are the 16 flight plans:

JFK | LAX | American Airlines | Non-stop | 08:00 | 11:30 | 425.00
BER | LGA | LH | 1 (ZRH) | 22:00 | 08:30 | 540.00


Here are the 16 flight plans:

LGA | EZE | American Airlines | 1 (MIA) | 08:00 | 20:30 | 850.00
LGA | EZE | Delta Air Lines | 2 (ATL, GRU) | 09:30 | 22:15 | 950.00
LGA | EZE | LATAM | 0 | 11:00 | 01:30 | 1100.00
LGA | EZE | United Airlines | 1 (IAH) | 12:30 | 02:45 | 1050.00
LGA | EZE | Avianca | 2 (BOG, LIM) | 14:00 | 04:15 | 1000.00
LGA | EZE | Aerolineas Argentinas | 0 | 15:30 | 04:00 | 1200.00
LGA | EZE | Copa Airlines | 1 (PTY) | 17:00 | 05:30 | 1150.00
LGA | EZE | Air Canada | 2 (YYZ, SCL) | 19:00 | 07:15 | 1250.00
EZE | LGA | American Airlines | 1 (MIA) | 09:00 | 21:30 | 900.00
EZE | LGA | LATAM | 0 | 11:30 | 02:00 | 1300.00
EZE | LGA | Delta Air Lines | 2 (GRU, ATL) | 13:30 | 04:15 | 1050.00
EZE | LGA | United Airlines | 1 (IAH) | 15:00 | 05:45 | 1000.00
EZE | LGA | Avianca | 2 (LIM, BOG) | 17:00 | 07:15 | 1100.00
EZE | LGA | Aerolineas Argentinas | 0 | 19:30 | 08:00 | 1400.00
EZE | LGA | Copa Airlines | 1 (PTY) | 21:30 | 10:00 | 1250.00
EZE | LGA | Air Canada | 2 (SCL, YYZ) | 23:30 | 12:15 | 1350.00


Here are the 16 flight plans:

LGA | SJD | American Airlines | 1 (MIA) | 08:00 | 12:45 | 542.00
LGA | SJD | Delta Air Lines | 0 | 10:30 | 15:15 | 620.00
LGA | SJD | United Airlines | 1 (IAH) | 12:00 | 17:30 | 580.00
LGA | SJD | JetBlue Airways | 0 | 14:00 | 18:45 | 500.00
LGA | SJD | Spirit Airlines | 1 (FLL) | 16:00 | 21:15 | 420.00
LGA | SJD | Frontier Airlines | 1 (DEN) | 18:00 | 23:30 | 450.00
LGA | SJD | Alaska Airlines | 1 (SEA) | 20:00 | 01:45 | 520.00
LGA | SJD | Southwest Airlines | 1 (HOU) | 22:00 | 03:45 | 480.00
SJD | LGA | American Airlines | 1 (DFW) | 08:00 | 14:45 | 550.00
SJD | LGA | Delta Air Lines | 0 | 10:30 | 16:15 | 630.00
SJD | LGA | United Airlines | 1 (SFO) | 12:00 | 18:30 | 590.00
SJD | LGA | JetBlue Airways | 0 | 14:00 | 19:45 | 510.00
SJD | LGA | Spirit Airlines | 1 (ATL) | 16:00 | 22:15 | 440.00
SJD | LGA | Frontier Airlines | 1 (LAS) | 18:00 | 00:30 | 470.00
SJD | LGA | Alaska Airlines | 1 (ORD) | 20:00 | 02:45 | 530.00
SJD | LGA | Southwest Airlines | 1 (BNA) | 22:00 | 04:45 | 490.00


Here are the 16 flight plans:

LGA | CAI | EgyptAir | 1 (IST) | 08:00 | 22:30 | 850.00
LGA | CAI | Lufthansa | 2 (FRA, DXB) | 10:30 | 02:15 | 1200.00
LGA | CAI | Turkish Airlines | 1 (IST) | 12:45 | 04:00 | 900.00
LGA | CAI | Emirates | 1 (DXB) | 15:00 | 06:30 | 1100.00
LGA | CAI | British Airways | 2 (LHR, AUH) | 18:00 | 08:45 | 1300.00
LGA | CAI | Qatar Airways | 1 (DOH) | 20:30 | 10:15 | 1000.00
LGA | CAI | American Airlines | 2 (PHL, LHR) | 22:00 | 12:30 | 1400.00
LGA | CAI | United Airlines | 1 (EWR) | 23:59 | 14:00 | 950.00
CAI | LGA | EgyptAir | 1 (IST) | 01:00 | 06:30 | 800.00
CAI | LGA | Lufthansa | 2 (DXB, FRA) | 03:30 | 12:15 | 1150.00
CAI | LGA | Turkish Airlines | 1 (IST) | 06:00 | 14:30 | 850.00
CAI | LGA | Emirates | 1 (DXB) | 08:30 | 17:00 | 1050.00
CAI | LGA | British Airways | 2 (AUH, LHR) | 11:00 | 20:45 | 1250.00
CAI | LGA | Qatar Airways | 1 (DOH) | 13:30 | 22:15 | 950.00
CAI | LGA | American Airlines | 2 (LHR, PHL) | 16:00 | 02:30 | 1350.00
CAI | LGA | United Airlines | 1 (EWR) | 18:59 | 05:00 | 900.00


Here are the 16 flight plans:

LGA | CUN | AA | 1 (MIA) | 08:00 | 12:45 | 542.00
LGA | CUN | UA | 0 | 10:30 | 15:15 | 620.00
LGA | CUN | DL | 1 (ATL) | 12:00 | 17:30 | 580.00
LGA | CUN | WN | 1 (FLL) | 14:30 | 20:15 | 510.00
LGA | CUN | B6 | 0 | 16:00 | 20:45 | 550.00
LGA | CUN | AS | 1 (PBI) | 18:00 | 23:45 | 600.00
LGA | CUN | F9 | 1 (TPA) | 20:00 | 01:45 | 480.00
LGA | CUN | NK | 1 (MCO) | 22:00 | 04:45 | 520.00
CUN | LGA | AA | 1 (MIA) | 08:00 | 14:45 | 542.00
CUN | LGA | UA | 0 | 10:30 | 16:15 | 620.00
CUN | LGA | DL | 1 (ATL) | 12:00 | 18:30 | 580.00
CUN | LGA | WN | 1 (FLL) | 14:30 | 20:15 | 510.00
CUN | LGA | B6 | 0 | 16:00 | 20:45 | 550.00
CUN | LGA | AS | 1 (PBI) | 18:00 | 23:45 | 600.00
CUN | LGA | F9 | 1 (TPA) | 20:00 | 01:45 | 480.00
CUN | LGA | NK | 1 (MCO) | 22:00 | 04:45 | 520.00


Here are the 16 flight plans:

LGA | CPT | AA | 1 (JFK) | 08:00 | 20:30 | 1200.00
LGA | CPT | UA | 2 (EWR, FRA) | 10:00 | 22:45 | 1500.00
LGA | CPT | DL | 1 (ATL) | 12:00 | 23:59 | 1300.00
LGA | CPT | LH | 2 (FRA, JNB) | 14:00 | 01:15 | 1800.00
LGA | CPT | BA | 1 (LHR) | 16:00 | 02:30 | 1600.00
LGA | CPT | QR | 2 (DOH, JNB) | 18:00 | 04:15 | 2000.00
LGA | CPT | EK | 1 (DXB) | 20:00 | 06:30 | 1900.00
LGA | CPT | SA | 2 (JNB, CPT) | 22:00 | 08:45 | 1700.00

CPT | LGA | AA | 1 (JFK) | 08:00 | 18:30 | 1100.00
CPT | LGA | UA | 2 (FRA, EWR) | 10:00 | 20:45 | 1400.00
CPT | LGA | DL | 1 (ATL) | 12:00 | 22:59 | 1200.00
CPT | LGA | LH | 2 (JNB, FRA) | 14:00 | 00:15 | 1600.00
CPT | LGA | BA | 1 (LHR) | 16:00 | 02:30 | 1500.00
CPT | LGA | QR | 2 (JNB, DOH) | 18:00 | 04:15 | 1900.00
CPT | LGA | EK | 1 (DXB) | 20:00 | 06:30 | 1800.00
CPT | LGA | SA | 2 (CPT, JNB) | 22:00 | 08:45 | 1300.00


Here are the 16 flight plans:

LGA | CPH | Norwegian | 0 | 08:00 | 18:30 | 450.00
LGA | CPH | American | 1 (LHR) | 10:30 | 21:45 | 650.00
LGA | CPH | Delta | 0 | 13:45 | 00:15 | 550.00
LGA | CPH | Lufthansa | 1 (FRA) | 14:15 | 02:30 | 720.00
LGA | CPH | United | 1 (EWR) | 16:00 | 04:15 | 600.00
LGA | CPH | SAS | 0 | 18:30 | 06:45 | 480.00
LGA | CPH | British Airways | 1 (LHR) | 19:45 | 07:30 | 680.00
LGA | CPH | KLM | 1 (AMS) | 21:15 | 09:30 | 620.00
CPH | LGA | Norwegian | 0 | 09:00 | 11:30 | 420.00
CPH | LGA | American | 1 (LHR) | 11:30 | 14:45 | 630.00
CPH | LGA | Delta | 0 | 12:45 | 15:15 | 500.00
CPH | LGA | Lufthansa | 1 (FRA) | 14:15 | 17:30 | 750.00
CPH | LGA | United | 1 (EWR) | 15:00 | 18:15 | 580.00
CPH | LGA | SAS | 0 | 16:30 | 19:45 | 460.00
CPH | LGA | British Airways | 1 (LHR) | 18:45 | 21:30 | 660.00
CPH | LGA | KLM | 1 (AMS) | 20:15 | 23:30 | 640.00


Here are the 16 flight plans:

LGA | DXB | Emirates | 1 (AMS) | 08:00 | 19:30 | 850.00
LGA | DXB | Qatar Airways | 0 | 10:00 | 19:00 | 1200.00
LGA | DXB | Lufthansa | 2 (FRA, MUC) | 09:00 | 20:30 | 1000.00
LGA | DXB | Turkish Airlines | 1 (IST) | 11:00 | 21:00 | 900.00
LGA | DXB | American Airlines | 1 (LHR) | 08:30 | 20:00 | 1100.00
LGA | DXB | Delta Air Lines | 0 | 09:30 | 19:30 | 1300.00
LGA | DXB | British Airways | 1 (LHR) | 10:30 | 20:30 | 1050.00
LGA | DXB | United Airlines | 1 (EWR) | 09:00 | 20:00 | 1000.00
DXB | LGA | Emirates | 1 (AMS) | 02:00 | 06:30 | 800.00
DXB | LGA | Qatar Airways | 0 | 03:00 | 07:00 | 1150.00
DXB | LGA | Lufthansa | 2 (MUC, FRA) | 01:00 | 06:00 | 950.00
DXB | LGA | Turkish Airlines | 1 (IST) | 04:00 | 08:00 | 850.00
DXB | LGA | American Airlines | 1 (LHR) | 02:30 | 06:30 | 1050.00
DXB | LGA | Delta Air Lines | 0 | 03:30 | 07:30 | 1250.00
DXB | LGA | British Airways | 1 (LHR) | 04:30 | 08:30 | 1000.00
DXB | LGA | United Airlines | 1 (EWR) | 02:00 | 06:00 | 950.00


Here are the 16 flight plans:

LGA | DUB | American Airlines | 1 (PHL) | 08:00 | 18:30 | 450.00
LGA | DUB | Delta Air Lines | 0 | 10:00 | 19:30 | 520.00
LGA | DUB | United Airlines | 1 (EWR) | 12:00 | 22:00 | 480.00
LGA | DUB | Lufthansa | 1 (FRA) | 14:00 | 23:59 | 550.00
LGA | DUB | British Airways | 1 (LHR) | 16:00 | 01:30 | 500.00
LGA | DUB | Air Canada | 1 (YYZ) | 18:00 | 03:00 | 530.00
LGA | DUB | Swiss International | 1 (ZRH) | 20:00 | 04:30 | 510.00
LGA | DUB | KLM Royal Dutch | 1 (AMS) | 22:00 | 06:00 | 490.00
DUB | LGA | Aer Lingus | 0 | 08:00 | 10:30 | 420.00
DUB | LGA | American Airlines | 1 (PHL) | 10:00 | 14:30 | 460.00
DUB | LGA | Delta Air Lines | 1 (CDG) | 12:00 | 17:00 | 500.00
DUB | LGA | United Airlines | 0 | 14:00 | 18:30 | 480.00
DUB | LGA | Lufthansa | 1 (FRA) | 16:00 | 21:30 | 520.00
DUB | LGA | British Airways | 1 (LHR) | 18:00 | 23:59 | 510.00
DUB | LGA | Air Canada | 1 (YYZ) | 20:00 | 02:30 | 490.00
DUB | LGA | Swiss International | 1 (ZRH) | 22:00 | 04:00 | 500.00


Here are the 16 flight plans:

LGA | EDI | American Airlines | Non-stop | 08:00 | 18:30 | 450.00
LGA | EDI | British Airways | 1 stop (LHR) | 10:30 | 20:15 | 520.00
LGA | EDI | Delta Air Lines | Non-stop | 12:45 | 23:10 | 480.00
LGA | EDI | United Airlines | 1 stop (EWR) | 14:00 | 00:45 | 500.00
LGA | EDI | Lufthansa | 1 stop (FRA) | 16:15 | 02:50 | 550.00
LGA | EDI | Air Canada | 1 stop (YYZ) | 18:30 | 05:10 | 530.00
LGA | EDI | Swiss International | 1 stop (ZRH) | 20:45 | 07:25 | 580.00
LGA | EDI | KLM Royal Dutch | 1 stop (AMS) | 22:00 | 08:40 | 560.00
EDI | LGA | American Airlines | Non-stop | 09:00 | 11:30 | 420.00
EDI | LGA | British Airways | 1 stop (LHR) | 11:30 | 14:15 | 490.00
EDI | LGA | Delta Air Lines | Non-stop | 13:45 | 16:10 | 450.00
EDI | LGA | United Airlines | 1 stop (EWR) | 15:00 | 17:45 | 470.00
EDI | LGA | Lufthansa | 1 stop (FRA) | 17:15 | 20:50 | 510.00
EDI | LGA | Air Canada | 1 stop (YYZ) | 19:30 | 22:10 | 500.00
EDI | LGA | Swiss International | 1 stop (ZRH) | 21:45 | 00:25 | 540.00
EDI | LGA | KLM Royal Dutch | 1 stop (AMS) | 23:00 | 01:40 | 520.00


Here are the 16 flight plans:

LGA | HAN | Vietnam Airlines | 1 (NRT) | 10:30 | 06:30 | 850.00
LGA | HAN | Japan Airlines | 1 (HND) | 14:00 | 10:00 | 900.00
LGA | HAN | Korean Air | 1 (ICN) | 18:00 | 14:00 | 950.00
LGA | HAN | China Eastern | 1 (PVG) | 20:00 | 16:00 | 800.00
LGA | HAN | Thai Airways | 1 (BKK) | 08:00 | 04:00 | 920.00
LGA | HAN | Singapore Airlines | 1 (SIN) | 12:00 | 08:00 | 980.00
LGA | HAN | Malaysia Airlines | 1 (KUL) | 16:00 | 12:00 | 860.00
LGA | HAN | Cathay Pacific | 1 (HKG) | 22:00 | 18:00 | 940.00

HAN | LGA | Vietnam Airlines | 1 (NRT) | 09:30 | 19:30 | 870.00
HAN | LGA | Japan Airlines | 1 (HND) | 11:00 | 21:00 | 930.00
HAN | LGA | Korean Air | 1 (ICN) | 15:00 | 01:00 | 990.00
HAN | LGA | China Eastern | 1 (PVG) | 17:00 | 03:00 | 830.00
HAN | LGA | Thai Airways | 1 (BKK) | 07:00 | 17:00 | 960.00
HAN | LGA | Singapore Airlines | 1 (SIN) | 13:00 | 23:00 | 1010.00
HAN | LGA | Malaysia Airlines | 1 (KUL) | 19:00 | 05:00 | 890.00
HAN | LGA | Cathay Pacific | 1 (HKG) | 21:00 | 07:00 | 970.00


Here are the 16 flight plans:

LGA | HKG | American Airlines | 1 (NRT) | 08:00 | 20:30 | 850.00
LGA | HKG | Cathay Pacific | 0 | 10:30 | 22:45 | 950.00
LGA | HKG | Japan Airlines | 1 (HND) | 12:15 | 01:20 | 780.00
LGA | HKG | Korean Air | 1 (ICN) | 14:00 | 03:15 | 700.00
LGA | HKG | China Eastern | 1 (PVG) | 16:30 | 05:45 | 650.00
LGA | HKG | Singapore Airlines | 1 (SIN) | 18:45 | 07:00 | 720.00
LGA | HKG | ANA | 1 (NRT) | 20:00 | 08:15 | 800.00
LGA | HKG | Delta Air Lines | 1 (TPE) | 21:30 | 09:45 | 750.00
HKG | LGA | Cathay Pacific | 0 | 09:00 | 21:30 | 980.00
HKG | LGA | American Airlines | 1 (NRT) | 11:15 | 23:45 | 870.00
HKG | LGA | Japan Airlines | 1 (HND) | 13:30 | 02:00 | 790.00
HKG | LGA | Korean Air | 1 (ICN) | 15:45 | 04:10 | 730.00
HKG | LGA | China Eastern | 1 (PVG) | 18:00 | 06:25 | 680.00
HKG | LGA | Singapore Airlines | 1 (SIN) | 20:15 | 08:40 | 750.00
HKG | LGA | ANA | 1 (NRT) | 22:30 | 10:55 | 820.00
HKG | LGA | Delta Air Lines | 1 (TPE) | 00:45 | 13:10 | 780.00


Here are the 16 flight plans:

LGA | IST | Turkish Airlines | 1 (FRA) | 08:00 | 18:30 | 850.00
LGA | IST | Lufthansa | 1 (MUC) | 10:30 | 21:00 | 950.00
LGA | IST | American Airlines | 2 (PHL, AMS) | 12:00 | 23:59 | 1050.00
LGA | IST | Delta Air Lines | 1 (CDG) | 14:00 | 22:30 | 900.00
LGA | IST | United Airlines | 1 (EWR) | 16:00 | 23:30 | 875.00
LGA | IST | Emirates | 1 (DXB) | 18:00 | 01:30 | 1200.00
LGA | IST | Austrian Airlines | 1 (VIE) | 20:00 | 02:30 | 1000.00
LGA | IST | Swiss International | 1 (ZRH) | 22:00 | 04:30 | 1100.00

IST | LGA | Turkish Airlines | 1 (FRA) | 08:00 | 14:30 | 800.00
IST | LGA | Lufthansa | 1 (MUC) | 10:30 | 17:00 | 900.00
IST | LGA | American Airlines | 2 (AMS, PHL) | 12:00 | 20:59 | 1000.00
IST | LGA | Delta Air Lines | 1 (CDG) | 14:00 | 19:30 | 850.00
IST | LGA | United Airlines | 1 (EWR) | 16:00 | 21:30 | 825.00
IST | LGA | Emirates | 1 (DXB) | 18:00 | 23:30 | 1150.00
IST | LGA | Austrian Airlines | 1 (VIE) | 20:00 | 01:30 | 950.00
IST | LGA | Swiss International | 1 (ZRH) | 22:00 | 03:30 | 1050.00


Here are the 16 flight plans:

LGA | TLV | EL AL | 0 | 08:00 | 18:30 | 850.00
LGA | TLV | Delta | 1 (AMS) | 10:30 | 20:00 | 950.00
LGA | TLV | United | 1 (FRA) | 12:00 | 21:30 | 1050.00
LGA | TLV | American | 2 (PHL, CDG) | 14:00 | 23:59 | 1200.00
LGA | TLV | Lufthansa | 1 (MUC) | 15:30 | 00:30 | 1100.00
LGA | TLV | Turkish | 1 (IST) | 17:00 | 02:00 | 1000.00
LGA | TLV | Austrian | 1 (VIE) | 18:30 | 03:30 | 1150.00
LGA | TLV | Swiss | 1 (ZRH) | 20:00 | 05:00 | 1250.00
TLV | LGA | EL AL | 0 | 09:00 | 13:30 | 900.00
TLV | LGA | Delta | 1 (CDG) | 11:00 | 16:00 | 1050.00
TLV | LGA | United | 1 (EWR) | 12:30 | 17:30 | 1100.00
TLV | LGA | American | 2 (LHR, PHL) | 14:30 | 20:30 | 1300.00
TLV | LGA | Lufthansa | 1 (FRA) | 16:00 | 22:00 | 1200.00
TLV | LGA | Turkish | 1 (IST) | 17:30 | 23:30 | 1150.00
TLV | LGA | Austrian | 1 (VIE) | 19:00 | 01:00 | 1250.00
TLV | LGA | Swiss | 1 (ZRH) | 20:30 | 02:30 | 1350.00


Here are the 16 flight plans:

LGA | LIM | AA | 0 | 08:00 | 18:30 | 850.00
LGA | LIM | UA | 1 (MIA) | 10:30 | 21:15 | 920.00
LGA | LIM | DL | 0 | 12:00 | 22:45 | 1050.00
LGA | LIM | AV | 1 (BOG) | 14:30 | 02:15 | 980.00
LGA | LIM | LA | 0 | 16:00 | 02:45 | 1100.00
LGA | LIM | WN | 1 (FLL) | 18:30 | 04:15 | 1000.00
LGA | LIM | B6 | 0 | 20:00 | 06:45 | 1150.00
LGA | LIM | NK | 1 (PTY) | 22:00 | 08:15 | 950.00

LIM | LGA | AA | 0 | 09:00 | 19:30 | 850.00
LIM | LGA | UA | 1 (SCL) | 11:30 | 22:15 | 920.00
LIM | LGA | DL | 0 | 13:00 | 23:45 | 1050.00
LIM | LGA | AV | 1 (UIO) | 15:30 | 03:15 | 980.00
LIM | LGA | LA | 0 | 17:00 | 04:45 | 1100.00
LIM | LGA | WN | 1 (MCO) | 19:30 | 06:15 | 1000.00
LIM | LGA | B6 | 0 | 21:00 | 08:45 | 1150.00
LIM | LGA | NK | 1 (LAX) | 23:00 | 10:15 | 950.00


Here are the 16 flight plans:

LGA | LHR | American Airlines | Non-stop | 08:00 | 18:30 | 650.00
LGA | LHR | British Airways | Non-stop | 10:00 | 20:30 | 720.00
LGA | LHR | Delta Air Lines | 1 stop (AMS) | 12:00 | 22:30 | 580.00
LGA | LHR | United Airlines | Non-stop | 14:00 | 00:30 | 700.00
LGA | LHR | Lufthansa | 1 stop (FRA) | 16:00 | 02:30 | 620.00
LGA | LHR | Air France | 1 stop (CDG) | 18:00 | 04:30 | 600.00
LGA | LHR | KLM Royal Dutch | 1 stop (AMS) | 20:00 | 06:30 | 590.00
LGA | LHR | Iberia | 1 stop (MAD) | 22:00 | 08:30 | 610.00

LHR | LGA | British Airways | Non-stop | 09:00 | 11:30 | 750.00
LHR | LGA | American Airlines | Non-stop | 11:00 | 13:30 | 680.00
LHR | LGA | United Airlines | 1 stop (EWR) | 13:00 | 16:30 | 630.00
LHR | LGA | Delta Air Lines | 1 stop (ATL) | 15:00 | 18:30 | 660.00
LHR | LGA | Lufthansa | 1 stop (FRA) | 17:00 | 20:30 | 690.00
LHR | LGA | Air Canada | 1 stop (YYZ) | 19:00 | 22:30 | 620.00
LHR | LGA | Swiss International | 1 stop (ZRH) | 21:00 | 00:30 | 710.00
LHR | LGA | Austrian Airlines | 1 stop (VIE) | 23:00 | 02:30 | 640.00


Here are the 16 flight plans:

LGA | MAD | American Airlines | Non-stop | 08:00 | 18:30 | 850.00
LGA | MAD | Iberia | 1 stop (BCN) | 09:30 | 20:15 | 720.00
LGA | MAD | Delta Air Lines | Non-stop | 10:45 | 21:00 | 950.00
LGA | MAD | United Airlines | 1 stop (EWR) | 12:00 | 22:30 | 800.00
LGA | MAD | LATAM | 2 stops (LIM, BOG) | 13:15 | 01:45 | 1100.00
LGA | MAD | Air Europa | Non-stop | 14:30 | 23:15 | 1000.00
LGA | MAD | TAP Air Portugal | 1 stop (LIS) | 15:45 | 00:30 | 900.00
LGA | MAD | Swiss International | 2 stops (ZRH, GVA) | 17:00 | 02:45 | 1300.00

MAD | LGA | Iberia | Non-stop | 08:00 | 10:30 | 700.00
MAD | LGA | American Airlines | 1 stop (PHL) | 09:30 | 12:15 | 850.00
MAD | LGA | Delta Air Lines | Non-stop | 10:45 | 13:15 | 950.00
MAD | LGA | United Airlines | 1 stop (FRA) | 12:00 | 15:30 | 800.00
MAD | LGA | LATAM | 2 stops (BOG, LIM) | 13:15 | 19:45 | 1200.00
MAD | LGA | Air Europa | Non-stop | 14:30 | 17:15 | 1000.00
MAD | LGA | TAP Air Portugal | 1 stop (OPO) | 15:45 | 20:30 | 900.00
MAD | LGA | Swiss International | 2 stops (GVA, ZRH) | 17:00 | 23:45 | 1400.00


Here are the 16 flight plans:

LGA | MEX | American Airlines | Non-stop | 08:00 | 11:30 | 450.00
LGA | MEX | Delta Air Lines | 1 stop (DFW) | 09:30 | 13:45 | 520.00
LGA | MEX | United Airlines | Non-stop | 11:00 | 14:30 | 480.00
LGA | MEX | Aeromexico | Non-stop | 12:30 | 16:00 | 510.00
LGA | MEX | JetBlue Airways | 1 stop (FLL) | 14:00 | 18:15 | 550.00
LGA | MEX | Spirit Airlines | 1 stop (TPA) | 15:30 | 20:00 | 420.00
LGA | MEX | Frontier Airlines | 1 stop (DEN) | 17:00 | 21:30 | 400.00
LGA | MEX | Alaska Airlines | Non-stop | 18:30 | 22:00 | 500.00
MEX | LGA | American Airlines | Non-stop | 08:00 | 13:30 | 460.00
MEX | LGA | Delta Air Lines | 1 stop (ATL) | 09:30 | 15:45 | 540.00
MEX | LGA | United Airlines | Non-stop | 11:00 | 16:30 | 490.00
MEX | LGA | Aeromexico | Non-stop | 12:30 | 18:00 | 530.00
MEX | LGA | JetBlue Airways | 1 stop (BOS) | 14:00 | 19:15 | 570.00
MEX | LGA | Spirit Airlines | 1 stop (ORD) | 15:30 | 20:45 | 440.00
MEX | LGA | Frontier Airlines | 1 stop (IAH) | 17:00 | 22:20 | 410.00
MEX | LGA | Alaska Airlines | Non-stop | 18:30 | 23:00 | 510.00


Here are the 16 flight plans:

LGA | MBJ | American Airlines | Non-stop | 08:00 | 11:30 | 450.00
LGA | MBJ | Delta Air Lines | 1 stop (ATL) | 09:15 | 13:45 | 520.00
LGA | MBJ | JetBlue Airways | Non-stop | 10:30 | 14:00 | 380.00
LGA | MBJ | United Airlines | 1 stop (EWR) | 11:45 | 16:15 | 550.00
LGA | MBJ | Spirit Airlines | 1 stop (FLL) | 12:50 | 17:20 | 420.00
LGA | MBJ | Frontier Airlines | 1 stop (MCO) | 14:00 | 18:30 | 480.00
LGA | MBJ | Caribbean Airlines | 1 stop (PBM) | 15:15 | 19:45 | 500.00
LGA | MBJ | Air Jamaica | Non-stop | 16:30 | 20:00 | 400.00

MBJ | LGA | American Airlines | Non-stop | 08:30 | 12:00 | 480.00
MBJ | LGA | Delta Air Lines | 1 stop (ATL) | 09:45 | 14:15 | 580.00
MBJ | LGA | JetBlue Airways | Non-stop | 11:00 | 14:30 | 420.00
MBJ | LGA | United Airlines | 1 stop (EWR) | 12:15 | 16:45 | 620.00
MBJ | LGA | Spirit Airlines | 1 stop (FLL) | 13:30 | 18:00 | 460.00
MBJ | LGA | Frontier Airlines | 1 stop (MCO) | 14:45 | 19:15 | 510.00
MBJ | LGA | Caribbean Airlines | 1 stop (PBM) | 16:00 | 20:30 | 530.00
MBJ | LGA | Air Jamaica | Non-stop | 17:15 | 21:45 | 440.00


Here are the 16 flight plans:

LGA | YUL | Delta | 0 | 06:00 | 08:15 | 220.00
LGA | YUL | American | 1 (BOS) | 08:30 | 11:45 | 280.00
LGA | YUL | United | 0 | 10:00 | 12:20 | 250.00
LGA | YUL | Air Canada | 0 | 12:30 | 14:50 | 200.00
LGA | YUL | JetBlue | 1 (PWM) | 14:00 | 17:20 | 240.00
LGA | YUL | WestJet | 0 | 16:00 | 18:25 | 230.00
LGA | YUL | Porter | 1 (BUF) | 18:30 | 21:50 | 270.00
LGA | YUL | Spirit | 0 | 20:00 | 22:20 | 210.00
YUL | LGA | Delta | 0 | 06:30 | 08:45 | 220.00
YUL | LGA | American | 1 (PHL) | 09:00 | 12:20 | 290.00
YUL | LGA | United | 0 | 11:00 | 13:20 | 260.00
YUL | LGA | Air Canada | 0 | 13:30 | 15:50 | 210.00
YUL | LGA | JetBlue | 1 (BOS) | 15:00 | 18:20 | 250.00
YUL | LGA | WestJet | 0 | 17:00 | 19:25 | 240.00
YUL | LGA | Porter | 1 (SYR) | 19:30 | 22:50 | 280.00
YUL | LGA | Spirit | 0 | 21:00 | 23:20 | 230.00


Here are the 16 flight plans:

LGA | BOM | American Airlines | 1 (DEL) | 08:30 | 20:45 | 850.00
LGA | BOM | Emirates | 2 (DXB, HYD) | 10:15 | 23:10 | 1050.00
LGA | BOM | Lufthansa | 1 (FRA) | 12:00 | 01:20 | 900.00
LGA | BOM | Turkish Airlines | 1 (IST) | 14:45 | 03:15 | 950.00
LGA | BOM | British Airways | 1 (LHR) | 16:30 | 04:50 | 1000.00
LGA | BOM | Qatar Airways | 1 (DOH) | 18:15 | 06:30 | 1100.00
LGA | BOM | Singapore Airlines | 2 (SIN, MAA) | 20:00 | 08:45 | 1200.00
LGA | BOM | Cathay Pacific | 1 (HKG) | 22:45 | 10:10 | 1150.00
BOM | LGA | Air India | 1 (DEL) | 02:15 | 08:45 | 800.00
BOM | LGA | United Airlines | 2 (DXB, EWR) | 04:30 | 12:00 | 1000.00
BOM | LGA | Delta Air Lines | 1 (AMS) | 06:45 | 14:15 | 900.00
BOM | LGA | Etihad Airways | 1 (AUH) | 09:00 | 16:30 | 950.00
BOM | LGA | KLM Royal Dutch | 1 (AMS) | 11:15 | 18:45 | 1050.00
BOM | LGA | China Eastern | 2 (PVG, LAX) | 13:30 | 21:00 | 1150.00
BOM | LGA | Japan Airlines | 1 (NRT) | 15:45 | 23:15 | 1100.00
BOM | LGA | Virgin Atlantic | 1 (LHR) | 18:00 | 02:30 | 1200.00


Here are the 16 flight plans:

LGA | OSL | Norwegian | 1 (KEF) | 08:00 | 18:30 | 450.00
LGA | OSL | SAS | 1 (CPH) | 10:30 | 20:50 | 520.00
LGA | OSL | Lufthansa | 2 (FRA, MUC) | 12:00 | 22:20 | 650.00
LGA | OSL | American | 1 (PHL) | 14:00 | 00:10 | 580.00
LGA | OSL | Delta | 1 (AMS) | 16:00 | 02:20 | 610.00
LGA | OSL | United | 1 (EWR) | 18:00 | 04:20 | 550.00
LGA | OSL | British Airways | 1 (LHR) | 20:00 | 06:20 | 630.00
LGA | OSL | Icelandair | 1 (KEF) | 22:00 | 08:20 | 480.00

OSL | LGA | Norwegian | 1 (KEF) | 08:30 | 18:50 | 420.00
OSL | LGA | SAS | 1 (CPH) | 10:50 | 21:10 | 490.00
OSL | LGA | Lufthansa | 2 (MUC, FRA) | 12:50 | 23:10 | 620.00
OSL | LGA | American | 1 (PHL) | 14:50 | 01:20 | 560.00
OSL | LGA | Delta | 1 (AMS) | 16:50 | 03:20 | 590.00
OSL | LGA | United | 1 (EWR) | 18:50 | 05:20 | 530.00
OSL | LGA | British Airways | 1 (LHR) | 20:50 | 07:20 | 600.00
OSL | LGA | Icelandair | 1 (KEF) | 22:50 | 09:20 | 440.00


Here are the 16 flight plans:

LGA | PTY | American Airlines | Non-stop | 08:00 | 13:30 | 450.00
