

Here are the 16 flight plans:

LAS | MSY | AA | 0 | 08:00 | 13:15 | 275.00
SJD | LAS | NK | 0 | 15:45 | 18:00 | 410.00
SJD | LAS | B6 | 1 (JFK) | 16:15 | 20:30 | 480.00


LAS | CAI | Emirates | 1 (DXB) | 14:30 | 06:05 | 850.00
LAS | CAI | Lufthansa | 2 (FRA, IST) | 16:15 | 09:40 | 1050.00
LAS | CAI | Turkish Airlines | 1 (IST) | 18:45 | 11:10 | 900.00
LAS | CAI | EgyptAir | 0 | 20:00 | 05:30 | 700.00
LAS | CAI | British Airways | 1 (LHR) | 22:10 | 06:50 | 950.00
LAS | CAI | Qatar Airways | 1 (DOH) | 08:00 | 20:30 | 1000.00
LAS | CAI | KLM | 2 (AMS, IST) | 10:30 | 23:50 | 1100.00
LAS | CAI | American Airlines | 1 (PHL) | 12:45 | 02:15 | 925.00
CAI | LAS | Emirates | 1 (DXB) | 01:15 | 09:05 | 875.00
CAI | LAS | Lufthansa | 2 (IST, FRA) | 03:45 | 12:20 | 1075.00
CAI | LAS | Turkish Airlines | 1 (IST) | 06:15 | 14:40 | 925.00
CAI | LAS | EgyptAir | 0 | 08:00 | 15:30 | 725.00
CAI | LAS | British Airways | 1 (LHR) | 10:10 | 17:50 | 975.00
CAI | LAS | Qatar Airways | 1 (DOH) | 12:00 | 20:30 | 1025.00
CAI | LAS | KLM | 2 (IST, AMS) | 14:30 | 23:50 | 1125.00
CAI | LAS | American Airlines | 1 (PHL) | 16:45 | 01:15 | 950.00


LAS | CUN | AA | 0 | 08:00 | 12:45 | 450.00
LAS | CUN | DL | 1 (DFW) | 09:30 | 16:15 | 520.00
LAS | CUN | UA | 0 | 11:15 | 15:50 | 480.00
LAS | CUN | WN | 1 (PHX) | 12:00 | 18:20 | 550.00
LAS | CUN | AS | 0 | 13:45 | 18:10 | 500.00
LAS | CUN | B6 | 1 (LAX) | 14:30 | 20:00 | 580.00
LAS | CUN | F9 | 0 | 15:15 | 19:40 | 520.00
LAS | CUN | NK | 1 (IAH) | 16:00 | 21:30 | 600.00
CUN | LAS | AA | 0 | 08:30 | 10:15 | 420.00
CUN | LAS | DL | 1 (ATL) | 09:45 | 14:50 | 540.00
CUN | LAS | UA | 0 | 11:00 | 13:30 | 460.00
CUN | LAS | WN | 1 (DEN) | 12:15 | 16:45 | 570.00
CUN | LAS | AS | 0 | 13:30 | 15:55 | 490.00
CUN | LAS | B6 | 1 (FLL) | 14:45 | 19:10 | 610.00
CUN | LAS | F9 | 0 | 15:45 | 18:10 | 530.00
CUN | LAS | NK | 1 (ORD) | 16:30 | 21:00 | 650.00


LAS | CPT | AA | 0 | 08:00 | 20:00 | 850.00
LAS | CPT | UA | 1 (JFK) | 10:00 | 22:30 | 950.00
LAS | CPT | DL | 2 (ATL, LHR) | 12:00 | 01:00 | 1100.00
LAS | CPT | WN | 0 | 14:00 | 02:00 | 900.00
LAS | CPT | AS | 1 (SFO) | 16:00 | 04:30 | 1000.00
LAS | CPT | B6 | 2 (FLL, MAD) | 18:00 | 06:00 | 1200.00
LAS | CPT | NK | 1 (EWR) | 20:00 | 08:30 | 1050.00
LAS | CPT | F9 | 0 | 22:00 | 10:00 | 980.00
CPT | LAS | AA | 0 | 08:00 | 18:00 | 850.00
CPT | LAS | UA | 1 (LHR) | 10:00 | 20:30 | 950.00
CPT | LAS | DL | 2 (JNB, ATL) | 12:00 | 23:00 | 1100.00
CPT | LAS | WN | 0 | 14:00 | 02:00 | 900.00
CPT | LAS | AS | 1 (DXB) | 16:00 | 04:30 | 1000.00
CPT | LAS | B6 | 2 (GRU, MIA) | 18:00 | 06:00 | 1200.00
CPT | LAS | NK | 1 (CDG) | 20:00 | 08:30 | 1050.00
CPT | LAS | F9 | 0 | 22:00 | 10:00 | 980.00


Here are the 16 flight plans:

LAS | CPH | Norwegian | 1 (LHR) | 14:30 | 10:15 | 450.00
LAS | CPH | American | 2 (ORD, FRA) | 08:00 | 18:45 | 620.00
LAS | CPH | Delta | 0 | 16:45 | 12:15 | 580.00
LAS | CPH | Lufthansa | 1 (FRA) | 11:15 | 07:45 | 510.00
LAS | CPH | United | 2 (SFO, LHR) | 09:30 | 20:00 | 650.00
LAS | CPH | Air France | 1 (CDG) | 13:00 | 09:30 | 540.00
LAS | CPH | KLM | 1 (AMS) | 10:45 | 08:15 | 520.00
LAS | CPH | British Airways | 1 (LHR) | 15:15 | 11:45 | 600.00
CPH | LAS | Norwegian | 1 (LHR) | 08:15 | 14:30 | 480.00
CPH | LAS | American | 2 (FRA, ORD) | 09:45 | 18:15 | 680.00
CPH | LAS | Delta | 0 | 11:45 | 19:15 | 610.00
CPH | LAS | Lufthansa | 1 (FRA) | 14:00 | 22:30 | 550.00
CPH | LAS | United | 2 (LHR, SFO) | 10:15 | 20:45 | 720.00
CPH | LAS | Air France | 1 (CDG) | 12:30 | 21:00 | 570.00
CPH | LAS | KLM | 1 (AMS) | 09:00 | 17:30 | 500.00
CPH | LAS | British Airways | 1 (LHR) | 13:45 | 22:15 | 630.00


Here are the 16 flight plans:

LAS | DXB | Emirates | 1 (LHR) | 14:30 | 12:15 | 850.00
LAS | DXB | Qatar Airways | 0 | 16:45 | 14:20 | 950.00
LAS | DXB | American Airlines | 1 (PHL) | 18:00 | 16:00 | 1050.00
LAS | DXB | Lufthansa | 1 (FRA) | 20:15 | 18:45 | 1100.00
LAS | DXB | Delta Air Lines | 0 | 21:30 | 19:15 | 1000.00
LAS | DXB | Turkish Airlines | 1 (IST) | 22:45 | 20:30 | 1200.00
LAS | DXB | United Airlines | 1 (EWR) | 23:59 | 21:45 | 1150.00
LAS | DXB | British Airways | 1 (LHR) | 01:15 | 23:00 | 1250.00

DXB | LAS | Emirates | 1 (LHR) | 02:00 | 23:45 | 900.00
DXB | LAS | Qatar Airways | 0 | 04:15 | 02:00 | 1000.00
DXB | LAS | American Airlines | 1 (PHL) | 06:30 | 04:15 | 1100.00
DXB | LAS | Lufthansa | 1 (FRA) | 08:45 | 06:30 | 1050.00
DXB | LAS | Delta Air Lines | 0 | 10:00 | 07:45 | 950.00
DXB | LAS | Turkish Airlines | 1 (IST) | 11:15 | 09:00 | 1200.00
DXB | LAS | United Airlines | 1 (EWR) | 12:30 | 10:15 | 1150.00
DXB | LAS | British Airways | 1 (LHR) | 14:45 | 12:30 | 1250.00


LAS | DUB | American Airlines | Non-stop | 08:00 | 18:30 | 850.00
LAS | DUB | United Airlines | 1 stop (EWR) | 10:30 | 21:15 | 720.00
LAS | DUB | Delta Air Lines | Non-stop | 12:00 | 22:45 | 950.00
LAS | DUB | Lufthansa | 1 stop (FRA) | 14:30 | 02:15 | 890.00
LAS | DUB | British Airways | 1 stop (LHR) | 16:00 | 04:30 | 820.00
LAS | DUB | Air France | 1 stop (CDG) | 18:30 | 06:15 | 870.00
LAS | DUB | KLM Royal Dutch | 1 stop (AMS) | 20:00 | 08:45 | 840.00
LAS | DUB | Iberia | 1 stop (MAD) | 22:30 | 10:15 | 910.00
DUB | LAS | Aer Lingus | Non-stop | 09:00 | 11:30 | 780.00
DUB | LAS | American Airlines | 1 stop (PHL) | 11:30 | 15:15 | 750.00
DUB | LAS | United Airlines | Non-stop | 13:00 | 15:45 | 830.00
DUB | LAS | Delta Air Lines | 1 stop (ATL) | 15:30 | 19:15 | 800.00
DUB | LAS | Lufthansa | 1 stop (FRA) | 17:00 | 21:45 | 860.00
DUB | LAS | British Airways | 1 stop (LHR) | 19:30 | 00:15 | 790.00
DUB | LAS | Air France | 1 stop (CDG) | 21:00 | 02:45 | 850.00
DUB | LAS | KLM Royal Dutch | 1 stop (AMS) | 23:00 | 04:30 | 820.00
DUB | LAS | Iberia | 1 stop (MAD) | 01:00 | 06:45 | 890.00


Here are the 16 flight plans:

LAS | EDI | American Airlines | Non-stop | 08:00 | 18:30 | 850.00
LAS | EDI | British Airways | 1 stop (LHR) | 09:30 | 20:15 | 950.00
LAS | EDI | Delta Air Lines | Non-stop | 11:00 | 21:30 | 900.00
LAS | EDI | United Airlines | 1 stop (EWR) | 12:30 | 23:15 | 1050.00
LAS | EDI | Lufthansa | 2 stops (FRA, MAN) | 14:00 | 02:30 | 1200.00
LAS | EDI | Air France | 1 stop (CDG) | 15:30 | 03:15 | 1100.00
LAS | EDI | KLM Royal Dutch | 1 stop (AMS) | 17:00 | 04:30 | 1000.00
LAS | EDI | Iberia | 2 stops (MAD, LHR) | 19:00 | 06:30 | 1300.00
EDI | LAS | American Airlines | Non-stop | 09:00 | 11:30 | 800.00
EDI | LAS | British Airways | 1 stop (LHR) | 10:30 | 13:15 | 900.00
EDI | LAS | Delta Air Lines | Non-stop | 12:00 | 14:30 | 850.00
EDI | LAS | United Airlines | 1 stop (EWR) | 13:30 | 16:15 | 1000.00
EDI | LAS | Lufthansa | 2 stops (FRA, MAN) | 15:00 | 19:30 | 1150.00
EDI | LAS | Air France | 1 stop (CDG) | 16:30 | 20:15 | 1050.00
EDI | LAS | KLM Royal Dutch | 1 stop (AMS) | 18:00 | 21:30 | 950.00
EDI | LAS | Iberia | 2 stops (MAD, LHR) | 20:00 | 23:30 | 1250.00


Here are the 16 flight plans:

LAS | HAN | AA | 0 | 08:00 | 20:30 | 850.00
LAS | HAN | UA | 1 (SFO) | 09:30 | 22:15 | 950.00
LAS | HAN | DL | 0 | 10:00 | 22:00 | 780.00
LAS | HAN | WN | 1 (OAK) | 11:15 | 23:45 | 920.00
LAS | HAN | AS | 0 | 12:30 | 00:15 | 900.00
LAS | HAN | F9 | 1 (DEN) | 13:45 | 01:30 | 820.00
LAS | HAN | NK | 0 | 15:00 | 02:45 | 960.00
LAS | HAN | B6 | 1 (LAX) | 16:15 | 04:00 | 1000.00

HAN | LAS | AA | 0 | 09:00 | 17:30 | 880.00
HAN | LAS | UA | 1 (SFO) | 10:30 | 19:15 | 980.00
HAN | LAS | DL | 0 | 11:00 | 19:00 | 800.00
HAN | LAS | WN | 1 (OAK) | 12:15 | 20:45 | 940.00
HAN | LAS | AS | 0 | 13:30 | 21:15 | 920.00
HAN | LAS | F9 | 1 (DEN) | 14:45 | 22:30 | 840.00
HAN | LAS | NK | 0 | 16:00 | 23:45 | 1000.00
HAN | LAS | B6 | 1 (LAX) | 17:15 | 01:00 | 1040.00


LAS | HKG | Cathay Pacific | 1 (NRT) | 10:30 | 19:35 | 850.00
LAS | HKG | American Airlines | 2 (DFW, NRT) | 08:15 | 20:50 | 1050.00
LAS | HKG | Delta Air Lines | 1 (SEA) | 12:45 | 22:10 | 900.00
LAS | HKG | United Airlines | 2 (SFO, ICN) | 14:00 | 23:25 | 1200.00
LAS | HKG | Japan Airlines | 1 (NRT) | 16:30 | 01:05 | 1000.00
LAS | HKG | Korean Air | 2 (LAX, ICN) | 18:45 | 02:20 | 1150.00
LAS | HKG | China Airlines | 1 (TPE) | 20:10 | 03:40 | 950.00
LAS | HKG | Eva Air | 2 (SFO, TPE) | 22:35 | 05:00 | 1100.00
HKG | LAS | Cathay Pacific | 1 (NRT) | 09:00 | 06:05 | 800.00
HKG | LAS | American Airlines | 2 (NRT, DFW) | 11:30 | 08:35 | 1000.00
HKG | LAS | Delta Air Lines | 1 (SEA) | 14:15 | 11:20 | 850.00
HKG | LAS | United Airlines | 2 (ICN, SFO) | 16:45 | 13:10 | 1150.00
HKG | LAS | Japan Airlines | 1 (NRT) | 19:00 | 15:15 | 950.00
HKG | LAS | Korean Air | 2 (ICN, LAX) | 21:20 | 17:35 | 1050.00
HKG | LAS | China Airlines | 1 (TPE) | 23:40 | 19:55 | 900.00
HKG | LAS | Eva Air | 2 (TPE, SFO) | 01:55 | 21:10 | 1100.00


LAS | IST | Turkish Airlines | Non-stop | 14:30 | 06:05 | 850.00
LAS | IST | Lufthansa | 1 stop (FRA) | 16:45 | 10:10 | 1050.00
LAS | IST | American Airlines | 2 stops (PHL, AMS) | 08:15 | 18:30 | 1200.00
LAS | IST | Emirates | 1 stop (DXB) | 20:00 | 14:20 | 1300.00
LAS | IST | British Airways | Non-stop | 10:00 | 05:35 | 900.00
LAS | IST | KLM | 1 stop (AMS) | 12:30 | 08:05 | 1100.00
LAS | IST | Qatar Airways | 1 stop (DOH) | 18:00 | 12:40 | 1250.00
LAS | IST | United Airlines | 2 stops (SFO, FRA) | 06:00 | 16:10 | 1350.00
IST | LAS | Turkish Airlines | Non-stop | 11:30 | 14:05 | 950.00
IST | LAS | Lufthansa | 1 stop (FRA) | 08:00 | 12:20 | 1150.00
IST | LAS | American Airlines | 2 stops (PHL, ORD) | 14:15 | 20:30 | 1300.00
IST | LAS | Emirates | 1 stop (DXB) | 16:30 | 22:50 | 1400.00
IST | LAS | British Airways | Non-stop | 09:00 | 13:35 | 1000.00
IST | LAS | KLM | 1 stop (AMS) | 12:00 | 18:05 | 1200.00
IST | LAS | Qatar Airways | 1 stop (DOH) | 10:30 | 16:10 | 1250.00
IST | LAS | United Airlines | 2 stops (FRA, SFO) | 07:00 | 15:10 | 1350.00
IST | LAS | Delta Air Lines | 1 stop (CDG) | 13:30 | 19:50 | 1100.00


Here are the 16 flight plans:

LAS | TLV | El Al | 1 (JFK) | 08:00 | 19:30 | 850.00
LAS | TLV | American | 2 (ORD, LHR) | 10:00 | 22:15 | 1200.00
LAS | TLV | Delta | 1 (CDG) | 12:00 | 23:50 | 950.00
LAS | TLV | United | 0 | 14:00 | 23:00 | 1000.00
LAS | TLV | Lufthansa | 2 (FRA, IST) | 16:00 | 01:30 | 1300.00
LAS | TLV | Turkish | 1 (IST) | 18:00 | 02:20 | 1100.00
LAS | TLV | Air Canada | 2 (YYZ, FRA) | 20:00 | 04:00 | 1400.00
LAS | TLV | Swiss | 1 (ZRH) | 22:00 | 05:30 | 1250.00

TLV | LAS | El Al | 1 (JFK) | 08:00 | 15:30 | 900.00
TLV | LAS | American | 2 (LHR, ORD) | 10:00 | 18:15 | 1300.00
TLV | LAS | Delta | 1 (CDG) | 12:00 | 20:50 | 1050.00
TLV | LAS | United | 0 | 14:00 | 20:00 | 950.00
TLV | LAS | Lufthansa | 2 (IST, FRA) | 16:00 | 22:30 | 1200.00
TLV | LAS | Turkish | 1 (IST) | 18:00 | 23:20 | 1000.00
TLV | LAS | Air Canada | 2 (FRA, YYZ) | 20:00 | 01:00 | 1350.00
TLV | LAS | Swiss | 1 (ZRH) | 22:00 | 02:30 | 1150.00


Here are the 16 flight plans:

LAS | LIM | LATAM | Non-stop | 08:00 | 18:30 | 850.00
LAS | LIM | American | 1 stop (MIA) | 09:30 | 20:15 | 950.00
LAS | LIM | Delta | Non-stop | 10:45 | 21:00 | 1050.00
LAS | LIM | Avianca | 1 stop (BOG) | 11:15 | 21:45 | 1200.00
LAS | LIM | Copa | 1 stop (PTY) | 12:00 | 22:30 | 1100.00
LAS | LIM | LATAM | 1 stop (SCL) | 13:30 | 23:59 | 1250.00
LAS | LIM | United | Non-stop | 14:15 | 00:30 | 1300.00
LAS | LIM | Spirit | 1 stop (FLL) | 15:00 | 01:15 | 1000.00

LIM | LAS | LATAM | Non-stop | 08:00 | 14:30 | 900.00
LIM | LAS | American | 1 stop (DFW) | 09:15 | 16:00 | 1050.00
LIM | LAS | Delta | Non-stop | 10:30 | 17:00 | 1150.00
LIM | LAS | Avianca | 1 stop (BOG) | 11:45 | 18:15 | 1250.00
LIM | LAS | Copa | 1 stop (PTY) | 12:15 | 18:45 | 1200.00
LIM | LAS | LATAM | 1 stop (SCL) | 13:30 | 20:00 | 1300.00
LIM | LAS | United | Non-stop | 14:15 | 20:45 | 1350.00
LIM | LAS | Spirit | 1 stop (FLL) | 15:00 | 21:30 | 1100.00


Here are the 16 flight plans:

LAS | LHR | American Airlines | Non-stop | 08:00 | 15:30 | 850.00
LAS | LHR | British Airways | Non-stop | 10:00 | 17:30 | 950.00
LAS | LHR | Delta Air Lines | 1 stop (JFK) | 09:00 | 18:30 | 700.00
LAS | LHR | United Airlines | 1 stop (SFO) | 11:00 | 20:30 | 750.00
LAS | LHR | Virgin Atlantic | Non-stop | 12:00 | 21:30 | 1000.00
LAS | LHR | Lufthansa | 1 stop (FRA) | 13:00 | 22:30 | 800.00
LAS | LHR | Air France | 1 stop (CDG) | 14:00 | 23:30 | 850.00
LAS | LHR | KLM Royal Dutch | 1 stop (AMS) | 15:00 | 00:30 | 900.00
LHR | LAS | American Airlines | Non-stop | 09:00 | 11:30 | 900.00
LHR | LAS | British Airways | Non-stop | 11:00 | 13:30 | 1000.00
LHR | LAS | Delta Air Lines | 1 stop (JFK) | 12:00 | 15:30 | 750.00
LHR | LAS | United Airlines | 1 stop (SFO) | 13:00 | 16:30 | 800.00
LHR | LAS | Virgin Atlantic | Non-stop | 14:00 | 17:30 | 1100.00
LHR | LAS | Lufthansa | 1 stop (FRA) | 15:00 | 18:30 | 900.00
LHR | LAS | Air France | 1 stop (CDG) | 16:00 | 19:30 | 950.00
LHR | LAS | KLM Royal Dutch | 1 stop (AMS) | 17:00 | 20:30 | 1000.00


LAS | MAD | Iberia | Non-stop | 08:00 | 18:30 | 850.00
LAS | MAD | American Airlines | 1 stop (PHL) | 10:15 | 21:45 | 940.00
LAS | MAD | Delta | Non-stop | 12:30 | 23:00 | 1,050.00
LAS | MAD | United | 1 stop (EWR) | 14:45 | 02:15 | 1,020.00
LAS | MAD | Lufthansa | 2 stops (FRA, BCN) | 16:00 | 05:30 | 1,200.00
LAS | MAD | Air Europa | Non-stop | 18:15 | 02:45 | 900.00
LAS | MAD | British Airways | 1 stop (LHR) | 20:30 | 06:00 | 1,080.00
LAS | MAD | KLM | 2 stops (AMS, CDG) | 22:45 | 09:15 | 1,250.00

MAD | LAS | Iberia | Non-stop | 09:30 | 11:15 | 800.00
MAD | LAS | American Airlines | 1 stop (JFK) | 11:45 | 15:30 | 920.00
MAD | LAS | Delta | Non-stop | 14:00 | 16:45 | 980.00
MAD | LAS | United | 1 stop (SFO) | 16:30 | 20:15 | 1,000.00
MAD | LAS | Lufthansa | 2 stops (MUC, ORD) | 18:45 | 02:30 | 1,180.00
MAD | LAS | Air Europa | Non-stop | 20:15 | 22:45 | 850.00
MAD | LAS | British Airways | 1 stop (LHR) | 22:00 | 04:45 | 1,060.00
MAD | LAS | KLM | 2 stops (CDG, AMS) | 23:30 | 07:15 | 1,220.00


Here are the 16 flight plans:

LAS | MEX | Aeromexico | Non-stop | 08:00 | 11:30 | 450.00
LAS | MEX | American Airlines | 1 stop (PHX) | 09:30 | 14:15 | 520.00
LAS | MEX | Delta Air Lines | Non-stop | 10:00 | 13:30 | 480.00
LAS | MEX | Frontier Airlines | 1 stop (DEN) | 11:15 | 16:00 | 420.00
LAS | MEX | Southwest Airlines | Non-stop | 12:30 | 15:45 | 500.00
LAS | MEX | United Airlines | 1 stop (SFO) | 13:45 | 18:20 | 550.00
LAS | MEX | VivaAerobus | Non-stop | 15:00 | 18:15 | 380.00
LAS | MEX | Volaris | 1 stop (TIJ) | 16:30 | 20:50 | 400.00
MEX | LAS | Aeromexico | Non-stop | 08:30 | 09:45 | 420.00
MEX | LAS | American Airlines | 1 stop (DFW) | 09:45 | 13:30 | 500.00
MEX | LAS | Delta Air Lines | Non-stop | 11:00 | 12:15 | 450.00
MEX | LAS | Frontier Airlines | 1 stop (IAH) | 12:15 | 16:00 | 480.00
MEX | LAS | Southwest Airlines | Non-stop | 13:30 | 14:45 | 520.00
MEX | LAS | United Airlines | 1 stop (LAX) | 15:00 | 18:20 | 550.00
MEX | LAS | VivaAerobus | Non-stop | 16:15 | 17:30 | 400.00
MEX | LAS | Volaris | 1 stop (GDL) | 17:30 | 21:00 | 420.00


LAS | MBJ | American Airlines | Non-stop | 08:00 | 14:30 | 542.00
LAS | MBJ | Delta Air Lines | 1 stop (MIA) | 09:15 | 16:45 | 612.50
LAS | MBJ | United Airlines | Non-stop | 10:30 | 17:00 | 578.00
LAS | MBJ | Spirit Airlines | 1 stop (FLL) | 11:45 | 19:15 | 498.00
LAS | MBJ | JetBlue Airways | Non-stop | 13:00 | 19:30 | 548.00
LAS | MBJ | Alaska Airlines | 1 stop (SFO) | 14:15 | 21:45 | 628.50
LAS | MBJ | Frontier Airlines | 1 stop (DEN) | 15:30 | 22:15 | 518.00
LAS | MBJ | Southwest Airlines | Non-stop | 16:45 | 23:15 | 598.00
MBJ | LAS | American Airlines | Non-stop | 08:00 | 11:30 | 522.00
MBJ | LAS | Delta Air Lines | 1 stop (ATL) | 09:15 | 14:45 | 642.50
MBJ | LAS | United Airlines | Non-stop | 10:30 | 15:00 | 588.00
MBJ | LAS | Spirit Airlines | 1 stop (EWR) | 11:45 | 17:15 | 508.00
MBJ | LAS | JetBlue Airways | Non-stop | 13:00 | 17:30 | 558.00
MBJ | LAS | Alaska Airlines | 1 stop (LAX) | 14:15 | 20:45 | 648.50
MBJ | LAS | Frontier Airlines | 1 stop (ORD) | 15:30 | 21:15 | 528.00
MBJ | LAS | Southwest Airlines | Non-stop | 16:45 | 22:15 | 608.00


LAS | YUL | American Airlines | Non-stop | 08:00 | 16:30 | 450.00
LAS | YUL | Delta Air Lines | 1 stop (ORD) | 09:15 | 18:45 | 520.00
LAS | YUL | United Airlines | Non-stop | 10:30 | 19:00 | 480.00
LAS | YUL | Air Canada | 1 stop (LAX) | 11:45 | 20:15 | 500.00
LAS | YUL | WestJet | 1 stop (YYC) | 13:00 | 21:30 | 550.00
LAS | YUL | Alaska Airlines | Non-stop | 14:15 | 22:45 | 490.00
LAS | YUL | JetBlue Airways | 1 stop (JFK) | 15:30 | 00:00 | 530.00
LAS | YUL | Spirit Airlines | 1 stop (DFW) | 17:00 | 02:30 | 510.00
YUL | LAS | Air Transat | Non-stop | 08:00 | 10:30 | 420.00
YUL | LAS | Sun Country Airlines | 1 stop (MSP) | 09:15 | 12:45 | 490.00
YUL | LAS | Porter Airlines | 1 stop (YYZ) | 10:30 | 14:00 | 510.00
YUL | LAS | Flair Airlines | 1 stop (YYC) | 11:45 | 15:15 | 530.00
YUL | LAS | WestJet | Non-stop | 13:00 | 16:30 | 450.00
YUL | LAS | Air Canada | 1 stop (LAX) | 14:15 | 18:45 | 500.00
YUL | LAS | American Airlines | 1 stop (ORD) | 15:30 | 20:00 | 520.00
YUL | LAS | Delta Air Lines | Non-stop | 17:00 | 21:30 | 480.00


Here are the 16 flight plans:

LAS | BOM | AA | 1 (LHR) | 08:00 | 22:30 | 850.00
LAS | BOM | UA | 2 (SFO, HKG) | 10:30 | 01:15 | 1200.00
LAS | BOM | DL | 1 (CDG) | 12:45 | 03:50 | 900.00
LAS | BOM | QR | 1 (DOH) | 14:10 | 05:20 | 1100.00
LAS | BOM | EK | 1 (DXB) | 16:00 | 07:30 | 1000.00
LAS | BOM | LH | 2 (FRA, IST) | 18:30 | 09:45 | 1300.00
LAS | BOM | CX | 1 (HKG) | 20:50 | 11:10 | 1050.00
LAS | BOM | SQ | 1 (SIN) | 22:20 | 12:40 | 1250.00
BOM | LAS | AA | 1 (LHR) | 02:00 | 06:30 | 900.00
BOM | LAS | UA | 2 (HKG, SFO) | 04:30 | 09:15 | 1300.00
BOM | LAS | DL | 1 (CDG) | 07:00 | 11:50 | 950.00
BOM | LAS | QR | 1 (DOH) | 09:30 | 14:20 | 1100.00
BOM | LAS | EK | 1 (DXB) | 12:00 | 16:30 | 1000.00
BOM | LAS | LH | 2 (IST, FRA) | 14:30 | 19:45 | 1350.00
BOM | LAS | CX | 1 (HKG) | 17:00 | 21:10 | 1050.00
BOM | LAS | SQ | 1 (SIN) | 19:30 | 23:40 | 1250.00
BOM | LAS | TG | 1 (BKK) | 22:00 | 02:10 | 1150.00


LAS | OSL | Norwegian | 0 | 08:00 | 16:30 | 450.00
LAS | OSL | American | 1 (DFW) | 09:30 | 19:15 | 620.00
LAS | OSL | Delta | 2 (ATL, AMS) | 11:45 | 22:50 | 850.00
LAS | OSL | United | 0 | 13:15 | 21:45 | 520.00
LAS | OSL | Lufthansa | 1 (FRA) | 14:30 | 23:10 | 750.00
LAS | OSL | KLM | 2 (AMS, CPH) | 15:45 | 01:20 | 980.00
LAS | OSL | British Airways | 1 (LHR) | 17:00 | 01:30 | 680.00
LAS | OSL | SAS | 0 | 18:30 | 03:00 | 580.00
OSL | LAS | Norwegian | 0 | 08:30 | 10:30 | 420.00
OSL | LAS | American | 1 (PHL) | 10:00 | 14:50 | 650.00
OSL | LAS | Delta | 2 (CDG, ATL) | 11:15 | 18:45 | 900.00
OSL | LAS | United | 0 | 12:45 | 16:15 | 550.00
OSL | LAS | Lufthansa | 1 (FRA) | 14:00 | 20:20 | 730.00
OSL | LAS | KLM | 2 (AMS, SFO) | 15:30 | 23:55 | 1050.00
OSL | LAS | British Airways | 1 (LHR) | 16:45 | 00:50 | 700.00
OSL | LAS | SAS | 0 | 18:00 | 02:30 | 610.00


LAS | PTY | AA | 1 (MIA) | 08:00 | 14:35 | 450.00
LAS | PTY | UA | 2 (IAH, MEX) | 10:30 | 19:10 | 520.00
LAS | PTY | DL | 0 | 12:00 | 18:20 | 380.00
LAS | PTY | WN | 1 (HOU) | 14:15 | 20:50 | 400.00
LAS | PTY | AS | 2 (SEA, MEX) | 16:00 | 23:40 | 550.00
LAS | PTY | B6 | 1 (FLL) | 18:30 | 01:10 | 420.00
LAS | PTY | NK | 2 (ORD, PBI) | 20:45 | 04:25 | 480.00
LAS | PTY | F9 | 1 (DEN) | 22:15 | 06:00 | 440.00
PTY | LAS | AA | 1 (MIA) | 08:00 | 12:35 | 420.00
PTY | LAS | UA | 2 (MEX, IAH) | 10:30 | 17:10 | 500.00
PTY | LAS | DL | 0 | 12:00 | 16:20 | 350.00
PTY | LAS | WN | 1 (HOU) | 14:15 | 18:50 | 380.00
PTY | LAS | AS | 2 (MEX, SEA) | 16:00 | 22:40 | 520.00
PTY | LAS | B6 | 1 (FLL) | 18:30 | 23:10 | 400.00
PTY | LAS | NK | 2 (PBI, ORD) | 20:45 | 03:25 | 460.00
PTY | LAS | F9 | 1 (DEN) | 22:15 | 05:00 | 410.00


LAS | CDG | American Airlines | 1 (JFK) | 08:00 | 18:30 | 850.00
LAS | CDG | Delta Air Lines | 1 (ATL) | 10:30 | 21:00 | 900.00
LAS | CDG | United Airlines | 2 (SFO, EWR) | 12:00 | 23:30 | 1100.00
LAS | CDG | Lufthansa | 1 (FRA) | 14:00 | 01:30 | 1200.00
LAS | CDG | Air France | 0 | 16:00 | 09:30 | 1300.00
LAS | CDG | British Airways | 1 (LHR) | 18:00 | 11:30 | 1400.00
LAS | CDG | KLM Royal Dutch | 1 (AMS) | 20:00 | 13:30 | 1500.00
LAS | CDG | Swiss International | 1 (ZRH) | 22:00 | 15:30 | 1600.00
CDG | LAS | American Airlines | 1 (PHL) | 08:00 | 14:30 | 900.00
CDG | LAS | Delta Air Lines | 1 (MSP) | 10:00 | 16:30 | 950.00
CDG | LAS | United Airlines | 2 (EWR, IAD) | 12:00 | 19:30 | 1150.00
CDG | LAS | Lufthansa | 1 (MUC) | 14:00 | 21:30 | 1250.00
CDG | LAS | Air France | 0 | 16:00 | 10:30 | 1350.00
CDG | LAS | British Airways | 1 (LHR) | 18:00 | 12:30 | 1450.00
CDG | LAS | KLM Royal Dutch | 1 (AMS) | 20:00 | 14:30 | 1550.00
CDG | LAS | Swiss International | 1 (ZRH) | 22:00 | 16:30 | 1650.00


LAS | HKT | AA | 1 (NRT) | 08:00 | 21:45 | 850.00
LAS | HKT | UA | 2 (SFO, HKG) | 09:30 | 23:15 | 1200.00
LAS | HKT | DL | 0 | 11:00 | 19:30 | 950.00
LAS | HKT | AS | 1 (SEA) | 12:30 | 21:00 | 1000.00
