

Here are the 16 flight plans:

SFO | CLT | AA | 0 | 08:00 | 17:15 | 425.00
SFO | DRO | AS | 1 (SEA) | 16:00 | 20:45 | 410.00
SFO | DRO | F9 | 1 (LAS) | 18:00 | 22:30 | 320.00
SFO | DRO | B6 | 1 (LAX) | 20:00 | 00:15 | 390.00
SFO | DRO | NK | 1 (ORD) | 22:00 | 02:30 | 360.00
DRO | SFO | UA | 1 (IAH) | 06:00 | 09:30 | 330.00
DRO | SFO | AA | 0 | 08:30 | 11:45 | 400.00
DRO | SFO | WN | 1 (DAL) | 10:30 | 14:45 | 370.00
DRO | SFO | DL | 1 (ATL) | 12:30 | 16:45 | 440.00
DRO | SFO | AS | 1 (PDX) | 14:30 | 18:45 | 410.00
DRO | SFO | F9 | 1 (DEN) | 16:30 | 20:45 | 340.00
DRO | SFO | B6 | 1 (JFK) | 18:30 | 22:45 | 380.00
DRO | SFO | NK | 1 (MCO) | 20:30 | 00:45 | 350.00


Here are the 16 flight plans:

SFO | BOZ | UA | 0 | 08:00 | 12:30 | 450.00
SFO | BOZ | AA | 1 (DEN) | 09:15 | 15:45 | 520.00
SFO | BOZ | DL | 0 | 10:30 | 15:00 | 480.00
SFO | BOZ | WN | 1 (LAS) | 11:45 | 17:15 | 550.00
SFO | BOZ | AS | 0 | 13:00 | 17:30 | 500.00
SFO | BOZ | F9 | 1 (PHX) | 14:15 | 19:45 | 580.00
SFO | BOZ | B6 | 0 | 15:30 | 20:00 | 530.00
SFO | BOZ | NK | 1 (ORD) | 16:45 | 22:15 | 610.00

BOZ | SFO | UA | 0 | 08:00 | 11:30 | 420.00
BOZ | SFO | AA | 1 (DFW) | 09:15 | 14:45 | 490.00
BOZ | SFO | DL | 0 | 10:30 | 14:00 | 450.00
BOZ | SFO | WN | 1 (SAN) | 11:45 | 16:15 | 510.00
BOZ | SFO | AS | 0 | 13:00 | 16:30 | 470.00
BOZ | SFO | F9 | 1 (IAH) | 14:15 | 19:45 | 540.00
BOZ | SFO | B6 | 0 | 15:30 | 19:00 | 500.00
BOZ | SFO | NK | 1 (MSP) | 16:45 | 22:15 | 570.00


Here are the 16 flight plans:

SFO | JAC | UA | 0 | 08:00 | 12:15 | 450.00
SFO | JAC | AA | 1 (DEN) | 09:30 | 14:50 | 520.00
SFO | JAC | WN | 0 | 11:15 | 15:30 | 380.00
SFO | JAC | DL | 1 (SLC) | 12:45 | 17:00 | 550.00
SFO | JAC | AS | 0 | 14:00 | 18:15 | 420.00
SFO | JAC | UA | 1 (LAX) | 15:30 | 19:45 | 580.00
SFO | JAC | WN | 1 (PHX) | 17:00 | 21:15 | 500.00
SFO | JAC | AA | 0 | 18:30 | 22:45 | 480.00
JAC | SFO | UA | 0 | 08:00 | 10:15 | 420.00
JAC | SFO | DL | 1 (SLC) | 09:30 | 12:45 | 520.00
JAC | SFO | WN | 0 | 11:15 | 13:30 | 380.00
JAC | SFO | AS | 1 (SEA) | 12:45 | 15:00 | 500.00
JAC | SFO | AA | 0 | 14:00 | 16:15 | 450.00
JAC | SFO | UA | 1 (DEN) | 15:30 | 18:45 | 550.00
JAC | SFO | WN | 1 (PHX) | 17:00 | 20:15 | 480.00
JAC | SFO | DL | 0 | 18:30 | 21:45 | 500.00


Here are the 16 flight plans:

SFO | FAT | UA | 0 | 06:00 | 07:30 | 120.00
SFO | FAT | AA | 1 (LAX) | 08:00 | 10:45 | 180.00
SFO | FAT | WN | 0 | 09:30 | 11:00 | 150.00
SFO | FAT | DL | 1 (SEA) | 11:00 | 13:45 | 220.00
SFO | FAT | AS | 0 | 12:30 | 14:00 | 140.00
SFO | FAT | UA | 1 (SAN) | 14:00 | 16:30 | 200.00
SFO | FAT | WN | 0 | 15:30 | 17:00 | 130.00
SFO | FAT | AA | 1 (PHX) | 17:00 | 19:45 | 240.00

FAT | SFO | UA | 0 | 06:30 | 07:55 | 110.00
FAT | SFO | WN | 0 | 08:00 | 09:25 | 120.00
FAT | SFO | AS | 1 (PDX) | 09:30 | 12:00 | 190.00
FAT | SFO | DL | 0 | 11:00 | 12:25 | 140.00
FAT | SFO | AA | 1 (LAX) | 12:30 | 14:55 | 210.00
FAT | SFO | WN | 0 | 14:00 | 15:25 | 130.00
FAT | SFO | UA | 1 (SMF) | 15:30 | 17:55 | 200.00
FAT | SFO | AS | 0 | 17:00 | 18:25 | 160.00


Here are the 16 flight plans:

SFO | SJC | UA | 0 | 08:00 | 08:45 | 125.00
SFO | SJC | WN | 0 | 10:30 | 11:15 | 150.00
SFO | SJC | AS | 1 (LAX) | 12:00 | 14:20 | 220.00
SFO | SJC | AA | 0 | 14:45 | 15:30 | 180.00
SFO | SJC | DL | 1 (SEA) | 16:15 | 18:35 | 280.00
SFO | SJC | B6 | 0 | 18:50 | 19:35 | 200.00
SFO | SJC | F9 | 1 (DEN) | 20:20 | 22:40 | 250.00
SFO | SJC | NK | 0 | 22:00 | 22:45 | 160.00

SJC | SFO | UA | 0 | 08:15 | 08:50 | 130.00
SJC | SFO | WN | 1 (LAS) | 10:00 | 12:20 | 240.00
SJC | SFO | AS | 0 | 11:45 | 12:30 | 190.00
SJC | SFO | AA | 1 (PHX) | 13:30 | 15:50 | 300.00
SJC | SFO | DL | 0 | 15:20 | 15:55 | 210.00
SJC | SFO | B6 | 1 (LGB) | 17:00 | 19:20 | 260.00
SJC | SFO | F9 | 0 | 19:30 | 20:05 | 230.00
SJC | SFO | NK | 1 (SAN) | 21:15 | 23:35 | 290.00


Here are the 16 flight plans:

SFO | SGU | American Airlines | Non-stop | 08:00 | 11:35 | 450.00
SFO | SGU | Delta Air Lines | 1 stop (LAS) | 09:15 | 13:50 | 520.00
SFO | SGU | United Airlines | Non-stop | 10:30 | 14:05 | 480.00
SFO | SGU | Alaska Airlines | 1 stop (PHX) | 11:45 | 16:20 | 550.00
SFO | SGU | Southwest Airlines | 1 stop (DEN) | 13:00 | 17:35 | 500.00
SFO | SGU | JetBlue Airways | Non-stop | 14:15 | 17:50 | 490.00
SFO | SGU | Spirit Airlines | 1 stop (LAX) | 15:30 | 19:05 | 460.00
SFO | SGU | Frontier Airlines | 1 stop (SAN) | 16:45 | 20:20 | 510.00

SGU | SFO | American Airlines | Non-stop | 08:00 | 09:35 | 420.00
SGU | SFO | Delta Air Lines | 1 stop (SLC) | 09:15 | 12:50 | 540.00
SGU | SFO | United Airlines | Non-stop | 10:30 | 12:05 | 450.00
SGU | SFO | Alaska Airlines | 1 stop (PDX) | 11:45 | 14:20 | 530.00
SGU | SFO | Southwest Airlines | 1 stop (ABQ) | 13:00 | 15:35 | 480.00
SGU | SFO | JetBlue Airways | Non-stop | 14:15 | 15:50 | 440.00
SGU | SFO | Spirit Airlines | 1 stop (ONT) | 15:30 | 17:05 | 410.00
SGU | SFO | Frontier Airlines | 1 stop (FAT) | 16:45 | 18:20 | 500.00


Here are the 16 flight plans:

SFO | LAS | UA | 0 | 06:00 | 08:05 | 129.00
SFO | LAS | WN | 1 (PHX) | 07:30 | 10:20 | 149.00
SFO | LAS | AA | 0 | 09:00 | 11:05 | 139.00
SFO | LAS | DL | 1 (SLC) | 10:30 | 13:25 | 169.00
SFO | LAS | AS | 0 | 12:00 | 14:05 | 129.00
SFO | LAS | F9 | 1 (DEN) | 13:30 | 16:20 | 159.00
SFO | LAS | NK | 0 | 15:00 | 17:05 | 119.00
SFO | LAS | B6 | 1 (LAX) | 16:30 | 19:20 | 179.00
LAS | SFO | UA | 0 | 06:00 | 07:05 | 129.00
LAS | SFO | WN | 1 (PHX) | 07:30 | 09:20 | 149.00
LAS | SFO | AA | 0 | 09:00 | 10:05 | 139.00
LAS | SFO | DL | 1 (SLC) | 10:30 | 12:25 | 169.00
LAS | SFO | AS | 0 | 12:00 | 13:05 | 129.00
LAS | SFO | F9 | 1 (DEN) | 13:30 | 15:20 | 159.00
LAS | SFO | NK | 0 | 15:00 | 16:05 | 119.00
LAS | SFO | B6 | 1 (LAX) | 16:30 | 18:20 | 179.00


Here are the 16 flight plans:

SFO | AMS | UA | 1 (LHR) | 08:00 | 18:30 | 850.00
SFO | AMS | KL | 0 | 10:30 | 20:00 | 700.00
SFO | AMS | DL | 1 (CDG) | 12:00 | 22:30 | 950.00
SFO | AMS | AA | 1 (PHL) | 14:00 | 00:30 | 1050.00
SFO | AMS | LH | 1 (FRA) | 16:00 | 02:30 | 1200.00
SFO | AMS | UA | 0 | 18:00 | 04:00 | 900.00
SFO | AMS | KL | 1 (LHR) | 20:00 | 06:30 | 800.00
SFO | AMS | AF | 1 (CDG) | 22:00 | 08:30 | 1000.00
AMS | SFO | KL | 0 | 08:00 | 10:30 | 750.00
AMS | SFO | UA | 1 (LHR) | 10:00 | 14:30 | 900.00
AMS | SFO | DL | 1 (CDG) | 12:00 | 16:30 | 1050.00
AMS | SFO | AA | 1 (PHL) | 14:00 | 20:30 | 1100.00
AMS | SFO | LH | 1 (FRA) | 16:00 | 22:30 | 1250.00
AMS | SFO | UA | 0 | 18:00 | 02:30 | 850.00
AMS | SFO | KL | 1 (LHR) | 20:00 | 04:30 | 800.00
AMS | SFO | AF | 1 (CDG) | 22:00 | 06:30 | 950.00


Here are the 16 flight plans:

SFO | AUA | AA | 1 (MIA) | 08:00 | 18:30 | 542.00
SFO | AUA | UA | 0 | 10:00 | 19:30 | 620.00
SFO | AUA | DL | 1 (ATL) | 12:00 | 21:30 | 580.00
SFO | AUA | WN | 1 (DEN) | 14:00 | 23:00 | 510.00
SFO | AUA | B6 | 1 (FLL) | 16:00 | 00:30 | 550.00
SFO | AUA | AS | 1 (SEA) | 18:00 | 02:30 | 520.00
SFO | AUA | F9 | 1 (DFW) | 20:00 | 04:30 | 480.00
SFO | AUA | NK | 1 (ORD) | 22:00 | 06:30 | 500.00
AUA | SFO | AA | 1 (MIA) | 08:00 | 18:30 | 542.00
AUA | SFO | UA | 0 | 10:00 | 19:30 | 620.00
AUA | SFO | DL | 1 (ATL) | 12:00 | 21:30 | 580.00
AUA | SFO | WN | 1 (DEN) | 14:00 | 23:00 | 510.00
AUA | SFO | B6 | 1 (FLL) | 16:00 | 00:30 | 550.00
AUA | SFO | AS | 1 (SEA) | 18:00 | 02:30 | 520.00
AUA | SFO | F9 | 1 (DFW) | 20:00 | 04:30 | 480.00
AUA | SFO | NK | 1 (ORD) | 22:00 | 06:30 | 500.00
AUA | SFO | HA | 0 | 08:30 | 19:00 | 600.00


Here are the 16 flight plans:

SFO | ATH | UA | 1 (LHR) | 08:00 | 18:30 | 850.00
SFO | ATH | AA | 2 (JFK, CDG) | 10:00 | 22:00 | 1200.00
SFO | ATH | DL | 0 | 12:00 | 08:00 (+1) | 950.00
SFO | ATH | LH | 1 (FRA) | 14:00 | 10:30 (+1) | 1100.00
SFO | ATH | TK | 1 (IST) | 16:00 | 12:00 (+1) | 1000.00
SFO | ATH | BA | 1 (LHR) | 18:00 | 14:30 (+1) | 1050.00
SFO | ATH | AF | 1 (CDG) | 20:00 | 16:30 (+1) | 1150.00
SFO | ATH | KL | 1 (AMS) | 22:00 | 18:00 (+1) | 1250.00
ATH | SFO | UA | 1 (LHR) | 08:00 | 10:30 | 900.00
ATH | SFO | AA | 2 (CDG, JFK) | 10:00 | 16:00 | 1300.00
ATH | SFO | DL | 0 | 12:00 | 14:00 | 1000.00
ATH | SFO | LH | 1 (FRA) | 14:00 | 16:30 | 1150.00
ATH | SFO | TK | 1 (IST) | 16:00 | 18:00 | 1050.00
ATH | SFO | BA | 1 (LHR) | 18:00 | 20:30 | 1100.00
ATH | SFO | AF | 1 (CDG) | 20:00 | 22:30 | 1200.00
ATH | SFO | KL | 1 (AMS) | 22:00 | 00:30 (+1) | 1250.00
ATH | SFO | SQ | 1 (SIN) | 00:00 | 06:00 | 1400.00


Here are the 16 flight plans:

SFO | AKL | NZ | 0 | 08:30 | 06:45 | 895.00
SFO | AKL | UA | 1 (HNL) | 10:00 | 09:15 | 750.00
SFO | AKL | QF | 1 (SYD) | 12:30 | 11:45 | 825.00
SFO | AKL | AA | 2 (LAX, HNL) | 14:00 | 13:15 | 650.00
SFO | AKL | NZ | 0 | 16:00 | 14:15 | 925.00
SFO | AKL | JL | 1 (NRT) | 18:00 | 16:15 | 850.00
SFO | AKL | CX | 1 (HKG) | 20:00 | 18:15 | 775.00
SFO | AKL | SQ | 1 (SIN) | 22:00 | 20:15 | 800.00
AKL | SFO | NZ | 0 | 08:30 | 18:45 | 995.00
AKL | SFO | UA | 1 (HNL) | 10:00 | 20:15 | 850.00
AKL | SFO | QF | 1 (SYD) | 12:30 | 22:45 | 925.00
AKL | SFO | AA | 2 (HNL, LAX) | 14:00 | 00:15 | 750.00
AKL | SFO | NZ | 0 | 16:00 | 02:15 | 1050.00
AKL | SFO | JL | 1 (NRT) | 18:00 | 04:15 | 950.00
AKL | SFO | CX | 1 (HKG) | 20:00 | 06:15 | 875.00
AKL | SFO | SQ | 1 (SIN) | 22:00 | 08:15 | 900.00


Here are the 16 flight plans:

SFO | DPS | SQ | 1 (NRT) | 08:00 | 20:30 | 850.00
SFO | DPS | UA | 1 (HKG) | 10:30 | 23:00 | 900.00
SFO | DPS | CX | 1 (HKG) | 12:00 | 00:30 | 950.00
SFO | DPS | JL | 1 (NRT) | 14:00 | 02:30 | 1000.00
SFO | DPS | AA | 2 (LAX, NRT) | 16:00 | 06:30 | 1100.00
SFO | DPS | QF | 2 (LAX, SYD) | 18:00 | 08:30 | 1200.00
SFO | DPS | NH | 1 (NRT) | 20:00 | 10:30 | 1050.00
SFO | DPS | TG | 1 (BKK) | 22:00 | 12:30 | 1150.00

DPS | SFO | SQ | 1 (NRT) | 08:00 | 06:00 | 900.00
DPS | SFO | UA | 1 (HKG) | 10:00 | 08:00 | 950.00
DPS | SFO | CX | 1 (HKG) | 12:00 | 10:00 | 1000.00
DPS | SFO | JL | 1 (NRT) | 14:00 | 12:00 | 1050.00
DPS | SFO | AA | 2 (NRT, LAX) | 16:00 | 16:00 | 1150.00
DPS | SFO | QF | 2 (SYD, LAX) | 18:00 | 18:00 | 1250.00
DPS | SFO | NH | 1 (NRT) | 20:00 | 20:00 | 1100.00
DPS | SFO | TG | 1 (BKK) | 22:00 | 22:00 | 1200.00


Here are the 16 flight plans:

SFO | BCN | American Airlines | Non-stop | 08:00 | 17:30 | 450.00
SFO | BCN | Iberia | 1 stop (MAD) | 10:30 | 19:15 | 520.00
SFO | BCN | Lufthansa | 1 stop (FRA) | 12:45 | 21:00 | 550.00
SFO | BCN | United Airlines | Non-stop | 14:00 | 22:30 | 480.00
SFO | BCN | Delta Air Lines | 1 stop (AMS) | 16:15 | 23:45 | 500.00
SFO | BCN | Swiss International | 1 stop (ZRH) | 18:30 | 01:15 | 530.00
SFO | BCN | Air Europa | 1 stop (MAD) | 20:45 | 03:30 | 510.00
SFO | BCN | TAP Air Portugal | 1 stop (LIS) | 22:00 | 04:45 | 490.00

BCN | SFO | Iberia | Non-stop | 09:00 | 12:30 | 420.00
BCN | SFO | American Airlines | 1 stop (PHL) | 11:30 | 15:15 | 490.00
BCN | SFO | Lufthansa | 1 stop (FRA) | 13:45 | 17:00 | 510.00
BCN | SFO | United Airlines | Non-stop | 15:00 | 18:30 | 450.00
BCN | SFO | Delta Air Lines | 1 stop (AMS) | 17:15 | 20:45 | 480.00
BCN | SFO | Swiss International | 1 stop (ZRH) | 19:30 | 22:15 | 500.00
BCN | SFO | Air Europa | 1 stop (MAD) | 21:45 | 01:30 | 470.00
BCN | SFO | TAP Air Portugal | 1 stop (LIS) | 23:00 | 02:45 | 440.00


Here are the 16 flight plans:

SFO | PEK | UA | 1 (HKG) | 08:30 | 20:35 | 850.00
SFO | PEK | CA | 0 | 10:15 | 14:45 | 1200.00
SFO | PEK | AA | 2 (LAX, NRT) | 12:00 | 17:15 | 950.00
SFO | PEK | HU | 1 (TPE) | 14:30 | 21:50 | 700.00
SFO | PEK | MU | 0 | 16:45 | 21:10 | 1100.00
SFO | PEK | CZ | 1 (CAN) | 18:00 | 22:25 | 800.00
SFO | PEK | JL | 2 (LAX, NGO) | 19:30 | 23:45 | 1000.00
SFO | PEK | KE | 1 (ICN) | 21:00 | 01:35 | 900.00

PEK | SFO | UA | 1 (HKG) | 08:00 | 06:05 | 850.00
PEK | SFO | CA | 0 | 09:30 | 07:55 | 1200.00
PEK | SFO | AA | 2 (NRT, LAX) | 11:00 | 09:15 | 950.00
PEK | SFO | HU | 1 (TPE) | 13:30 | 11:50 | 700.00
PEK | SFO | MU | 0 | 15:45 | 13:10 | 1100.00
PEK | SFO | CZ | 1 (CAN) | 17:00 | 15:25 | 800.00
PEK | SFO | JL | 2 (NGO, LAX) | 18:30 | 16:45 | 1000.00
PEK | SFO | KE | 1 (ICN) | 20:00 | 18:35 | 900.00


Here are the 16 flight plans:

SFO | BER | Lufthansa | 1 (FRA) | 08:00 | 18:30 | 850.00
SFO | BER | United | 2 (EWR, FRA) | 10:30 | 21:15 | 950.00
SFO | BER | Swiss | 1 (ZRH) | 13:45 | 23:50 | 900.00
SFO | BER | Austrian | 1 (VIE) | 15:10 | 02:20 | 920.00
SFO | BER | Turkish | 2 (IST, MUC) | 17:25 | 05:30 | 1050.00
SFO | BER | KLM | 1 (AMS) | 19:50 | 06:40 | 980.00
SFO | BER | American | 2 (PHL, CDG) | 21:40 | 08:10 | 1020.00
SFO | BER | Delta | 1 (AMS) | 23:15 | 09:25 | 1000.00
BER | SFO | Lufthansa | 1 (FRA) | 06:00 | 14:30 | 880.00
BER | SFO | United | 2 (FRA, EWR) | 08:20 | 18:00 | 980.00
BER | SFO | Swiss | 1 (ZRH) | 10:50 | 20:20 | 910.00
BER | SFO | Austrian | 1 (VIE) | 13:15 | 22:45 | 930.00
BER | SFO | Turkish | 2 (MUC, IST) | 15:40 | 02:10 | 1040.00
BER | SFO | KLM | 1 (AMS) | 18:05 | 04:25 | 960.00
BER | SFO | American | 2 (CDG, PHL) | 20:20 | 06:50 | 1010.00
BER | SFO | Delta | 1 (AMS) | 22:45 | 08:55 | 990.00


Here are the 16 flight plans:

SFO | EZE | AA | 1 (LAX) | 08:00 | 23:45 | 945.00
SFO | EZE | LATAM | 0 | 10:00 | 21:30 | 1050.00
SFO | EZE | UA | 1 (IAH) | 12:00 | 01:15 | 975.00
SFO | EZE | DL | 1 (ATL) | 14:00 | 03:00 | 1025.00
SFO | EZE | AV | 1 (LIM) | 16:00 | 04:30 | 1100.00
SFO | EZE | CM | 1 (PTY) | 18:00 | 06:00 | 1000.00
SFO | EZE | LA | 0 | 20:00 | 09:30 | 1200.00
SFO | EZE | AR | 1 (GRU) | 22:00 | 11:45 | 1150.00
EZE | SFO | AA | 1 (DFW) | 08:00 | 19:00 | 980.00
EZE | SFO | LATAM | 0 | 10:00 | 21:30 | 1100.00
EZE | SFO | UA | 1 (IAH) | 12:00 | 00:15 | 1050.00
EZE | SFO | DL | 1 (ATL) | 14:00 | 02:00 | 1080.00
EZE | SFO | AV | 1 (LIM) | 16:00 | 03:30 | 1150.00
EZE | SFO | CM | 1 (PTY) | 18:00 | 05:00 | 1000.00
EZE | SFO | LA | 0 | 20:00 | 08:30 | 1250.00
EZE | SFO | AR | 1 (GRU) | 22:00 | 10:45 | 1200.00


Here are the 16 flight plans:

SFO | SJD | American Airlines | Non-stop | 08:00 | 11:45 | 450.00
SFO | SJD | Delta Air Lines | 1 stop (LAX) | 09:30 | 14:15 | 520.00
SFO | SJD | United Airlines | Non-stop | 11:15 | 14:50 | 480.00
SFO | SJD | Alaska Airlines | 1 stop (SAN) | 12:45 | 17:20 | 550.00
SFO | SJD | Spirit Airlines | 1 stop (LAS) | 14:00 | 18:35 | 400.00
SFO | SJD | Frontier Airlines | 1 stop (PHX) | 15:30 | 20:05 | 430.00
SFO | SJD | Southwest Airlines | Non-stop | 17:00 | 20:35 | 500.00
SFO | SJD | JetBlue Airways | 1 stop (LGB) | 19:15 | 22:50 | 460.00
SJD | SFO | American Airlines | Non-stop | 08:30 | 10:05 | 420.00
SJD | SFO | Delta Air Lines | 1 stop (LAX) | 10:00 | 13:35 | 490.00
SJD | SFO | United Airlines | Non-stop | 11:45 | 13:20 | 450.00
SJD | SFO | Alaska Airlines | 1 stop (SAN) | 13:15 | 16:50 | 510.00
SJD | SFO | Spirit Airlines | 1 stop (LAS) | 14:45 | 18:20 | 380.00
SJD | SFO | Frontier Airlines | 1 stop (PHX) | 16:15 | 19:50 | 410.00
SJD | SFO | Southwest Airlines | Non-stop | 18:00 | 19:35 | 440.00
SJD | SFO | JetBlue Airways | 1 stop (LGB) | 20:30 | 22:05 | 470.00


Here are the 16 flight plans:

SFO | CAI | EgyptAir | Non-stop | 10:30 | 06:30 | 850.00
SFO | CAI | Lufthansa | 1 (FRA) | 13:45 | 10:15 | 950.00
SFO | CAI | Emirates | 1 (DXB) | 16:00 | 13:30 | 1050.00
SFO | CAI | Turkish Airlines | 1 (IST) | 18:30 | 15:45 | 900.00
SFO | CAI | Swiss | 1 (ZRH) | 20:15 | 17:30 | 1000.00
SFO | CAI | Qatar Airways | 1 (DOH) | 22:00 | 19:15 | 1100.00
SFO | CAI | Austrian | 2 (VIE, FRA) | 09:00 | 07:30 | 1200.00
SFO | CAI | KLM | 2 (AMS, CDG) | 11:45 | 10:15 | 1300.00

CAI | SFO | EgyptAir | Non-stop | 08:00 | 13:00 | 800.00
CAI | SFO | Lufthansa | 1 (FRA) | 10:30 | 16:15 | 900.00
CAI | SFO | Emirates | 1 (DXB) | 12:30 | 18:45 | 1000.00
CAI | SFO | Turkish Airlines | 1 (IST) | 14:45 | 20:15 | 950.00
CAI | SFO | Swiss | 1 (ZRH) | 17:00 | 22:30 | 1050.00
CAI | SFO | Qatar Airways | 1 (DOH) | 19:30 | 01:15 | 1150.00
CAI | SFO | Austrian | 2 (VIE, FRA) | 06:00 | 12:30 | 1250.00
CAI | SFO | KLM | 2 (AMS, CDG) | 08:45 | 15:15 | 1350.00


Here are the 16 flight plans:

SFO | CUN | American Airlines | Non-stop | 08:00 | 16:30 | 450.00
SFO | CUN | Delta Air Lines | 1 stop (LAX) | 09:30 | 18:15 | 520.00
SFO | CUN | United Airlines | Non-stop | 11:00 | 19:20 | 480.00
SFO | CUN | Alaska Airlines | 1 stop (SAN) | 12:30 | 20:45 | 550.00
SFO | CUN | Frontier Airlines | 1 stop (DEN) | 14:00 | 21:50 | 400.00
SFO | CUN | Spirit Airlines | 1 stop (LAS) | 15:30 | 23:10 | 380.00
SFO | CUN | JetBlue Airways | Non-stop | 17:00 | 23:30 | 500.00
SFO | CUN | Southwest Airlines | 1 stop (PHX) | 19:00 | 00:40 | 420.00
CUN | SFO | Aeromexico | Non-stop | 08:30 | 11:45 | 430.00
CUN | SFO | Interjet | 1 stop (MEX) | 09:45 | 13:20 | 460.00
CUN | SFO | American Airlines | Non-stop | 11:15 | 14:30 | 410.00
CUN | SFO | Delta Air Lines | 1 stop (ATL) | 12:50 | 16:05 | 490.00
CUN | SFO | United Airlines | Non-stop | 14:30 | 17:45 | 440.00
CUN | SFO | Avianca | 1 stop (BOG) | 15:45 | 19:10 | 510.00
CUN | SFO | Copa Airlines | 1 stop (PTY) | 17:15 | 20:40 | 480.00
CUN | SFO | LATAM | 1 stop (LIM) | 19:00 | 22:25 | 500.00


Here are the 16 flight plans:

SFO | CPT | UA | 1 (LHR) | 14:30 | 10:15 | 850.00
SFO | CPT | AA | 2 (JFK, LHR) | 08:00 | 12:45 | 950.00
SFO | CPT | DL | 1 (ATL) | 10:45 | 08:30 | 780.00
SFO | CPT | LH | 2 (FRA, JNB) | 13:15 | 11:00 | 1200.00
SFO | CPT | BA | 1 (LHR) | 15:00 | 11:45 | 900.00
SFO | CPT | QR | 2 (DOH, JNB) | 09:30 | 14:15 | 1100.00
SFO | CPT | SA | 1 (JNB) | 12:00 | 09:45 | 650.00
SFO | CPT | TK | 2 (IST, JNB) | 11:45 | 16:30 | 1000.00

CPT | SFO | UA | 1 (LHR) | 10:30 | 06:15 | 850.00
CPT | SFO | AA | 2 (JNB, JFK) | 08:45 | 14:30 | 950.00
CPT | SFO | DL | 1 (ATL) | 12:15 | 08:00 | 780.00
CPT | SFO | LH | 2 (JNB, FRA) | 13:45 | 11:30 | 1200.00
CPT | SFO | BA | 1 (LHR) | 15:45 | 12:30 | 900.00
CPT | SFO | QR | 2 (JNB, DOH) | 10:00 | 15:45 | 1100.00
CPT | SFO | SA | 1 (JNB) | 11:15 | 08:00 | 650.00
CPT | SFO | TK | 2 (JNB, IST) | 12:45 | 17:30 | 1000.00


Here are the 16 flight plans:

SFO | CPH | UA | 1 (LHR) | 10:30 | 06:30 | 850.00
SFO | CPH | SK | 0 | 14:15 | 10:05 | 950.00
SFO | CPH | LH | 1 (FRA) | 16:45 | 12:20 | 1050.00
SFO | CPH | AA | 1 (ORD) | 18:00 | 13:50 | 900.00
SFO | CPH | DL | 1 (AMS) | 20:15 | 15:05 | 1000.00
SFO | CPH | BA | 1 (LHR) | 22:00 | 16:50 | 1100.00
SFO | CPH | KL | 1 (AMS) | 08:00 | 05:50 | 900.00
SFO | CPH | AC | 1 (YYZ) | 12:30 | 09:20 | 1050.00

CPH | SFO | UA | 1 (EWR) | 09:00 | 11:50 | 900.00
CPH | SFO | SK | 0 | 11:15 | 14:05 | 1000.00
CPH | SFO | LH | 1 (FRA) | 13:45 | 16:20 | 1100.00
CPH | SFO | AA | 1 (ORD) | 15:00 | 17:50 | 950.00
CPH | SFO | DL | 1 (AMS) | 17:15 | 19:05 | 1050.00
CPH | SFO | BA | 1 (LHR) | 19:00 | 21:50 | 1150.00
CPH | SFO | KL | 1 (AMS) | 07:00 | 09:50 | 950.00
CPH | SFO | AC | 1 (YYZ) | 10:30 | 13:20 | 1100.00


Here are the 16 flight plans:

SFO | DXB | Emirates | 1 (LHR) | 14:30 | 18:45 | 850.00
SFO | DXB | Qatar | 0 | 16:00 | 20:15 | 920.00
SFO | DXB | Turkish | 1 (IST) | 10:45 | 14:50 | 780.00
SFO | DXB | Lufthansa | 2 (FRA, MXP) | 08:15 | 13:20 | 1100.00
SFO | DXB | American | 1 (PHL) | 12:30 | 16:35 | 950.00
SFO | DXB | Delta | 0 | 18:00 | 22:05 | 1000.00
SFO | DXB | United | 1 (EWR) | 09:15 | 13:20 | 850.00
SFO | DXB | Singapore | 1 (SIN) | 11:45 | 15:50 | 1050.00
DXB | SFO | Emirates | 0 | 02:00 | 06:05 | 900.00
DXB | SFO | Qatar | 1 (DOH) | 04:30 | 08:35 | 980.00
DXB | SFO | Turkish | 1 (IST) | 06:15 | 10:20 | 820.00
DXB | SFO | Lufthansa | 2 (FRA, LHR) | 08:45 | 12:50 | 1250.00
DXB | SFO | American | 1 (PHL) | 10:00 | 14:05 | 1020.00
DXB | SFO | Delta | 0 | 12:30 | 16:35 | 1100.00
DXB | SFO | United | 1 (EWR) | 14:15 | 18:20 | 920.00
DXB | SFO | Singapore | 1 (SIN) | 16:45 | 20:50 | 1150.00


Here are the 16 flight plans:

SFO | DUB | UA | 1 (LHR) | 08:00 | 16:30 | 850.00
SFO | DUB | AA | 2 (JFK, ORD) | 10:30 | 20:15 | 1200.00
SFO | DUB | DL | 0 | 12:00 | 18:30 | 900.00
SFO | DUB | WN | 1 (DEN) | 14:00 | 22:15 | 1000.00
SFO | DUB | BA | 1 (LHR) | 16:00 | 00:30 | 1100.00
SFO | DUB | LH | 2 (FRA, AMS) | 18:00 | 02:15 | 1300.00
SFO | DUB | EI | 0 | 20:00 | 04:30 | 950.00
SFO | DUB | AC | 1 (YYZ) | 22:00 | 06:15 | 1050.00

