

Here are the 16 flight plans:

SEA | DEN | Alaska Airlines | Non-stop | 06:00 | 09:35 | 250.00
SGU | SEA | Frontier Airlines | 1 stop (LAS) | 11:15 | 15:50 | 490.00
SGU | SEA | Spirit Airlines | 1 stop (ORD) | 12:30 | 16:05 | 540.00
SGU | SEA | JetBlue Airways | Non-stop | 13:45 | 17:20 | 420.00
SGU | SEA | Hawaiian Airlines | 1 stop (LAX) | 15:00 | 19:35 | 580.00


Here are the 16 flight plans:

SEA | AMS | KLM | 0 | 08:00 | 16:30 | 450.00
SEA | AMS | Delta | 1 (CDG) | 09:30 | 18:45 | 520.00
SEA | AMS | Lufthansa | 1 (FRA) | 10:15 | 19:30 | 550.00
SEA | AMS | United | 1 (EWR) | 11:00 | 20:15 | 480.00
SEA | AMS | American | 2 (PHL, DUB) | 12:30 | 22:00 | 620.00
SEA | AMS | Air France | 1 (CDG) | 13:45 | 23:10 | 500.00
SEA | AMS | British Airways | 1 (LHR) | 14:30 | 23:55 | 530.00
SEA | AMS | Swiss | 1 (ZRH) | 15:15 | 00:30 | 510.00
AMS | SEA | KLM | 0 | 09:00 | 10:30 | 420.00
AMS | SEA | Delta | 1 (CDG) | 10:30 | 12:00 | 490.00
AMS | SEA | Lufthansa | 1 (FRA) | 11:45 | 13:15 | 510.00
AMS | SEA | United | 1 (EWR) | 12:30 | 14:00 | 460.00
AMS | SEA | American | 2 (DUB, PHL) | 13:45 | 16:15 | 600.00
AMS | SEA | Air France | 1 (CDG) | 14:30 | 16:00 | 480.00
AMS | SEA | British Airways | 1 (LHR) | 15:15 | 16:45 | 500.00
AMS | SEA | Swiss | 1 (ZRH) | 16:00 | 17:30 | 490.00


Here are the 16 flight plans:

SEA | AUA | Delta | Non-stop | 08:00 | 17:30 | 542.00
SEA | AUA | American | 1 stop (MIA) | 09:15 | 19:45 | 612.50
SEA | AUA | United | Non-stop | 10:30 | 20:00 | 580.00
SEA | AUA | JetBlue | 1 stop (FLL) | 11:45 | 22:15 | 642.00
SEA | AUA | Alaska | Non-stop | 13:00 | 22:30 | 602.50
SEA | AUA | Spirit | 1 stop (ATL) | 14:15 | 23:45 | 672.50
SEA | AUA | Frontier | Non-stop | 15:30 | 00:00 | 623.00
SEA | AUA | Southwest | 1 stop (HOU) | 16:45 | 01:15 | 692.50
AUA | SEA | Delta | Non-stop | 08:00 | 11:30 | 522.00
AUA | SEA | American | 1 stop (CLT) | 09:15 | 13:45 | 592.50
AUA | SEA | United | Non-stop | 10:30 | 14:00 | 552.00
AUA | SEA | JetBlue | 1 stop (BOS) | 11:45 | 16:15 | 622.50
AUA | SEA | Alaska | Non-stop | 13:00 | 16:30 | 582.50
AUA | SEA | Spirit | 1 stop (ORD) | 14:15 | 18:45 | 652.50
AUA | SEA | Frontier | Non-stop | 15:30 | 19:00 | 603.00
AUA | SEA | Southwest | 1 stop (DEN) | 16:45 | 21:15 | 682.50


Here are the 16 flight plans:

SEA | ATH | Delta | 1 (AMS) | 10:30 | 06:30 | 850.00
SEA | ATH | Lufthansa | 2 (FRA, MUC) | 14:00 | 10:30 | 1200.00
SEA | ATH | Turkish Airlines | 1 (IST) | 16:30 | 12:30 | 950.00
SEA | ATH | Emirates | 2 (DXB, IST) | 18:00 | 14:00 | 1400.00
SEA | ATH | KLM | 1 (AMS) | 08:00 | 04:00 | 1000.00
SEA | ATH | Austrian Airlines | 2 (VIE, MUC) | 12:00 | 08:00 | 1300.00
SEA | ATH | Swiss International | 1 (ZRH) | 20:00 | 16:00 | 1100.00
SEA | ATH | British Airways | 2 (LHR, FRA) | 22:00 | 18:00 | 1500.00

ATH | SEA | Delta | 1 (CDG) | 09:00 | 11:30 | 900.00
ATH | SEA | Lufthansa | 2 (MUC, FRA) | 11:00 | 14:00 | 1300.00
ATH | SEA | Turkish Airlines | 1 (IST) | 13:00 | 16:00 | 1000.00
ATH | SEA | Emirates | 2 (IST, DXB) | 15:00 | 18:30 | 1400.00
ATH | SEA | KLM | 1 (AMS) | 07:00 | 09:30 | 950.00
ATH | SEA | Austrian Airlines | 2 (VIE, ZRH) | 10:00 | 13:00 | 1200.00
ATH | SEA | Swiss International | 1 (ZRH) | 18:00 | 20:30 | 1050.00
ATH | SEA | British Airways | 2 (LHR, CDG) | 20:00 | 22:30 | 1450.00


Here are the 16 flight plans:

SEA | AKL | NZ | 1 (HNL) | 08:00 | 06:30 | 950.00
SEA | AKL | QF | 2 (LAX, SYD) | 10:00 | 09:15 | 1200.00
SEA | AKL | AA | 1 (DFW) | 12:00 | 11:45 | 1050.00
SEA | AKL | UA | 0 | 14:00 | 12:30 | 850.00
SEA | AKL | DL | 1 (NRT) | 16:00 | 15:15 | 1000.00
SEA | AKL | VA | 2 (LAX, MEL) | 18:00 | 17:45 | 1300.00
SEA | AKL | JL | 1 (NRT) | 20:00 | 19:15 | 1100.00
SEA | AKL | CX | 1 (HKG) | 22:00 | 21:45 | 1250.00

AKL | SEA | NZ | 1 (HNL) | 08:00 | 06:30 | 900.00
AKL | SEA | QF | 2 (SYD, LAX) | 10:00 | 09:15 | 1150.00
AKL | SEA | AA | 1 (DFW) | 12:00 | 11:45 | 1000.00
AKL | SEA | UA | 0 | 14:00 | 12:30 | 800.00
AKL | SEA | DL | 1 (NRT) | 16:00 | 15:15 | 950.00
AKL | SEA | VA | 2 (MEL, LAX) | 18:00 | 17:45 | 1200.00
AKL | SEA | JL | 1 (NRT) | 20:00 | 19:15 | 1050.00
AKL | SEA | CX | 1 (HKG) | 22:00 | 21:45 | 1100.00


Here are the 16 flight plans:

SEA | DPS | Singapore Airlines | 1 (NRT) | 08:00 | 22:30 | 850.00
SEA | DPS | Japan Airlines | 1 (HND) | 09:30 | 23:50 | 920.00
SEA | DPS | Korean Air | 1 (ICN) | 11:00 | 01:20 | 950.00
SEA | DPS | China Eastern | 2 (PVG, KUL) | 12:30 | 04:00 | 1100.00
SEA | DPS | ANA | 1 (NRT) | 14:00 | 02:30 | 1000.00
SEA | DPS | Asiana Airlines | 1 (ICN) | 15:30 | 03:50 | 1050.00
SEA | DPS | Cathay Pacific | 1 (HKG) | 17:00 | 05:20 | 980.00
SEA | DPS | EVA Air | 1 (TPE) | 19:00 | 07:30 | 1020.00
DPS | SEA | Singapore Airlines | 1 (NRT) | 01:00 | 10:30 | 870.00
DPS | SEA | Japan Airlines | 1 (HND) | 03:30 | 13:00 | 940.00
DPS | SEA | Korean Air | 1 (ICN) | 06:00 | 15:20 | 970.00
DPS | SEA | China Eastern | 2 (KUL, PVG) | 08:30 | 18:00 | 1140.00
DPS | SEA | ANA | 1 (NRT) | 11:00 | 20:30 | 1040.00
DPS | SEA | Asiana Airlines | 1 (ICN) | 13:30 | 22:50 | 1080.00
DPS | SEA | Cathay Pacific | 1 (HKG) | 16:00 | 01:20 | 1000.00
DPS | SEA | EVA Air | 1 (TPE) | 18:30 | 04:50 | 1060.00
DPS | SEA | Qantas | 1 (SYD) | 21:00 | 07:20 | 1120.00


SEA | BCN | American Airlines | Non-stop | 08:00 | 17:30 | 850.00
SEA | BCN | Iberia | 1 stop (MAD) | 09:30 | 19:15 | 950.00
SEA | BCN | Delta Air Lines | Non-stop | 11:00 | 20:30 | 1050.00
SEA | BCN | Lufthansa | 1 stop (FRA) | 12:30 | 22:15 | 1100.00
SEA | BCN | United Airlines | 2 stops (SFO, MAD) | 13:00 | 23:45 | 1200.00
SEA | BCN | Air France | 1 stop (CDG) | 14:00 | 00:30 | 1250.00
SEA | BCN | KLM Royal Dutch | 1 stop (AMS) | 15:00 | 01:30 | 1300.00
SEA | BCN | Swiss International | 1 stop (ZRH) | 16:00 | 02:30 | 1350.00
BCN | SEA | American Airlines | Non-stop | 08:00 | 10:30 | 900.00
BCN | SEA | Iberia | 1 stop (MAD) | 09:30 | 12:15 | 1000.00
BCN | SEA | Delta Air Lines | Non-stop | 11:00 | 13:30 | 1100.00
BCN | SEA | Lufthansa | 1 stop (FRA) | 12:30 | 15:15 | 1150.00
BCN | SEA | United Airlines | 2 stops (MAD, SFO) | 13:00 | 17:45 | 1250.00
BCN | SEA | Air France | 1 stop (CDG) | 14:00 | 18:30 | 1300.00
BCN | SEA | KLM Royal Dutch | 1 stop (AMS) | 15:00 | 19:30 | 1350.00
BCN | SEA | Swiss International | 1 stop (ZRH) | 16:00 | 20:30 | 1400.00


Here are the 16 flight plans:

SEA | PEK | Hainan | 1 (NRT) | 10:30 | 18:45 | 550.00
SEA | PEK | Delta | 1 (ICN) | 12:15 | 20:30 | 620.00
SEA | PEK | China Eastern | 0 | 14:00 | 16:30 | 480.00
SEA | PEK | Korean Air | 1 (ICN) | 15:45 | 23:55 | 650.00
SEA | PEK | Japan Airlines | 1 (NRT) | 16:30 | 00:45 | 580.00
SEA | PEK | Asiana | 1 (ICN) | 17:15 | 01:20 | 610.00
SEA | PEK | China Southern | 0 | 18:00 | 20:30 | 500.00
SEA | PEK | Air China | 1 (PVG) | 19:30 | 02:45 | 630.00

PEK | SEA | Hainan | 1 (NRT) | 09:30 | 06:45 | 520.00
PEK | SEA | Delta | 1 (ICN) | 11:15 | 08:30 | 590.00
PEK | SEA | China Eastern | 0 | 13:00 | 09:30 | 450.00
PEK | SEA | Korean Air | 1 (ICN) | 14:45 | 11:55 | 660.00
PEK | SEA | Japan Airlines | 1 (NRT) | 15:30 | 12:45 | 560.00
PEK | SEA | Asiana | 1 (ICN) | 16:15 | 13:20 | 600.00
PEK | SEA | China Southern | 0 | 17:00 | 14:30 | 470.00
PEK | SEA | Air China | 1 (PVG) | 18:30 | 15:45 | 640.00


Here are the 16 flight plans:

SEA | BER | Lufthansa | 1 (FRA) | 08:30 | 18:45 | 850.00
SEA | BER | Delta | 2 (AMS, FRA) | 10:15 | 21:50 | 1200.00
SEA | BER | United | 1 (EWR) | 12:00 | 22:30 | 1000.00
SEA | BER | American | 2 (PHL, CDG) | 13:45 | 00:15 | 1300.00
SEA | BER | Turkish | 1 (IST) | 15:30 | 02:00 | 1100.00
SEA | BER | British Airways | 2 (LHR, MXP) | 17:00 | 03:30 | 1400.00
SEA | BER | Air Canada | 1 (YYZ) | 19:15 | 05:45 | 1250.00
SEA | BER | Swiss | 2 (ZRH, GVA) | 21:00 | 07:30 | 1350.00
BER | SEA | Lufthansa | 1 (FRA) | 08:00 | 09:30 | 900.00
BER | SEA | Delta | 2 (AMS, FRA) | 09:45 | 12:15 | 1100.00
BER | SEA | United | 1 (EWR) | 11:30 | 14:00 | 1050.00
BER | SEA | American | 2 (PHL, CDG) | 13:15 | 16:45 | 1200.00
BER | SEA | Turkish | 1 (IST) | 15:00 | 18:30 | 1150.00
BER | SEA | British Airways | 2 (LHR, MXP) | 16:45 | 20:15 | 1300.00
BER | SEA | Air Canada | 1 (YYZ) | 18:30 | 22:00 | 1250.00
BER | SEA | Swiss | 2 (ZRH, GVA) | 20:15 | 00:45 | 1350.00


Here are the 16 flight plans:

SEA | EZE | American Airlines | 1 (DFW) | 08:00 | 20:35 | 850.00
SEA | EZE | Delta Air Lines | 1 (ATL) | 10:30 | 23:05 | 920.00
SEA | EZE | United Airlines | 2 (SFO, IAH) | 09:15 | 22:40 | 780.00
SEA | EZE | LATAM | 1 (LAX) | 11:45 | 00:20 | 950.00
SEA | EZE | Avianca | 2 (LAX, BOG) | 08:50 | 21:10 | 830.00
SEA | EZE | Aeromexico | 2 (MEX, SCL) | 10:10 | 23:50 | 860.00
SEA | EZE | Copa Airlines | 2 (PTY, SCL) | 09:40 | 22:20 | 900.00
SEA | EZE | Qantas | 1 (LAX) | 12:20 | 01:05 | 980.00

EZE | SEA | American Airlines | 1 (DFW) | 09:30 | 17:05 | 870.00
EZE | SEA | Delta Air Lines | 1 (ATL) | 11:15 | 20:40 | 940.00
EZE | SEA | United Airlines | 2 (IAH, SFO) | 10:50 | 19:20 | 800.00
EZE | SEA | LATAM | 1 (LAX) | 13:00 | 22:35 | 970.00
EZE | SEA | Avianca | 2 (BOG, LAX) | 09:00 | 18:30 | 850.00
EZE | SEA | Aeromexico | 2 (SCL, MEX) | 11:40 | 21:10 | 890.00
EZE | SEA | Copa Airlines | 2 (SCL, PTY) | 10:20 | 19:50 | 920.00
EZE | SEA | Qantas | 1 (LAX) | 14:45 | 23:20 | 1000.00


Here are the 16 flight plans:

SEA | SJD | Alaska Airlines | Non-stop | 08:00 | 13:35 | 450.00
SEA | SJD | Delta Air Lines | 1 stop (LAX) | 09:30 | 15:10 | 520.00
SEA | SJD | American Airlines | 1 stop (PHX) | 10:15 | 16:05 | 550.00
SEA | SJD | United Airlines | Non-stop | 11:00 | 16:20 | 480.00
SEA | SJD | Spirit Airlines | 1 stop (LAS) | 12:45 | 18:25 | 420.00
SEA | SJD | Frontier Airlines | 1 stop (DEN) | 14:00 | 19:40 | 500.00
SEA | SJD | Southwest Airlines | Non-stop | 15:30 | 20:55 | 510.00
SEA | SJD | JetBlue Airways | 1 stop (SFO) | 16:45 | 22:15 | 530.00
SJD | SEA | Alaska Airlines | Non-stop | 08:00 | 11:35 | 420.00
SJD | SEA | Delta Air Lines | 1 stop (LAX) | 09:30 | 13:10 | 490.00
SJD | SEA | American Airlines | 1 stop (PHX) | 10:15 | 14:05 | 520.00
SJD | SEA | United Airlines | Non-stop | 11:00 | 14:20 | 450.00
SJD | SEA | Spirit Airlines | 1 stop (LAS) | 12:45 | 16:25 | 400.00
SJD | SEA | Frontier Airlines | 1 stop (DEN) | 14:00 | 17:40 | 480.00
SJD | SEA | Southwest Airlines | Non-stop | 15:30 | 18:55 | 500.00
SJD | SEA | JetBlue Airways | 1 stop (SFO) | 16:45 | 20:15 | 510.00


Here are the 16 flight plans:

SEA | CAI | DL | 1 (AMS) | 08:00 | 19:30 | 850.00
SEA | CAI | LH | 2 (FRA, IST) | 10:00 | 22:00 | 1050.00
SEA | CAI | UA | 1 (EWR) | 12:00 | 23:30 | 900.00
SEA | CAI | EK | 1 (DXB) | 14:00 | 01:30 | 1200.00
SEA | CAI | QR | 1 (DOH) | 16:00 | 03:30 | 1100.00
SEA | CAI | TK | 1 (IST) | 18:00 | 05:30 | 1000.00
SEA | CAI | AA | 2 (ORD, LHR) | 20:00 | 07:30 | 1250.00
SEA | CAI | BA | 1 (LHR) | 22:00 | 09:30 | 1150.00

CAI | SEA | MS | 1 (IST) | 08:00 | 18:30 | 950.00
CAI | SEA | SU | 2 (SVO, FRA) | 10:00 | 21:30 | 1100.00
CAI | SEA | ET | 1 (ADD) | 12:00 | 23:30 | 1000.00
CAI | SEA | QR | 1 (DOH) | 14:00 | 01:30 | 1050.00
CAI | SEA | LH | 1 (FRA) | 16:00 | 03:30 | 1150.00
CAI | SEA | UA | 2 (EWR, SFO) | 18:00 | 06:30 | 1250.00
CAI | SEA | DL | 1 (AMS) | 20:00 | 08:30 | 1000.00
CAI | SEA | EK | 1 (DXB) | 22:00 | 10:30 | 1200.00


Here are the 16 flight plans:

SEA | CUN | Alaska Airlines | Non-stop | 08:00 | 16:30 | 450.00
SEA | CUN | Delta Air Lines | 1 stop (LAX) | 09:30 | 18:15 | 520.00
SEA | CUN | American Airlines | Non-stop | 11:00 | 19:30 | 480.00
SEA | CUN | United Airlines | 1 stop (SFO) | 12:30 | 20:45 | 550.00
SEA | CUN | Spirit Airlines | 1 stop (DEN) | 14:00 | 21:50 | 420.00
SEA | CUN | Frontier Airlines | Non-stop | 15:30 | 22:50 | 400.00
SEA | CUN | Southwest Airlines | 1 stop (PHX) | 17:00 | 23:50 | 500.00
SEA | CUN | JetBlue Airways | Non-stop | 19:00 | 01:20 | 460.00

CUN | SEA | Alaska Airlines | Non-stop | 08:30 | 12:50 | 480.00
CUN | SEA | Delta Air Lines | 1 stop (ATL) | 10:00 | 15:20 | 540.00
CUN | SEA | American Airlines | Non-stop | 11:30 | 16:50 | 500.00
CUN | SEA | United Airlines | 1 stop (IAH) | 13:00 | 18:20 | 570.00
CUN | SEA | Spirit Airlines | 1 stop (ORD) | 14:30 | 20:00 | 440.00
CUN | SEA | Frontier Airlines | Non-stop | 16:00 | 21:20 | 420.00
CUN | SEA | Southwest Airlines | 1 stop (DAL) | 17:30 | 22:50 | 520.00
CUN | SEA | JetBlue Airways | Non-stop | 19:30 | 00:50 | 490.00


Here are the 16 flight plans:

SEA | CPT | Delta | 1 (AMS) | 08:00 | 20:30 | 850.00
SEA | CPT | Lufthansa | 2 (FRA, JNB) | 10:30 | 22:45 | 1100.00
SEA | CPT | Emirates | 1 (DXB) | 12:45 | 06:15 | 950.00
SEA | CPT | Turkish | 2 (IST, JNB) | 14:15 | 08:00 | 1200.00
SEA | CPT | Qantas | 1 (SYD) | 16:00 | 09:30 | 1000.00
SEA | CPT | Air France | 2 (CDG, JNB) | 18:30 | 11:15 | 1300.00
SEA | CPT | British Airways | 1 (LHR) | 20:45 | 13:00 | 900.00
SEA | CPT | Singapore | 2 (SIN, JNB) | 22:15 | 15:30 | 1400.00

CPT | SEA | Delta | 1 (AMS) | 08:00 | 18:30 | 800.00
CPT | SEA | Lufthansa | 2 (JNB, FRA) | 10:30 | 20:45 | 1050.00
CPT | SEA | Emirates | 1 (DXB) | 12:45 | 05:15 | 900.00
CPT | SEA | Turkish | 2 (JNB, IST) | 14:15 | 07:00 | 1150.00
CPT | SEA | Qantas | 1 (SYD) | 16:00 | 08:30 | 950.00
CPT | SEA | Air France | 2 (JNB, CDG) | 18:30 | 10:15 | 1250.00
CPT | SEA | British Airways | 1 (LHR) | 20:45 | 12:00 | 850.00
CPT | SEA | Singapore | 2 (JNB, SIN) | 22:15 | 14:30 | 1350.00


Here are the 16 flight plans:

SEA | CPH | Delta | 1 (AMS) | 08:00 | 18:30 | 850.00
SEA | CPH | Lufthansa | 2 (FRA, OSLO) | 10:30 | 21:15 | 1050.00
SEA | CPH | Norwegian | 0 | 12:00 | 20:00 | 650.00
SEA | CPH | Icelandair | 1 (KEF) | 14:00 | 22:30 | 750.00
SEA | CPH | SAS | 0 | 16:00 | 00:00 | 900.00
SEA | CPH | United | 1 (EWR) | 18:00 | 02:30 | 1000.00
SEA | CPH | American | 2 (PHL, LHR) | 20:00 | 04:15 | 1200.00
SEA | CPH | TAP Air Portugal | 1 (LIS) | 22:00 | 06:30 | 1100.00

CPH | SEA | Delta | 1 (AMS) | 08:00 | 10:30 | 950.00
CPH | SEA | Lufthansa | 2 (FRA, OSLO) | 10:30 | 13:15 | 1150.00
CPH | SEA | Norwegian | 0 | 12:00 | 14:00 | 700.00
CPH | SEA | Icelandair | 1 (KEF) | 14:00 | 16:30 | 800.00
CPH | SEA | SAS | 0 | 16:00 | 18:00 | 950.00
CPH | SEA | United | 1 (EWR) | 18:00 | 20:30 | 1050.00
CPH | SEA | American | 2 (PHL, LHR) | 20:00 | 22:15 | 1250.00
CPH | SEA | TAP Air Portugal | 1 (LIS) | 22:00 | 00:30 | 1150.00


Here are the 16 flight plans:

SEA | DXB | Emirates | 1 (LHR) | 14:30 | 13:15 | 850.00
SEA | DXB | Qatar Airways | 1 (DOH) | 16:45 | 15:30 | 920.00
SEA | DXB | Turkish Airlines | 1 (IST) | 18:00 | 16:45 | 780.00
SEA | DXB | Lufthansa | 2 (FRA, MUC) | 10:15 | 12:00 | 1100.00
SEA | DXB | China Eastern | 1 (PVG) | 12:50 | 11:35 | 950.00
SEA | DXB | Korean Air | 1 (ICN) | 15:20 | 14:05 | 980.00
SEA | DXB | Japan Airlines | 1 (NRT) | 17:40 | 16:25 | 1050.00
SEA | DXB | Cathay Pacific | 1 (HKG) | 19:10 | 17:55 | 1020.00
DXB | SEA | Emirates | 1 (LHR) | 02:15 | 05:00 | 820.00
DXB | SEA | Qatar Airways | 1 (DOH) | 04:30 | 07:15 | 890.00
DXB | SEA | Turkish Airlines | 1 (IST) | 06:45 | 09:30 | 750.00
DXB | SEA | Lufthansa | 2 (MUC, FRA) | 08:00 | 11:45 | 1080.00
DXB | SEA | China Eastern | 1 (PVG) | 10:20 | 13:05 | 920.00
DXB | SEA | Korean Air | 1 (ICN) | 12:40 | 15:25 | 940.00
DXB | SEA | Japan Airlines | 1 (NRT) | 15:00 | 17:45 | 1010.00
DXB | SEA | Cathay Pacific | 1 (HKG) | 17:20 | 20:05 | 1000.00
DXB | SEA | Singapore Airlines | 1 (SIN) | 19:45 | 22:30 | 960.00


Here are the 16 flight plans:

SEA | DUB | American Airlines | Non-stop | 08:00 | 16:30 | 450.00
SEA | DUB | Delta Air Lines | 1 stop (LHR) | 10:30 | 19:15 | 520.00
SEA | DUB | United Airlines | Non-stop | 13:45 | 22:15 | 480.00
SEA | DUB | Lufthansa | 1 stop (FRA) | 14:15 | 23:30 | 550.00
SEA | DUB | Air Canada | 1 stop (YYZ) | 15:00 | 23:45 | 500.00
SEA | DUB | British Airways | 1 stop (LHR) | 16:30 | 00:15 | 530.00
SEA | DUB | KLM Royal Dutch | 1 stop (AMS) | 17:45 | 01:15 | 510.00
SEA | DUB | Iberia | 1 stop (MAD) | 19:00 | 02:30 | 540.00
DUB | SEA | Aer Lingus | Non-stop | 08:30 | 10:30 | 420.00
DUB | SEA | British Airways | 1 stop (LHR) | 09:45 | 12:15 | 490.00
DUB | SEA | Lufthansa | 1 stop (FRA) | 11:15 | 13:45 | 460.00
DUB | SEA | Air France | 1 stop (CDG) | 12:30 | 14:45 | 470.00
DUB | SEA | KLM Royal Dutch | 1 stop (AMS) | 13:45 | 16:00 | 450.00
DUB | SEA | United Airlines | Non-stop | 15:00 | 17:00 | 400.00
DUB | SEA | Delta Air Lines | 1 stop (JFK) | 16:15 | 18:30 | 480.00
DUB | SEA | American Airlines | 1 stop (PHL) | 17:30 | 19:45 | 490.00
DUB | SEA | Iberia | 1 stop (MAD) | 19:00 | 21:15 | 510.00


Here are the 16 flight plans:

SEA | EDI | American Airlines | Non-stop | 08:00 | 17:30 | 850.00
SEA | EDI | Delta Air Lines | 1 stop (LHR) | 09:30 | 19:45 | 720.00
SEA | EDI | United Airlines | Non-stop | 10:15 | 20:40 | 900.00
SEA | EDI | Lufthansa | 1 stop (FRA) | 11:00 | 21:20 | 950.00
SEA | EDI | British Airways | 1 stop (LHR) | 12:45 | 23:10 | 820.00
SEA | EDI | KLM Royal Dutch | 1 stop (AMS) | 13:30 | 23:55 | 890.00
SEA | EDI | Air France | 1 stop (CDG) | 14:15 | 00:40 | 860.00
SEA | EDI | Iberia | 1 stop (MAD) | 15:00 | 01:25 | 930.00
EDI | SEA | American Airlines | Non-stop | 08:00 | 09:30 | 800.00
EDI | SEA | Delta Air Lines | 1 stop (JFK) | 09:30 | 11:45 | 680.00
EDI | SEA | United Airlines | Non-stop | 10:15 | 11:45 | 850.00
EDI | SEA | Lufthansa | 1 stop (FRA) | 11:00 | 13:20 | 920.00
EDI | SEA | British Airways | 1 stop (LHR) | 12:45 | 15:10 | 780.00
EDI | SEA | KLM Royal Dutch | 1 stop (AMS) | 13:30 | 15:55 | 840.00
EDI | SEA | Air France | 1 stop (CDG) | 14:15 | 16:40 | 810.00
EDI | SEA | Iberia | 1 stop (MAD) | 15:00 | 17:25 | 960.00
EDI | SEA | Swiss International | 1 stop (ZRH) | 16:00 | 18:30 | 900.00


Here are the 16 flight plans:

SEA | HAN | Vietnam Airlines | 0 | 08:30 | 20:30 | 550.00
SEA | HAN | Japan Airlines | 1 (NRT) | 09:00 | 22:15 | 720.00
SEA | HAN | Korean Air | 1 (ICN) | 10:30 | 23:45 | 820.00
SEA | HAN | China Eastern | 1 (PVG) | 11:15 | 00:30 | 900.00
SEA | HAN | Thai Airways | 1 (BKK) | 12:00 | 01:45 | 950.00
SEA | HAN | Singapore Airlines | 1 (SIN) | 13:30 | 03:15 | 1050.00
SEA | HAN | Malaysia Airlines | 1 (KUL) | 14:45 | 04:30 | 1100.00
SEA | HAN | Cathay Pacific | 1 (HKG) | 16:00 | 06:15 | 1200.00
HAN | SEA | Vietnam Airlines | 0 | 07:30 | 19:30 | 520.00
HAN | SEA | Japan Airlines | 1 (NRT) | 08:00 | 20:45 | 680.00
HAN | SEA | Korean Air | 1 (ICN) | 09:30 | 22:15 | 780.00
HAN | SEA | China Eastern | 1 (PVG) | 10:15 | 23:30 | 850.00
HAN | SEA | Thai Airways | 1 (BKK) | 11:00 | 00:45 | 900.00
HAN | SEA | Singapore Airlines | 1 (SIN) | 12:30 | 02:15 | 1000.00
HAN | SEA | Malaysia Airlines | 1 (KUL) | 13:45 | 03:30 | 1050.00
HAN | SEA | Cathay Pacific | 1 (HKG) | 15:00 | 05:15 | 1150.00
HAN | SEA | Asiana Airlines | 1 (ICN) | 16:30 | 06:45 | 1200.00


Here are the 16 flight plans:

SEA | HKG | Cathay Pacific | Non-stop | 09:00 | 18:30 | 850.00
SEA | HKG | American Airlines | 1 stop (NRT) | 10:30 | 20:15 | 950.00
SEA | HKG | Delta Air Lines | Non-stop | 11:15 | 20:45 | 1050.00
SEA | HKG | Korean Air | 1 stop (ICN) | 12:00 | 22:30 | 1000.00
SEA | HKG | Japan Airlines | 1 stop (HND) | 13:30 | 23:15 | 1100.00
SEA | HKG | China Eastern | 1 stop (PVG) | 14:45 | 00:30 | 900.00
SEA | HKG | United Airlines | Non-stop | 16:00 | 02:30 | 1200.00
SEA | HKG | Asiana Airlines | 1 stop (ICN) | 17:15 | 03:45 | 1150.00
HKG | SEA | Cathay Pacific | Non-stop | 08:30 | 18:15 | 800.00
HKG | SEA | China Airlines | 1 stop (TPE) | 09:45 | 20:30 | 950.00
HKG | SEA | Eva Air | 1 stop (TPE) | 11:00 | 22:45 | 1000.00
HKG | SEA | Singapore Airlines | 1 stop (SIN) | 12:30 | 00:15 | 1100.00
HKG | SEA | Korean Air | 1 stop (ICN) | 14:00 | 02:30 | 1050.00
HKG | SEA | Japan Airlines | 1 stop (HND) | 15:30 | 04:15 | 1150.00
HKG | SEA | Delta Air Lines | Non-stop | 17:00 | 05:45 | 1250.00
HKG | SEA | United Airlines | Non-stop | 18:30 | 07:15 | 1300.00
HKG | SEA | American Airlines | 1 stop (NRT) | 20:00 | 09:45 | 1200.00


Here are the 16 flight plans:

SEA | IST | Turkish Airlines | Non-stop | 14:30 | 11:35 | 850.00
SEA | IST | Lufthansa | 1 (FRA) | 10:15 | 08:10 | 1050.00
SEA | IST | Delta | 1 (CDG) | 16:45 | 14:20 | 900.00
SEA | IST | Emirates | 1 (DXB) | 18:00 | 16:30 | 1100.00
SEA | IST | KLM | 1 (AMS) | 12:50 | 10:40 | 1000.00
SEA | IST | United | 1 (EWR) | 09:30 | 07:25 | 950.00
SEA | IST | British Airways | 1 (LHR) | 13:20 | 11:05 | 1020.00
SEA | IST | Qatar Airways | 1 (DOH) | 20:10 | 18:40 | 1150.00
IST | SEA | Turkish Airlines | Non-stop | 13:40 | 15:45 | 850.00
IST | SEA | Lufthansa | 1 (FRA) | 09:50 | 11:55 | 1050.00
IST | SEA | Delta | 1 (CDG) | 15:10 | 17:15 | 900.00
IST | SEA | Emirates | 1 (DXB) | 16:30 | 18:35 | 1100.00
IST | SEA | KLM | 1 (AMS) | 11:40 | 13:45 | 1000.00
IST | SEA | United | 1 (EWR) | 08:20 | 10:25 | 950.00
IST | SEA | British Airways | 1 (LHR) | 12:10 | 14:15 | 1020.00
IST | SEA | Qatar Airways | 1 (DOH) | 19:00 | 21:05 | 1150.00


Here are the 16 flight plans:

SEA | TLV | EL AL | 0 | 08:00 | 18:30 | 850.00
SEA | TLV | Lufthansa | 1 (FRA) | 09:30 | 20:15 | 950.00
SEA | TLV | Delta | 2 (AMS, CDG) | 10:45 | 22:50 | 1050.00
